candidate,party,percent,votes,office
"Ensign, John",REP,91.38%,456,U.S. Senate (Rep)
"Hamzik, Richard",REP,4.01%,20,U.S. Senate (Rep)
"Platin, Fernando Jr.",REP,1.00%,5,U.S. Senate (Rep)
None of these Candidates,,3.61%,18,U.S. Senate (Rep)
Under Votes,,0.00%,0,U.S. Senate (Rep)
Over Votes,,0.00%,0,U.S. Senate (Rep)
"Gibbons, Jim",REP,88.96%,435,"Representative in Congress, District 2 (Rep)"
"Tracy, Mitchell T.",REP,11.04%,54,"Representative in Congress, District 2 (Rep)"
None of these Candidates,,0.00%,0,"Representative in Congress, District 2 (Rep)"
Under Votes,,0.00%,0,"Representative in Congress, District 2 (Rep)"
Over Votes,,0.00%,0,"Representative in Congress, District 2 (Rep)"
"Hollis, Gary",REP,49.40%,206,State Assembly District 36 (Rep)
"Markley, Keith",REP,50.60%,211,State Assembly District 36 (Rep)
Under Votes,,0.00%,0,State Assembly District 36 (Rep)
Over Votes,,0.00%,0,State Assembly District 36 (Rep)
"Backus, Gary",NP,25.54%,259,"Supreme Court Justice, Seat G (NP)"
"Becker, Nancy A.",NP,41.52%,421,"Supreme Court Justice, Seat G (NP)"
"Williams, Day R.",NP,9.47%,96,"Supreme Court Justice, Seat G (NP)"
None of these Candidates,,23.47%,238,"Supreme Court Justice, Seat G (NP)"
Under Votes,,0.00%,0,"Supreme Court Justice, Seat G (NP)"
Over Votes,,0.00%,0,"Supreme Court Justice, Seat G (NP)"
"Hepworth, Brentwood",REP,32.09%,155,"County Commissioner, District A (Rep)"
"Lytle, Cory David",REP,67.91%,328,"County Commissioner, District A (Rep)"
Under Votes,,0.00%,0,"County Commissioner, District A (Rep)"
Over Votes,,0.00%,0,"County Commissioner, District A (Rep)"
