candidate,party,percent,votes,office
"Browne, Harry",LIB,0.82%,16,President
"Buchanan, Pat",CIT,1.33%,26,President
"Bush, George W.",REP,70.14%,"1,372",President
"Gore, Al",DEM,23.57%,461,President
"Hagelin, John",NAT,0.20%,4,President
"Nader, Ralph",GRN,2.04%,40,President
"Phillips, Howard",IAP,0.56%,11,President
None of these Candidates,,1.33%,26,President
Under Votes,,0.00%,0,President
Over Votes,,0.00%,0,President
"Berghof, Ernie",IAP,0.94%,18,U.S. Senate
"Bernstein, Ed",DEM,21.75%,418,U.S. Senate
"Ensign, John",REP,72.94%,"1,402",U.S. Senate
"Grutzmacher, Bill",CIT,0.47%,9,U.S. Senate
"Johnson, J.J.",LIB,0.83%,16,U.S. Senate
"Rusco, Kathryn",GRN,1.04%,20,U.S. Senate
None of these Candidates,,2.03%,39,U.S. Senate
Under Votes,,0.00%,0,U.S. Senate
Over Votes,,0.00%,0,U.S. Senate
"Brenneman, Ken",CIT,1.32%,25,"Representative in Congress, District 2"
"Cahill, Tierney",DEM,19.09%,362,"Representative in Congress, District 2"
"Gibbons, Jim Incumbent",REP,73.36%,"1,391","Representative in Congress, District 2"
"Hansen, Daniel",IAP,3.64%,69,"Representative in Congress, District 2"
"Laws, A. Charles",GRN,0.58%,11,"Representative in Congress, District 2"
"Savage, Terry",LIB,1.53%,29,"Representative in Congress, District 2"
"Winquist, Robert W.",NAT,0.47%,9,"Representative in Congress, District 2"
Under Votes,,0.00%,0,"Representative in Congress, District 2"
Over Votes,,0.00%,0,"Representative in Congress, District 2"
"Beaman, Ed",DEM,32.94%,612,"State Senate, Central Senatorial District"
"McGinness, Mike Incumbent",REP,67.06%,"1,246","State Senate, Central Senatorial District"
Under Votes,,0.00%,0,"State Senate, Central Senatorial District"
Over Votes,,0.00%,0,"State Senate, Central Senatorial District"
"Hollis, Gary",REP,49.81%,912,"State Assembly, District 36"
"Neighbors, Pomroy M.Incumbent",DEM,50.19%,919,"State Assembly, District 36"
Under Votes,,0.00%,0,"State Assembly, District 36"
Over Votes,,0.00%,0,"State Assembly, District 36"
"Rose, Robert E.Incumbent",NP,76.43%,"1,232","Supreme Court Justice, Seat C"
None of these Candidates,,23.57%,380,"Supreme Court Justice, Seat C"
Under Votes,,0.00%,0,"Supreme Court Justice, Seat C"
Over Votes,,0.00%,0,"Supreme Court Justice, Seat C"
"Leavitt, Myron E.Incumbent",NP,80.99%,"1,355","Supreme Court Justice, Seat F"
None of these Candidates,,19.01%,318,"Supreme Court Justice, Seat F"
Under Votes,,0.00%,0,"Supreme Court Justice, Seat F"
Over Votes,,0.00%,0,"Supreme Court Justice, Seat F"
"Backus, Gary",NP,37.36%,643,"Supreme Court Justice, Seat G"
"Becker, Nancy Incumbent",NP,44.51%,766,"Supreme Court Justice, Seat G"
None of these Candidates,,18.13%,312,"Supreme Court Justice, Seat G"
Under Votes,,0.00%,0,"Supreme Court Justice, Seat G"
Over Votes,,0.00%,0,"Supreme Court Justice, Seat G"
"Iverson, Merv",NP,100.00%,"1,239","State Board of Education, District 2, Subdistrict F"
Under Votes,,0.00%,0,"State Board of Education, District 2, Subdistrict F"
Over Votes,,0.00%,0,"State Board of Education, District 2, Subdistrict F"
"Lytle, Cory David",REP,45.45%,864,"County Commissioner, District A"
"Rowe, George T.",DEM,54.55%,"1,037","County Commissioner, District A"
Under Votes,,0.00%,0,"County Commissioner, District A"
Over Votes,,0.00%,0,"County Commissioner, District A"
"Perkins, Tim",DEM,100.00%,"1,446","County Commissioner, District C"
Under Votes,,0.00%,0,"County Commissioner, District C"
Over Votes,,0.00%,0,"County Commissioner, District C"
"Hafen, Spencer W.",REP,100.00%,"1,451","County Commissioner, District E"
Under Votes,,0.00%,0,"County Commissioner, District E"
Over Votes,,0.00%,0,"County Commissioner, District E"
"Getker, Sarah K.",NP,67.32%,958,"Justice of the Peace, Meadow Valley Township"
"Lee, Jack T.",NP,32.68%,465,"Justice of the Peace, Meadow Valley Township"
Under Votes,,0.00%,0,"Justice of the Peace, Meadow Valley Township"
Over Votes,,0.00%,0,"Justice of the Peace, Meadow Valley Township"
"Holton, Nola",NP,100.00%,408,"Justice of the Peace, Pahranagat Valley Township"
Under Votes,,0.00%,0,"Justice of the Peace, Pahranagat Valley Township"
Over Votes,,0.00%,0,"Justice of the Peace, Pahranagat Valley Township"
"McBride, Garry",NP,100.00%,"1,513","Lincoln County School, Trustee District A"
Under Votes,,0.00%,0,"Lincoln County School, Trustee District A"
Over Votes,,0.00%,0,"Lincoln County School, Trustee District A"
"Cox, Bert",NP,100.00%,"1,475","Lincoln Coutny School, Trustee District C"
Under Votes,,0.00%,0,"Lincoln Coutny School, Trustee District C"
Over Votes,,0.00%,0,"Lincoln Coutny School, Trustee District C"
"Lucht, Mary Jean",NP,100.00%,"1,557","Lincoln County School, Trustee District D"
Under Votes,,0.00%,0,"Lincoln County School, Trustee District D"
Over Votes,,0.00%,0,"Lincoln County School, Trustee District D"
"Wadsworth, Gordon",NP,100.00%,"1,613","Grover C. Dils, Hospital Trustee District B"
Under Votes,,0.00%,0,"Grover C. Dils, Hospital Trustee District B"
Over Votes,,0.00%,0,"Grover C. Dils, Hospital Trustee District B"
Yes,,29.33%,535,Ballot Question 1
No,,70.67%,"1,289",Ballot Question 1
Under Votes,,0.00%,0,Ballot Question 1
Over Votes,,0.00%,0,Ballot Question 1
