candidate,party,percent,votes,office
"Browne, Harry",LIB,0.57%,13,President
"Buchanan, Pat",CIT,1.09%,25,President
"Bush, George W.",REP,53.51%,"1,227",President
"Gore, Al",DEM,39.95%,916,President
"Hagelin, John",NAT,0.13%,3,President
"Nader, Ralph",GRN,3.53%,81,President
"Phillips, Howard",IAP,0.22%,5,President
None of these Candidates,,1.00%,23,President
Under Votes,,0.00%,0,President
Over Votes,,0.00%,0,President
"Berghof, Ernie",IAP,0.48%,11,U.S. Senate
"Bernstein, Ed",DEM,37.51%,854,U.S. Senate
"Ensign, John",REP,55.86%,"1,272",U.S. Senate
"Grutzmacher, Bill",CIT,0.53%,12,U.S. Senate
"Johnson, J.J.",LIB,1.01%,23,U.S. Senate
"Rusco, Kathryn",GRN,2.15%,49,U.S. Senate
None of these Candidates,,2.46%,56,U.S. Senate
Under Votes,,0.00%,0,U.S. Senate
Over Votes,,0.00%,0,U.S. Senate
"Brenneman, Ken",CIT,1.89%,42,"Representative in Congress, District 2"
"Cahill, Tierney",DEM,28.44%,631,"Representative in Congress, District 2"
"Gibbons, Jim Incumbent",REP,64.76%,"1,437","Representative in Congress, District 2"
"Hansen, Daniel",IAP,1.98%,44,"Representative in Congress, District 2"
"Laws, A. Charles",GRN,1.08%,24,"Representative in Congress, District 2"
"Savage, Terry",LIB,1.44%,32,"Representative in Congress, District 2"
"Winquist, Robert W.",NAT,0.41%,9,"Representative in Congress, District 2"
Under Votes,,0.00%,0,"Representative in Congress, District 2"
Over Votes,,0.00%,0,"Representative in Congress, District 2"
"Beaman, Ed",DEM,36.66%,823,"State Senate, Central Senatorial District"
"McGinness, Mike Incumbent",REP,63.34%,"1,422","State Senate, Central Senatorial District"
Under Votes,,0.00%,0,"State Senate, Central Senatorial District"
Over Votes,,0.00%,0,"State Senate, Central Senatorial District"
"Hollis, Gary",REP,35.49%,786,"State Assembly, District 36"
"Neighbors, Pomroy M.Incumbent",DEM,64.51%,"1,429","State Assembly, District 36"
Under Votes,,0.00%,0,"State Assembly, District 36"
Over Votes,,0.00%,0,"State Assembly, District 36"
"Rose, Robert E.Incumbent",NP,76.60%,"1,588","Supreme Court Justice, Seat C"
None of these Candidates,,23.40%,485,"Supreme Court Justice, Seat C"
Under Votes,,0.00%,0,"Supreme Court Justice, Seat C"
Over Votes,,0.00%,0,"Supreme Court Justice, Seat C"
"Leavitt, Myron E.Incumbent",NP,78.01%,"1,607","Supreme Court Justice, Seat F"
None of these Candidates,,21.99%,453,"Supreme Court Justice, Seat F"
Under Votes,,0.00%,0,"Supreme Court Justice, Seat F"
Over Votes,,0.00%,0,"Supreme Court Justice, Seat F"
"Backus, Gary",NP,22.48%,476,"Supreme Court Justice, Seat G"
"Becker, Nancy Incumbent",NP,61.08%,"1,293","Supreme Court Justice, Seat G"
None of these Candidates,,16.44%,348,"Supreme Court Justice, Seat G"
Under Votes,,0.00%,0,"Supreme Court Justice, Seat G"
Over Votes,,0.00%,0,"Supreme Court Justice, Seat G"
"Lane, Robert W.",NP,54.16%,"1,132","District Court Judge, District 5, Department 2"
"Vitto, Kirk",NP,45.84%,958,"District Court Judge, District 5, Department 2"
Under Votes,,0.00%,0,"District Court Judge, District 5, Department 2"
Over Votes,,0.00%,0,"District Court Judge, District 5, Department 2"
"Bozzi, R.",REP,48.79%,"1,073","Mineral County Commissioner, Seat A"
"Wadlow, Kevin A.",DEM,51.21%,"1,126","Mineral County Commissioner, Seat A"
Under Votes,,0.00%,0,"Mineral County Commissioner, Seat A"
Over Votes,,0.00%,0,"Mineral County Commissioner, Seat A"
"Bryant, Richard D.",DEM,56.33%,"1,246","Mineral County Commissioner, Seat B"
"Wilding, Jim",REP,43.67%,966,"Mineral County Commissioner, Seat B"
Under Votes,,0.00%,0,"Mineral County Commissioner, Seat B"
Over Votes,,0.00%,0,"Mineral County Commissioner, Seat B"
"Weaver, Robert E.",DEM,100.00%,"1,799",Public Administrator
Under Votes,,0.00%,0,Public Administrator
Over Votes,,0.00%,0,Public Administrator
"Essenpreis, James A.",NP,34.86%,732,Hawthorne Township Justice Of The Peace
"Trujillo, Victor",NP,65.14%,"1,368",Hawthorne Township Justice Of The Peace
Under Votes,,0.00%,0,Hawthorne Township Justice Of The Peace
Over Votes,,0.00%,0,Hawthorne Township Justice Of The Peace
"Eddy, Robert",NP,45.83%,66,Mina Township Justice Of The Peace
"Fanning, Morris",NP,54.17%,78,Mina Township Justice Of The Peace
Under Votes,,0.00%,0,Mina Township Justice Of The Peace
Over Votes,,0.00%,0,Mina Township Justice Of The Peace
"Dockrey, Don",NP,100.00%,"1,814",School Trustee
Under Votes,,0.00%,0,School Trustee
Over Votes,,0.00%,0,School Trustee
"Gazaway, Joan E.M.",NP,66.60%,"1,637",Hospital Board Trustee
"Laird, Fred S.",NP,33.40%,821,Hospital Board Trustee
Under Votes,,0.00%,0,Hospital Board Trustee
Over Votes,,0.00%,0,Hospital Board Trustee
Yes,,46.62%,"1,007",Ballot Question 1
No,,53.38%,"1,153",Ballot Question 1
Under Votes,,0.00%,0,Ballot Question 1
Over Votes,,0.00%,0,Ballot Question 1
Yes,,78.12%,"1,724",Ballot Question 2
No,,21.88%,483,Ballot Question 2
Under Votes,,0.00%,0,Ballot Question 2
Over Votes,,0.00%,0,Ballot Question 2
