candidate,party,percent,votes,office
"Ensign, John",REP,84.68%,"2,504",United States Senator (Rep)
"Hamzik, Richard",REP,7.85%,232,United States Senator (Rep)
"Platin, Fernando Jr.",REP,1.08%,32,United States Senator (Rep)
None of these Candidates,,5.58%,165,United States Senator (Rep)
Under Votes,,0.78%,23,United States Senator (Rep)
Over Votes,,0.03%,1,United States Senator (Rep)
"Gibbons, Jim",REP,85.15%,"2,518","Representative in Congress, District 2 (Rep)"
"Tracy, Mitchell T.",REP,11.67%,345,"Representative in Congress, District 2 (Rep)"
None of these Candidates,,0.00%,0,"Representative in Congress, District 2 (Rep)"
Under Votes,,3.08%,91,"Representative in Congress, District 2 (Rep)"
Over Votes,,0.10%,3,"Representative in Congress, District 2 (Rep)"
"Hollis, Gary",REP,53.94%,"1,595",State Assembly District 36 (Rep)
"Markley, Keith",REP,40.41%,"1,195",State Assembly District 36 (Rep)
Under Votes,,5.55%,164,State Assembly District 36 (Rep)
Over Votes,,0.10%,3,State Assembly District 36 (Rep)
"Backus, Gary",NP,17.62%,"1,065","Supreme Court Justice, Seat G (NP)"
"Becker, Nancy A.",NP,49.38%,"2,985","Supreme Court Justice, Seat G (NP)"
"Williams, Day R.",NP,12.14%,734,"Supreme Court Justice, Seat G (NP)"
None of these Candidates,,9.83%,594,"Supreme Court Justice, Seat G (NP)"
Under Votes,,10.95%,662,"Supreme Court Justice, Seat G (NP)"
Over Votes,,0.08%,5,"Supreme Court Justice, Seat G (NP)"
"Glennen, Robert E.",NP,17.65%,"1,067","District Court Judge, Fifth Judicial District, Department 2 (NP)"
"Lane, Robert W.",NP,24.14%,"1,459","District Court Judge, Fifth Judicial District, Department 2 (NP)"
"Vitto, Kirk",NP,31.46%,"1,902","District Court Judge, Fifth Judicial District, Department 2 (NP)"
"Zlotek, Marla",NP,23.16%,"1,400","District Court Judge, Fifth Judicial District, Department 2 (NP)"
Under Votes,,3.18%,192,"District Court Judge, Fifth Judicial District, Department 2 (NP)"
Over Votes,,0.41%,25,"District Court Judge, Fifth Judicial District, Department 2 (NP)"
"Merlino, Sandra",DEM,79.55%,"2,030",County Clerk (Dem)
"Rourke, D.J.",DEM,17.52%,447,County Clerk (Dem)
Under Votes,,2.86%,73,County Clerk (Dem)
Over Votes,,0.08%,2,County Clerk (Dem)
"Cleveland, David L.",REP,28.32%,273,County Commissioner- District V (Rep)
"Gazsy, Peter M.",REP,5.71%,55,County Commissioner- District V (Rep)
"Lee, Don",REP,21.58%,208,County Commissioner- District V (Rep)
"Neth, Henry",REP,32.26%,311,County Commissioner- District V (Rep)
"Peterson, Wade",REP,8.09%,78,County Commissioner- District V (Rep)
Under Votes,,3.53%,34,County Commissioner- District V (Rep)
Over Votes,,0.52%,5,County Commissioner- District V (Rep)
"Cross, Vickie A.",NP,25.62%,"1,549",County School Board Trustee - Area 1 (NP)
"Hartley, Janine",NP,32.94%,"1,991",County School Board Trustee - Area 1 (NP)
"Sharp, Lina",NP,23.61%,"1,427",County School Board Trustee - Area 1 (NP)
Under Votes,,17.82%,"1,077",County School Board Trustee - Area 1 (NP)
Over Votes,,0.02%,1,County School Board Trustee - Area 1 (NP)
