candidate,party,percent,votes,office
"Browne, Harry",LIB,0.51%,"1,962",President
"Buchanan, Pat",CIT,0.80%,"3,045",President
"Bush, George W.",REP,44.72%,"170,932",President
"Gore, Al",DEM,51.31%,"196,100",President
"Hagelin, John",NAT,0.07%,252,President
"Nader, Ralph",GRN,2.08%,"7,942",President
"Phillips, Howard",IAP,0.09%,353,President
None of these Candidates,,0.42%,"1,612",President
Under Votes,,0.00%,0,President
Over Votes,,0.00%,0,President
"Berghof, Ernie",IAP,0.42%,"1,585",U.S. Senate
"Bernstein, Ed",DEM,44.84%,"168,039",U.S. Senate
"Ensign, John",REP,50.71%,"190,071",U.S. Senate
"Grutzmacher, Bill",CIT,0.29%,"1,100",U.S. Senate
"Johnson, J.J.",LIB,0.82%,"3,055",U.S. Senate
"Rusco, Kathryn",GRN,1.35%,"5,066",U.S. Senate
None of these Candidates,,1.57%,"5,869",U.S. Senate
Under Votes,,0.00%,0,U.S. Senate
Over Votes,,0.00%,0,U.S. Senate
"Berkley, Shelley Incumbent",DEM,51.68%,"118,469","Representative in Congress, District 1"
"Hansen, Christopher H.",IAP,1.72%,"3,933","Representative in Congress, District 1"
"Porter, Jon",REP,44.18%,"101,276","Representative in Congress, District 1"
"Schneider, Charles",LIB,1.75%,"4,011","Representative in Congress, District 1"
"Swenson, W.G.",CIT,0.67%,"1,546","Representative in Congress, District 1"
Under Votes,,0.00%,0,"Representative in Congress, District 1"
Over Votes,,0.00%,0,"Representative in Congress, District 1"
"Brenneman, Ken",CIT,0.92%,"1,249","Representative in Congress, District 2"
"Cahill, Tierney",DEM,36.73%,"49,969","Representative in Congress, District 2"
"Gibbons, Jim Incumbent",REP,57.55%,"78,293","Representative in Congress, District 2"
"Hansen, Daniel",IAP,1.92%,"2,612","Representative in Congress, District 2"
"Laws, A. Charles",GRN,1.04%,"1,412","Representative in Congress, District 2"
"Savage, Terry",LIB,1.47%,"1,996","Representative in Congress, District 2"
"Winquist, Robert W.",NAT,0.38%,521,"Representative in Congress, District 2"
Under Votes,,0.00%,0,"Representative in Congress, District 2"
Over Votes,,0.00%,0,"Representative in Congress, District 2"
"Gardner, Richard G.",REP,39.46%,"13,149","State Senate, Clark District 2"
"Shaffer, Ray Incumbent",DEM,60.54%,"20,174","State Senate, Clark District 2"
Under Votes,,0.00%,0,"State Senate, Clark District 2"
Over Votes,,0.00%,0,"State Senate, Clark District 2"
"Lillie, Alice J.",LIB,6.50%,"1,285","State Senate, Clark District 3"
"Toomin, Lou",REP,31.15%,"6,158","State Senate, Clark District 3"
"Wiener, Valerie Incumbent",DEM,62.34%,"12,323","State Senate, Clark District 3"
Under Votes,,0.00%,0,"State Senate, Clark District 3"
Over Votes,,0.00%,0,"State Senate, Clark District 3"
"Neal, Joe",DEM,100.00%,"11,442","State Senate, Clark District 4"
Under Votes,,0.00%,0,"State Senate, Clark District 4"
Over Votes,,0.00%,0,"State Senate, Clark District 4"
"Hawk, Charles",DEM,39.47%,"34,824","State Senate, Clark District 5"
"Lusk, John D.",IND AM,1.65%,"1,458","State Senate, Clark District 5"
"O'Connell, Ann Incumbent",REP,56.22%,"49,605","State Senate, Clark District 5"
"Warden, Mark D.",LIB,2.66%,"2,348","State Senate, Clark District 5"
Under Votes,,0.00%,0,"State Senate, Clark District 5"
Over Votes,,0.00%,0,"State Senate, Clark District 5"
"Dodge, Duncan",CIT,1.33%,610,"State Senate, Clark District 6"
"Howe, Jess",IND AM,1.81%,829,"State Senate, Clark District 6"
"Rawson, Ray Incumbent",REP,53.87%,"24,717","State Senate, Clark District 6"
"Stanfill, Terrie",DEM,43.00%,"19,729","State Senate, Clark District 6"
Under Votes,,0.00%,0,"State Senate, Clark District 6"
Over Votes,,0.00%,0,"State Senate, Clark District 6"
"Sondej, Ken",REP,31.74%,"13,264","State Senate, Clark District 7"
"Titus, Dina Incumbent",DEM,68.26%,"28,524","State Senate, Clark District 7"
Under Votes,,0.00%,0,"State Senate, Clark District 7"
Over Votes,,0.00%,0,"State Senate, Clark District 7"
"Grant, Channing J.",REP,38.00%,"14,501","State Senate, Clark District 8"
"Schneider, Mike Incumbent",DEM,62.00%,"23,657","State Senate, Clark District 8"
Under Votes,,0.00%,0,"State Senate, Clark District 8"
Over Votes,,0.00%,0,"State Senate, Clark District 8"
"Collins, Tom Incumbent",DEM,65.02%,"10,370","State Assembly, Clark District 1"
"Gobel, Ed",REP,34.98%,"5,578","State Assembly, Clark District 1"
Under Votes,,0.00%,0,"State Assembly, Clark District 1"
Over Votes,,0.00%,0,"State Assembly, Clark District 1"
"Berman, Merle Incumbent",REP,73.46%,"10,160","State Assembly, Clark District 2"
"Sims, Harold D.",CIT,26.54%,"3,670","State Assembly, Clark District 2"
Under Votes,,0.00%,0,"State Assembly, Clark District 2"
Over Votes,,0.00%,0,"State Assembly, Clark District 2"
"Eaton, Kefty W.",REP,32.98%,"2,787","State Assembly, Clark District 3"
"Lee, John Incumbent",DEM,67.02%,"5,663","State Assembly, Clark District 3"
Under Votes,,0.00%,0,"State Assembly, Clark District 3"
Over Votes,,0.00%,0,"State Assembly, Clark District 3"
"Beers, Bob Incumbent",REP,76.85%,"20,189","State Assembly, Clark District 4"
"Miller, Rollo",CIT,23.15%,"6,083","State Assembly, Clark District 4"
Under Votes,,0.00%,0,"State Assembly, Clark District 4"
Over Votes,,0.00%,0,"State Assembly, Clark District 4"
"Cegavske, Barbara K.Incumbent",REP,54.63%,"6,457","State Assembly, Clark District 5"
"Hansen, Kristen",DEM,45.37%,"5,362","State Assembly, Clark District 5"
Under Votes,,0.00%,0,"State Assembly, Clark District 5"
Over Votes,,0.00%,0,"State Assembly, Clark District 5"
"Munford, Harvey J.",DEM,33.93%,"1,784","State Assembly, Clark District 6"
"Williams, Wendell P.Incumbent",DEM,66.07%,"3,474","State Assembly, Clark District 6"
Under Votes,,0.00%,0,"State Assembly, Clark District 6"
Over Votes,,0.00%,0,"State Assembly, Clark District 6"
"Arberry, Morse Incumbent",DEM,76.91%,"5,911","State Assembly, Clark District 7"
"Richardson, Chester Major",REP,23.09%,"1,775","State Assembly, Clark District 7"
Under Votes,,0.00%,0,"State Assembly, Clark District 7"
Over Votes,,0.00%,0,"State Assembly, Clark District 7"
"Buckley, Barbara E.Incumbent",DEM,65.46%,"4,490","State Assembly, Clark District 8"
"Child, Kevin L.",REP,34.54%,"2,369","State Assembly, Clark District 8"
Under Votes,,0.00%,0,"State Assembly, Clark District 8"
Over Votes,,0.00%,0,"State Assembly, Clark District 8"
"Giunchigliani, Chris Incumbent",DEM,66.40%,"3,672","State Assembly, Clark District 9"
"Scarborough, Mark",REP,33.60%,"1,858","State Assembly, Clark District 9"
Under Votes,,0.00%,0,"State Assembly, Clark District 9"
Over Votes,,0.00%,0,"State Assembly, Clark District 9"
"Goldwater, David Incumbent",DEM,67.34%,"3,453","State Assembly, Clark District 10"
"Henry, James",REP,27.69%,"1,420","State Assembly, Clark District 10"
"Whitten, Lewis E.",LIB,4.97%,255,"State Assembly, Clark District 10"
Under Votes,,0.00%,0,"State Assembly, Clark District 10"
Over Votes,,0.00%,0,"State Assembly, Clark District 10"
"Bache, Doug Incumbent",DEM,62.63%,"3,611","State Assembly, Clark District 11"
"Wisner, Michael",REP,37.37%,"2,155","State Assembly, Clark District 11"
Under Votes,,0.00%,0,"State Assembly, Clark District 11"
Over Votes,,0.00%,0,"State Assembly, Clark District 11"
"Del Rosario, Geny",REP,41.23%,"4,662","State Assembly, Clark District 12"
"McClenaghan, Wanda",CIT,4.29%,485,"State Assembly, Clark District 12"
"Ohrenschall, Genie Incumbent",DEM,54.48%,"6,161","State Assembly, Clark District 12"
Under Votes,,0.00%,0,"State Assembly, Clark District 12"
Over Votes,,0.00%,0,"State Assembly, Clark District 12"
"Goynes, Byron",DEM,41.17%,"16,106","State Assembly, Clark District 13"
"Hansen, Jonathan",IND AM,7.65%,"2,992","State Assembly, Clark District 13"
"Nolan, Dennis Incumbent",REP,51.18%,"20,018","State Assembly, Clark District 13"
Under Votes,,0.00%,0,"State Assembly, Clark District 13"
Over Votes,,0.00%,0,"State Assembly, Clark District 13"
"Davis, Michael P.",REP,43.76%,"3,808","State Assembly, Clark District 14"
"Koivisto, Ellen Incumbent",DEM,56.24%,"4,894","State Assembly, Clark District 14"
Under Votes,,0.00%,0,"State Assembly, Clark District 14"
