candidate,party,percent,votes,office
"Browne, Harry",LIB,0.45%,83,President
"Buchanan, Pat",CIT,0.66%,121,President
"Bush, George W.",REP,61.34%,"11,193",President
"Gore, Al",DEM,31.99%,"5,837",President
"Hagelin, John",NAT,0.11%,20,President
"Nader, Ralph",GRN,3.25%,593,President
"Phillips, Howard",IAP,0.14%,25,President
None of these Candidates,,0.56%,102,President
Under Votes,,1.19%,217,President
Over Votes,,0.30%,55,President
"Berghof, Ernie",IAP,0.55%,101,United States Senator
"Bernstein, Ed",DEM,26.28%,"4,795",United States Senator
"Ensign, John",REP,65.92%,"12,027",United States Senator
"Grutzmacher, Bill",CIT,0.30%,54,United States Senator
"Johnson, J.J.",LIB,0.86%,157,United States Senator
"Rusco, Kathryn",GRN,2.38%,435,United States Senator
None of these Candidates,,1.97%,359,United States Senator
Under Votes,,1.62%,295,United States Senator
Over Votes,,0.13%,23,United States Senator
"Brenneman, Ken",CIT,0.45%,82,"Representative in Congress, District 2"
"Cahill, Tierney",DEM,20.93%,"3,818","Representative in Congress, District 2"
"Gibbons, Jim Incumbent",REP,69.03%,"12,595","Representative in Congress, District 2"
"Hansen, Daniel",IAP,0.97%,177,"Representative in Congress, District 2"
"Laws, A. Charles",GRN,1.91%,349,"Representative in Congress, District 2"
"Savage, Terry",LIB,1.13%,207,"Representative in Congress, District 2"
"Winquist, Robert W.",NAT,0.27%,50,"Representative in Congress, District 2"
Under Votes,,4.95%,903,"Representative in Congress, District 2"
Over Votes,,0.36%,65,"Representative in Congress, District 2"
"Edwards, Willie",DEM,23.74%,"4,332","State Assembly, District 39"
"Hettrick, Lynn Incumbent",REP,70.74%,"12,908","State Assembly, District 39"
Under Votes,,5.42%,989,"State Assembly, District 39"
Over Votes,,0.09%,17,"State Assembly, District 39"
"Rose, Robert E.Incumbent",NP,58.46%,"10,667","Supreme Court Justice, Seat C"
None of these Candidates,,20.48%,"3,737","Supreme Court Justice, Seat C"
Under Votes,,21.02%,"3,836","Supreme Court Justice, Seat C"
Over Votes,,0.03%,6,"Supreme Court Justice, Seat C"
"Leavitt, Myron E.Incumbent",NP,57.09%,"10,417","Supreme Court Justice, Seat F"
None of these Candidates,,20.88%,"3,810","Supreme Court Justice, Seat F"
Under Votes,,21.98%,"4,010","Supreme Court Justice, Seat F"
Over Votes,,0.05%,9,"Supreme Court Justice, Seat F"
"Backus, Gary",NP,24.35%,"4,442","Supreme Court Justice, Seat G"
"Becker, Nancy Incumbent",NP,41.47%,"7,566","Supreme Court Justice, Seat G"
None of these Candidates,,15.13%,"2,761","Supreme Court Justice, Seat G"
Under Votes,,18.97%,"3,462","Supreme Court Justice, Seat G"
Over Votes,,0.08%,15,"Supreme Court Justice, Seat G"
"Derby, Jill TalbotIncumbent",NP,65.75%,"11,996","University Board of Regents, District 3, Subdistrict B"
Under Votes,,34.25%,"6,250","University Board of Regents, District 3, Subdistrict B"
Over Votes,,0.00%,0,"University Board of Regents, District 3, Subdistrict B"
"Cook, Dave Incumbent",NP,36.34%,"6,630","State Board of Education, District 3, Subdistrict B"
"Myers, Barbara J.",NP,35.90%,"6,551","State Board of Education, District 3, Subdistrict B"
Under Votes,,27.67%,"5,049","State Board of Education, District 3, Subdistrict B"
Over Votes,,0.09%,16,"State Board of Education, District 3, Subdistrict B"
"Wagner, Al",REP,26.58%,"4,849",County Commissioner - District 1
"Weissinger, Steve",REP,53.10%,"9,688",County Commissioner - District 1
Under Votes,,20.20%,"3,686",County Commissioner - District 1
Over Votes,,0.13%,23,County Commissioner - District 1
"Curtis, Bernie",REP,75.05%,"13,693",County Commissioner - District 3
Under Votes,,24.95%,"4,553",County Commissioner - District 3
Over Votes,,0.00%,0,County Commissioner - District 3
"Kite, Kelly",REP,49.19%,"8,976",County Commissioner - District 5
"Smith, Elaine",REP,30.38%,"5,544",County Commissioner - District 5
Under Votes,,20.29%,"3,702",County Commissioner - District 5
Over Votes,,0.13%,24,County Commissioner - District 5
"Brady, David J.",NP,41.88%,"7,642",School Board Trustee - Area 1
"Hulsey, Veronica",NP,32.24%,"5,882",School Board Trustee - Area 1
Under Votes,,25.84%,"4,715",School Board Trustee - Area 1
Over Votes,,0.04%,7,School Board Trustee - Area 1
"Echan, George",NP,38.30%,"6,989",School Board Trustee - Area 3
"Laughlin, William",NP,37.79%,"6,896",School Board Trustee - Area 3
Under Votes,,23.86%,"4,353",School Board Trustee - Area 3
Over Votes,,0.04%,8,School Board Trustee - Area 3
"Green, Randy F.",NP,51.93%,"9,475",School Board Trustee - Area 4
"Raker, John",NP,25.76%,"4,701",School Board Trustee - Area 4
Under Votes,,22.22%,"4,054",School Board Trustee - Area 4
Over Votes,,0.09%,16,School Board Trustee - Area 4
"Keegan, Jim",NP,62.50%,"11,403",School Board Trustee - Area 5
Under Votes,,37.50%,"6,843",School Board Trustee - Area 5
Over Votes,,0.00%,0,School Board Trustee - Area 5
"Pullen, Charles L.",NP,26.94%,"4,916",School Board Trustee - Area 7
"Roman, Keith",NP,44.19%,"8,062",School Board Trustee - Area 7
Under Votes,,28.75%,"5,245",School Board Trustee - Area 7
Over Votes,,0.13%,23,School Board Trustee - Area 7
"Enearl, Jim A.",NP,72.03%,"10,847","Justice of the Peace, East Fork Township"
