candidate,party,percent,votes,office
Under Votes,,27.97%,"4,213","Justice of the Peace, East Fork Township"
Over Votes,,0.00%,0,"Justice of the Peace, East Fork Township"
"Finnegan, Ray",NP,30.01%,956,"Justice of the Peace, Tahoe Township"
"Glasson, Richard",NP,51.69%,"1,647","Justice of the Peace, Tahoe Township"
Under Votes,,18.14%,578,"Justice of the Peace, Tahoe Township"
Over Votes,,0.16%,5,"Justice of the Peace, Tahoe Township"
"Benz, Bernie",NP,22.27%,"4,314",East Fork Swimming Pool General Improvement District
"Brenner, Van",NP,22.22%,"4,306",East Fork Swimming Pool General Improvement District
"Diederich, Gary",NP,27.44%,"5,316",East Fork Swimming Pool General Improvement District
"Hamilton, Bill",NP,28.07%,"5,439",East Fork Swimming Pool General Improvement District
Under Votes,,0.00%,0,East Fork Swimming Pool General Improvement District
Over Votes,,0.00%,0,East Fork Swimming Pool General Improvement District
"Orr, Loren R.",NP,11.52%,523,Gardnerville Town Board
"Slater, Randy",NP,15.58%,707,Gardnerville Town Board
Under Votes,,72.90%,"3,308",Gardnerville Town Board
Over Votes,,0.00%,0,Gardnerville Town Board
"Donohoe Jr., William J.",NP,8.33%,67,Genoa Town Board
"White, Dennis C.",NP,9.95%,80,Genoa Town Board
Under Votes,,81.72%,657,Genoa Town Board
Over Votes,,0.00%,0,Genoa Town Board
"Jacobsen, Bruce",NP,16.38%,739,Minden Town Board
"Smith, Bernadette J.",NP,13.98%,631,Minden Town Board
"Wilson, Raymond G.",NP,15.34%,692,Minden Town Board
Under Votes,,54.26%,"2,448",Minden Town Board
Over Votes,,0.04%,2,Minden Town Board
"Carter, Ron",NP,10.91%,302,Topaz Ranch Estates General Improvement District
"Fulmer, Bill",NP,10.48%,290,Topaz Ranch Estates General Improvement District
"Hinton-Rebiejo, Betty",NP,8.89%,246,Topaz Ranch Estates General Improvement District
"Mariani, Ann",NP,8.74%,242,Topaz Ranch Estates General Improvement District
"Schudel, Richard V.",NP,6.29%,174,Topaz Ranch Estates General Improvement District
"Van Brunt, Lee",NP,9.97%,276,Topaz Ranch Estates General Improvement District
"Worley, Dan",NP,8.06%,223,Topaz Ranch Estates General Improvement District
Under Votes,,36.24%,"1,003",Topaz Ranch Estates General Improvement District
Over Votes,,0.43%,12,Topaz Ranch Estates General Improvement District
"Fournier, Dianne Humble",NP,5.47%,262,Indian Hills General Improvement District - 4 year term
"Haskell, Renee Rochelle",NP,4.47%,214,Indian Hills General Improvement District - 4 year term
"Kruse, Ronald",NP,8.14%,390,Indian Hills General Improvement District - 4 year term
"Pascoe, Rhonda",NP,4.11%,197,Indian Hills General Improvement District - 4 year term
Under Votes,,77.64%,"3,718",Indian Hills General Improvement District - 4 year term
Over Votes,,0.17%,8,Indian Hills General Improvement District - 4 year term
"Evans, Riley E.",NP,49.08%,402,Indian Hills General Improvement District - 2 year term
"Hall, Daniel",NP,50.92%,417,Indian Hills General Improvement District - 2 year term
Under Votes,,0.00%,0,Indian Hills General Improvement District - 2 year term
Over Votes,,0.00%,0,Indian Hills General Improvement District - 2 year term
"Beattie, Jim",NP,13.54%,494,Kingsbury General Improvement District
"Cook, Bob",NP,17.08%,623,Kingsbury General Improvement District
"Dolliver, Wallace E.",NP,7.07%,258,Kingsbury General Improvement District
"Treanor, Carolyn R.",NP,15.10%,551,Kingsbury General Improvement District
Under Votes,,47.04%,"1,716",Kingsbury General Improvement District
Over Votes,,0.16%,6,Kingsbury General Improvement District
"Case, Raymond J.",NP,11.65%,219,Round Hill General Improvement District
"Loding, Bob",NP,4.79%,90,Round Hill General Improvement District
"Stone, Richard",NP,7.66%,144,Round Hill General Improvement District
Under Votes,,75.90%,"1,427",Round Hill General Improvement District
Over Votes,,0.00%,0,Round Hill General Improvement District
Yes,,34.81%,"6,352",Ballot Question 1
No,,59.96%,"10,940",Ballot Question 1
Under Votes,,5.12%,934,Ballot Question 1
Over Votes,,0.11%,20,Ballot Question 1
Yes,,69.51%,"12,683",Ballot Question 2
No,,27.78%,"5,068",Ballot Question 2
Under Votes,,2.54%,464,Ballot Question 2
Over Votes,,0.17%,31,Ballot Question 2
Yes,,56.57%,"10,317",Ballot Question 9
No,,38.72%,"7,061",Ballot Question 9
Under Votes,,4.68%,853,Ballot Question 9
Over Votes,,0.03%,5,Ballot Question 9
