candidate,party,percent,votes,office
"Ensign, John",REP,86.14%,522,U.S. Senate (Rep)
"Hamzik, Richard",REP,5.12%,31,U.S. Senate (Rep)
"Platin, Fernando Jr.",REP,0.99%,6,U.S. Senate (Rep)
None of these Candidates,,7.26%,44,U.S. Senate (Rep)
Under Votes,,0.33%,2,U.S. Senate (Rep)
Over Votes,,0.17%,1,U.S. Senate (Rep)
"Gibbons, Jim",REP,88.12%,534,"Representative in Congress, District 2 (Rep)"
"Tracy, Mitchell T.",REP,10.23%,62,"Representative in Congress, District 2 (Rep)"
None of these Candidates,,0.00%,0,"Representative in Congress, District 2 (Rep)"
Under Votes,,1.65%,10,"Representative in Congress, District 2 (Rep)"
Over Votes,,0.00%,0,"Representative in Congress, District 2 (Rep)"
"Gustin, Gene",REP,27.89%,169,State Senate-Northern Senatorial District (Rep)
"Rhoads, Dean A.",REP,69.47%,421,State Senate-Northern Senatorial District (Rep)
Under Votes,,2.31%,14,State Senate-Northern Senatorial District (Rep)
Over Votes,,0.33%,2,State Senate-Northern Senatorial District (Rep)
"Davis, Kimberlie",REP,9.24%,56,State Assembly District 34 (Rep)
"Fransway, Tom",REP,28.05%,170,State Assembly District 34 (Rep)
"Marvel, John",REP,61.06%,370,State Assembly District 34 (Rep)
Under Votes,,1.49%,9,State Assembly District 34 (Rep)
Over Votes,,0.17%,1,State Assembly District 34 (Rep)
"Backus, Gary",NP,15.88%,192,"Supreme Court Justice, Seat G (NP)"
"Becker, Nancy A.",NP,44.33%,536,"Supreme Court Justice, Seat G (NP)"
"Williams, Day R.",NP,6.45%,78,"Supreme Court Justice, Seat G (NP)"
None of these Candidates,,25.48%,308,"Supreme Court Justice, Seat G (NP)"
Under Votes,,7.61%,92,"Supreme Court Justice, Seat G (NP)"
Over Votes,,0.25%,3,"Supreme Court Justice, Seat G (NP)"
"Denier, William",REP,41.75%,253,"County Commissioner, Seat A (Rep)"
"Hardy, Ronald K.",REP,54.95%,333,"County Commissioner, Seat A (Rep)"
Under Votes,,2.97%,18,"County Commissioner, Seat A (Rep)"
Over Votes,,0.33%,2,"County Commissioner, Seat A (Rep)"
"Arnold, Brad E.",DEM,33.52%,175,"County Commissioner, Seat A (Dem)"
"Campbell, Bartt",DEM,22.80%,119,"County Commissioner, Seat A (Dem)"
"Harris, Palmer",DEM,25.29%,132,"County Commissioner, Seat A (Dem)"
"Stephens, Brian Shawn",DEM,14.56%,76,"County Commissioner, Seat A (Dem)"
Under Votes,,3.07%,16,"County Commissioner, Seat A (Dem)"
Over Votes,,0.77%,4,"County Commissioner, Seat A (Dem)"
