candidate,party,percent,votes,office
"Ensign, John",REP,88.30%,"1,517",U.S. Senate (Rep)
"Hamzik, Richard",REP,3.90%,67,U.S. Senate (Rep)
"Platin, Fernando Jr.",REP,1.11%,19,U.S. Senate (Rep)
None of these Candidates,,4.77%,82,U.S. Senate (Rep)
Under Votes,,1.92%,33,U.S. Senate (Rep)
Over Votes,,0.00%,0,U.S. Senate (Rep)
"Gibbons, Jim",REP,88.42%,"1,519","Representative in Congress, District 2 (Rep)"
"Tracy, Mitchell T.",REP,7.63%,131,"Representative in Congress, District 2 (Rep)"
None of these Candidates,,0.00%,0,"Representative in Congress, District 2 (Rep)"
Under Votes,,3.96%,68,"Representative in Congress, District 2 (Rep)"
Over Votes,,0.00%,0,"Representative in Congress, District 2 (Rep)"
"Gustin, Gene",REP,23.75%,408,State Senate-Northern Senatorial District (Rep)
"Rhoads, Dean A.",REP,72.24%,"1,241",State Senate-Northern Senatorial District (Rep)
Under Votes,,4.02%,69,State Senate-Northern Senatorial District (Rep)
Over Votes,,0.00%,0,State Senate-Northern Senatorial District (Rep)
"Davis, Kimberlie",REP,5.12%,88,State Assembly District 34 (Rep)
"Fransway, Tom",REP,34.34%,590,State Assembly District 34 (Rep)
"Marvel, John",REP,58.44%,"1,004",State Assembly District 34 (Rep)
Under Votes,,2.04%,35,State Assembly District 34 (Rep)
Over Votes,,0.06%,1,State Assembly District 34 (Rep)
"Backus, Gary",NP,20.29%,580,"Supreme Court Justice, Seat G (NP)"
"Becker, Nancy A.",NP,39.42%,"1,127","Supreme Court Justice, Seat G (NP)"
"Williams, Day R.",NP,6.82%,195,"Supreme Court Justice, Seat G (NP)"
None of these Candidates,,25.92%,741,"Supreme Court Justice, Seat G (NP)"
Under Votes,,7.49%,214,"Supreme Court Justice, Seat G (NP)"
Over Votes,,0.07%,2,"Supreme Court Justice, Seat G (NP)"
