candidate,party,percent,votes,office
"Browne, Harry",LIB,0.66%,12,President
"Buchanan, Pat",CIT,0.61%,11,President
"Bush, George W.",REP,55.87%,"1,014",President
"Gore, Al",DEM,36.69%,666,President
"Hagelin, John",NAT,0.22%,4,President
"Nader, Ralph",GRN,4.35%,79,President
"Phillips, Howard",IAP,0.11%,2,President
None of these Candidates,,0.55%,10,President
Under Votes,,0.88%,16,President
Over Votes,,0.06%,1,President
"Berghof, Ernie",IAP,0.50%,9,United States Senator
"Bernstein, Ed",DEM,30.12%,543,United States Senator
"Ensign, John",REP,61.45%,"1,108",United States Senator
"Grutzmacher, Bill",CIT,0.33%,6,United States Senator
"Johnson, J.J.",LIB,1.44%,26,United States Senator
"Rusco, Kathryn",GRN,2.55%,46,United States Senator
None of these Candidates,,2.05%,37,United States Senator
Under Votes,,1.50%,27,United States Senator
Over Votes,,0.06%,1,United States Senator
"Brenneman, Ken",CIT,0.39%,7,"Representative in Congress, District 2"
"Cahill, Tierney",DEM,22.24%,401,"Representative in Congress, District 2"
"Gibbons, Jim Incumbent",REP,67.89%,"1,224","Representative in Congress, District 2"
"Hansen, Daniel",IAP,1.66%,30,"Representative in Congress, District 2"
"Laws, A. Charles",GRN,2.00%,36,"Representative in Congress, District 2"
"Savage, Terry",LIB,2.05%,37,"Representative in Congress, District 2"
"Winquist, Robert W.",NAT,0.55%,10,"Representative in Congress, District 2"
Under Votes,,3.16%,57,"Representative in Congress, District 2"
Over Votes,,0.06%,1,"Representative in Congress, District 2"
"Bishop, Roger",REP,32.72%,590,"State Assembly, District 38"
"Dini, Jr., Joseph E.Incumbent",DEM,63.23%,"1,140","State Assembly, District 38"
Under Votes,,4.05%,73,"State Assembly, District 38"
Over Votes,,0.00%,0,"State Assembly, District 38"
"Rose, Robert E.Incumbent",NP,64.04%,"1,161","Supreme Court Justice, Seat C"
None of these Candidates,,23.66%,429,"Supreme Court Justice, Seat C"
Under Votes,,12.30%,223,"Supreme Court Justice, Seat C"
Over Votes,,0.00%,0,"Supreme Court Justice, Seat C"
"Leavitt, Myron E.Incumbent",NP,64.12%,"1,156","Supreme Court Justice, Seat F"
None of these Candidates,,23.52%,424,"Supreme Court Justice, Seat F"
Under Votes,,12.37%,223,"Supreme Court Justice, Seat F"
Over Votes,,0.00%,0,"Supreme Court Justice, Seat F"
"Backus, Gary",NP,28.29%,510,"Supreme Court Justice, Seat G"
"Becker, Nancy Incumbent",NP,46.15%,832,"Supreme Court Justice, Seat G"
None of these Candidates,,15.03%,271,"Supreme Court Justice, Seat G"
Under Votes,,10.37%,187,"Supreme Court Justice, Seat G"
Over Votes,,0.17%,3,"Supreme Court Justice, Seat G"
"Derby, Jill TalbotIncumbent",NP,74.21%,"1,338","University Board of Regents, District 3, Subdistrict B"
Under Votes,,25.79%,465,"University Board of Regents, District 3, Subdistrict B"
Over Votes,,0.00%,0,"University Board of Regents, District 3, Subdistrict B"
"Cook, Dave Incumbent",NP,37.49%,676,"State Board of Education, District 3, Subdistrict B"
"Myers, Barbara J.",NP,43.93%,792,"State Board of Education, District 3, Subdistrict B"
Under Votes,,18.52%,334,"State Board of Education, District 3, Subdistrict B"
Over Votes,,0.06%,1,"State Board of Education, District 3, Subdistrict B"
"Daniels, Annette",NP,58.24%,"1,050",Justice of the Peace
"Swafford, Harold",NP,36.38%,656,Justice of the Peace
Under Votes,,5.21%,94,Justice of the Peace
Over Votes,,0.17%,3,Justice of the Peace
"Hess, Greg J.",REP,79.53%,"1,434","Commissioner, District 2"
Under Votes,,20.47%,369,"Commissioner, District 2"
Over Votes,,0.00%,0,"Commissioner, District 2"
"Miller, Dennis M.",DEM,43.09%,777,"Commissioner, District 3"
"Kershaw, Robert T.",REP,50.64%,913,"Commissioner, District 3"
Under Votes,,6.27%,113,"Commissioner, District 3"
Over Votes,,0.00%,0,"Commissioner, District 3"
"James, Cathlee",NP,53.02%,956,"Storey County School Board of Trustees, Seat 1-A"
"Murkovich, Ed",NP,37.71%,680,"Storey County School Board of Trustees, Seat 1-A"
Under Votes,,9.21%,166,"Storey County School Board of Trustees, Seat 1-A"
Over Votes,,0.06%,1,"Storey County School Board of Trustees, Seat 1-A"
