candidate,party,percent,votes,office
"Ensign, John",REP,86.33%,341,United States Senator (Rep)
"Hamzik, Richard",REP,4.05%,16,United States Senator (Rep)
"Platin, Fernando Jr.",REP,1.52%,6,United States Senator (Rep)
None of these Candidates,,6.08%,24,United States Senator (Rep)
Under Votes,,2.03%,8,United States Senator (Rep)
Over Votes,,0.00%,0,United States Senator (Rep)
"Gibbons, Jim",REP,86.84%,343,"Representative in Congress, District 2 (Rep)"
"Tracy, Mitchell T.",REP,10.89%,43,"Representative in Congress, District 2 (Rep)"
None of these Candidates,,0.00%,0,"Representative in Congress, District 2 (Rep)"
Under Votes,,2.28%,9,"Representative in Congress, District 2 (Rep)"
Over Votes,,0.00%,0,"Representative in Congress, District 2 (Rep)"
"Gustin, Gene",REP,45.15%,163,State Senate-Northern Senatorial District (Rep)
"Rhoads, Dean A.",REP,52.35%,189,State Senate-Northern Senatorial District (Rep)
Under Votes,,2.49%,9,State Senate-Northern Senatorial District (Rep)
Over Votes,,0.00%,0,State Senate-Northern Senatorial District (Rep)
"Davis, Kimberlie",REP,9.97%,36,State Assembly District 34 (Rep)
"Fransway, Tom",REP,26.32%,95,State Assembly District 34 (Rep)
"Marvel, John",REP,61.22%,221,State Assembly District 34 (Rep)
Under Votes,,2.49%,9,State Assembly District 34 (Rep)
Over Votes,,0.00%,0,State Assembly District 34 (Rep)
"Backus, Gary",NP,23.55%,126,"Supreme Court Justice, Seat G (NP)"
"Becker, Nancy A.",NP,36.82%,197,"Supreme Court Justice, Seat G (NP)"
"Williams, Day R.",NP,10.28%,55,"Supreme Court Justice, Seat G (NP)"
None of these Candidates,,24.86%,133,"Supreme Court Justice, Seat G (NP)"
Under Votes,,4.49%,24,"Supreme Court Justice, Seat G (NP)"
Over Votes,,0.00%,0,"Supreme Court Justice, Seat G (NP)"
