candidate,party,percent,votes,office
"Browne, Harry",LIB,1.78%,15,President
"Buchanan, Pat",CIT,1.30%,11,President
"Bush, George W.",REP,74.97%,632,President
"Gore, Al",DEM,17.79%,150,President
"Hagelin, John",NAT,0.12%,1,President
"Nader, Ralph",GRN,1.78%,15,President
"Phillips, Howard",IAP,0.24%,2,President
None of these Candidates,,1.30%,11,President
Under Votes,,0.24%,2,President
Over Votes,,0.47%,4,President
"Berghof, Ernie",IAP,0.00%,0,U.S. Senate
"Bernstein, Ed",DEM,18.27%,154,U.S. Senate
"Ensign, John",REP,74.73%,630,U.S. Senate
"Grutzmacher, Bill",CIT,0.12%,1,U.S. Senate
"Johnson, J.J.",LIB,1.78%,15,U.S. Senate
"Rusco, Kathryn",GRN,1.19%,10,U.S. Senate
None of these Candidates,,3.32%,28,U.S. Senate
Under Votes,,0.47%,4,U.S. Senate
Over Votes,,0.12%,1,U.S. Senate
"Brenneman, Ken",CIT,1.19%,10,"Representative in Congress, District 2"
"Cahill, Tierney",DEM,15.07%,127,"Representative in Congress, District 2"
"Gibbons, Jim Incumbent",REP,75.92%,640,"Representative in Congress, District 2"
"Hansen, Daniel",IAP,1.54%,13,"Representative in Congress, District 2"
"Laws, A. Charles",GRN,0.71%,6,"Representative in Congress, District 2"
"Savage, Terry",LIB,2.61%,22,"Representative in Congress, District 2"
"Winquist, Robert W.",NAT,0.24%,2,"Representative in Congress, District 2"
Under Votes,,2.73%,23,"Representative in Congress, District 2"
Over Votes,,0.00%,0,"Representative in Congress, District 2"
"Beaman, Ed",DEM,19.70%,13,"State Senate, Central Senatorial District"
"McGinness, Mike Incumbent",REP,63.64%,42,"State Senate, Central Senatorial District"
Under Votes,,16.67%,11,"State Senate, Central Senatorial District"
Over Votes,,0.00%,0,"State Senate, Central Senatorial District"
"Oswald, William",LIB,17.50%,136,Northern Senatorial District
"Rhoads, Dean A.Incumbent",REP,77.86%,605,Northern Senatorial District
Under Votes,,4.38%,34,Northern Senatorial District
Over Votes,,0.26%,2,Northern Senatorial District
"Martinez, Fortino",DEM,14.54%,113,"State Assembly, District 34"
"Marvel, John Incumbent",REP,68.85%,535,"State Assembly, District 34"
"Minser, James C.",LIB,13.90%,108,"State Assembly, District 34"
Under Votes,,2.70%,21,"State Assembly, District 34"
Over Votes,,0.00%,0,"State Assembly, District 34"
"de Braga, Marcia Incumbent",DEM,56.06%,37,"State Assembly, District 35"
Under Votes,,43.94%,29,"State Assembly, District 35"
Over Votes,,0.00%,0,"State Assembly, District 35"
"Rose, Robert E.Incumbent",NP,57.53%,485,"Supreme Court Justice, Seat C"
None of these Candidates,,26.93%,227,"Supreme Court Justice, Seat C"
Under Votes,,15.42%,130,"Supreme Court Justice, Seat C"
Over Votes,,0.12%,1,"Supreme Court Justice, Seat C"
"Leavitt, Myron E.Incumbent",NP,60.02%,506,"Supreme Court Justice, Seat F"
None of these Candidates,,22.89%,193,"Supreme Court Justice, Seat F"
Under Votes,,17.08%,144,"Supreme Court Justice, Seat F"
Over Votes,,0.00%,0,"Supreme Court Justice, Seat F"
"Backus, Gary",NP,24.08%,203,"Supreme Court Justice, Seat G"
"Becker, Nancy Incumbent",NP,54.80%,462,"Supreme Court Justice, Seat G"
None of these Candidates,,15.54%,131,"Supreme Court Justice, Seat G"
Under Votes,,5.58%,47,"Supreme Court Justice, Seat G"
Over Votes,,0.00%,0,"Supreme Court Justice, Seat G"
"Anderson, Edward B.",DEM,37.25%,314,County Commissioner - District 1
"Robinson, Wayne D.",REP,56.94%,480,County Commissioner - District 1
Under Votes,,5.46%,46,County Commissioner - District 1
Over Votes,,0.36%,3,County Commissioner - District 1
"Bailey, Donna R.",REP,51.01%,430,County Commissioner -District 3
"Slagowski, Carl F",REP,44.25%,373,County Commissioner -District 3
Under Votes,,4.51%,38,County Commissioner -District 3
Over Votes,,0.24%,2,County Commissioner -District 3
"Fye, Susan A.",NP,68.24%,159,Justice of the Peace-Beowawe Township
"Trow, George T.",NP,24.03%,56,Justice of the Peace-Beowawe Township
Under Votes,,7.30%,17,Justice of the Peace-Beowawe Township
Over Votes,,0.43%,1,Justice of the Peace-Beowawe Township
"Schweble, John F.",NP,80.00%,488,Justice of the Peace-Eureka Township
"Vernes, Sharlene",NP,13.44%,82,Justice of the Peace-Eureka Township
Under Votes,,6.56%,40,Justice of the Peace-Eureka Township
Over Votes,,0.00%,0,Justice of the Peace-Eureka Township
"Jones, Alan R.",NP,64.77%,546,County School Trustee- 1A
Under Votes,,35.23%,297,County School Trustee- 1A
Over Votes,,0.00%,0,County School Trustee- 1A
"Riggs, William",NP,67.02%,565,County School Trustee- 1B
Under Votes,,32.98%,278,County School Trustee- 1B
Over Votes,,0.00%,0,County School Trustee- 1B
"Burnham, Carol T.",NP,64.89%,547,County School Trustee- 1C
Under Votes,,35.11%,296,County School Trustee- 1C
Over Votes,,0.00%,0,County School Trustee- 1C
"Conley, Kenneth E.",NP,67.97%,573,County School Trustee- 2B
Under Votes,,32.03%,270,County School Trustee- 2B
Over Votes,,0.00%,0,County School Trustee- 2B
"Mallory, Dee",NP,44.27%,58,Crescent Valley Town Board - 4 Year Term
Under Votes,,55.73%,73,Crescent Valley Town Board - 4 Year Term
Over Votes,,0.00%,0,Crescent Valley Town Board - 4 Year Term
"Jones, Benita",NP,61.83%,81,Crescent Valley Town Board - 2 Year Term
Under Votes,,38.17%,50,Crescent Valley Town Board - 2 Year Term
Over Votes,,0.00%,0,Crescent Valley Town Board - 2 Year Term
"Wilson, Harold L.",NP,46.56%,61,Crescent Valley Town Board - 2 Year Term
