candidate,party,percent,votes,office
"Browne, Harry",LIB,0.66%,79,President
"Buchanan, Pat",CIT,1.20%,144,President
"Bush, George W.",REP,60.62%,"7,270",President
"Gore, Al",DEM,32.98%,"3,955",President
"Hagelin, John",NAT,0.20%,24,President
"Nader, Ralph",GRN,3.19%,382,President
"Phillips, Howard",IAP,0.28%,34,President
None of these Candidates,,0.87%,104,President
Under Votes,,0.00%,0,President
Over Votes,,0.00%,0,President
"Berghof, Ernie",IAP,0.57%,68,U.S. Senate
"Bernstein, Ed",DEM,28.11%,"3,343",U.S. Senate
"Ensign, John",REP,65.49%,"7,789",U.S. Senate
"Grutzmacher, Bill",CIT,0.35%,42,U.S. Senate
"Johnson, J.J.",LIB,0.97%,115,U.S. Senate
"Rusco, Kathryn",GRN,2.21%,263,U.S. Senate
None of these Candidates,,2.30%,274,U.S. Senate
Under Votes,,0.00%,0,U.S. Senate
Over Votes,,0.00%,0,U.S. Senate
"Brenneman, Ken",CIT,0.66%,76,"Representative in Congress, District 2"
"Cahill, Tierney",DEM,23.01%,"2,665","Representative in Congress, District 2"
"Gibbons, Jim Incumbent",REP,70.88%,"8,211","Representative in Congress, District 2"
"Hansen, Daniel",IAP,1.93%,224,"Representative in Congress, District 2"
"Laws, A. Charles",GRN,1.51%,175,"Representative in Congress, District 2"
"Savage, Terry",LIB,1.63%,189,"Representative in Congress, District 2"
"Winquist, Robert W.",NAT,0.38%,44,"Representative in Congress, District 2"
Under Votes,,0.00%,0,"Representative in Congress, District 2"
Over Votes,,0.00%,0,"Representative in Congress, District 2"
"Bishop, Roger",REP,34.19%,"3,848","State Assembly, District 38"
"Dini, Jr., Joseph E.Incumbent",DEM,65.81%,"7,406","State Assembly, District 38"
Under Votes,,0.00%,0,"State Assembly, District 38"
Over Votes,,0.00%,0,"State Assembly, District 38"
"Rose, Robert E.Incumbent",NP,76.02%,"7,789","Supreme Court Justice, Seat C"
None of these Candidates,,23.98%,"2,457","Supreme Court Justice, Seat C"
Under Votes,,0.00%,0,"Supreme Court Justice, Seat C"
Over Votes,,0.00%,0,"Supreme Court Justice, Seat C"
"Leavitt, Myron E.Incumbent",NP,76.12%,"7,644","Supreme Court Justice, Seat F"
None of these Candidates,,23.88%,"2,398","Supreme Court Justice, Seat F"
Under Votes,,0.00%,0,"Supreme Court Justice, Seat F"
Over Votes,,0.00%,0,"Supreme Court Justice, Seat F"
"Backus, Gary",NP,29.05%,"3,055","Supreme Court Justice, Seat G"
"Becker, Nancy Incumbent",NP,55.27%,"5,813","Supreme Court Justice, Seat G"
None of these Candidates,,15.69%,"1,650","Supreme Court Justice, Seat G"
Under Votes,,0.00%,0,"Supreme Court Justice, Seat G"
Over Votes,,0.00%,0,"Supreme Court Justice, Seat G"
"Estes, Robert E.",NP,57.59%,"6,143","District Court Judge, District 3, Department 3"
"Pederson, Wayne A.",NP,42.41%,"4,523","District Court Judge, District 3, Department 3"
Under Votes,,0.00%,0,"District Court Judge, District 3, Department 3"
Over Votes,,0.00%,0,"District Court Judge, District 3, Department 3"
"Derby, Jill TalbotIncumbent",NP,100.00%,"4,997","University Board of Regents, District 3, Subdistrict B"
Under Votes,,0.00%,0,"University Board of Regents, District 3, Subdistrict B"
Over Votes,,0.00%,0,"University Board of Regents, District 3, Subdistrict B"
"Cook, Dave Incumbent",NP,51.03%,"2,935","State Board of Education, District 3, Subdistrict B"
"Myers, Barbara J.",NP,48.97%,"2,817","State Board of Education, District 3, Subdistrict B"
Under Votes,,0.00%,0,"State Board of Education, District 3, Subdistrict B"
Over Votes,,0.00%,0,"State Board of Education, District 3, Subdistrict B"
"Milz, Bob",REP,100.00%,"9,135","County Commissioner, District I"
Under Votes,,0.00%,0,"County Commissioner, District I"
Over Votes,,0.00%,0,"County Commissioner, District I"
"Fulstone II, David H",REP,100.00%,"9,327","County Commissioner, District III"
Under Votes,,0.00%,0,"County Commissioner, District III"
Over Votes,,0.00%,0,"County Commissioner, District III"
"Goodman, LeRoy",REP,100.00%,"9,216","County Commissioner, District IV"
Under Votes,,0.00%,0,"County Commissioner, District IV"
Over Votes,,0.00%,0,"County Commissioner, District IV"
"Huckaby, James F",NP,100.00%,"8,563","County School District Trustee, District I"
Under Votes,,0.00%,0,"County School District Trustee, District I"
Over Votes,,0.00%,0,"County School District Trustee, District I"
"Martin, Jim",NP,40.10%,"3,858","County School District Trustee, District III"
"Sayre, Kimberly S.",NP,59.90%,"5,764","County School District Trustee, District III"
Under Votes,,0.00%,0,"County School District Trustee, District III"
Over Votes,,0.00%,0,"County School District Trustee, District III"
"Snyder, Jim",NP,55.80%,"5,382","County School District Trustee, District V"
"Turner, Kimberly A.",NP,44.20%,"4,263","County School District Trustee, District V"
Under Votes,,0.00%,0,"County School District Trustee, District V"
Over Votes,,0.00%,0,"County School District Trustee, District V"
"Thran, Bob",NP,100.00%,"8,469","County School District Trustee, District VII"
Under Votes,,0.00%,0,"County School District Trustee, District VII"
Over Votes,,0.00%,0,"County School District Trustee, District VII"
"Landolt, Beverly J.",NP,100.00%,"1,833",South Lyon County Hospital District Trustees
Under Votes,,0.00%,0,South Lyon County Hospital District Trustees
Over Votes,,0.00%,0,South Lyon County Hospital District Trustees
"Ayers, Chuck",NP,49.46%,"2,055","Central Lyon County Fire Protection Directors, District I"
"McLaughlin, Steve L.",NP,50.54%,"2,100","Central Lyon County Fire Protection Directors, District I"
Under Votes,,0.00%,0,"Central Lyon County Fire Protection Directors, District I"
Over Votes,,0.00%,0,"Central Lyon County Fire Protection Directors, District I"
"Bennetts, John",NP,48.57%,"2,272",Dayton Township Justice of the Peace
"Rogers, William G.",NP,51.43%,"2,406",Dayton Township Justice of the Peace
Under Votes,,0.00%,0,Dayton Township Justice of the Peace
Over Votes,,0.00%,0,Dayton Township Justice of the Peace
"Dibble, John K.",NP,30.11%,891,Mason Valley Townshhip Justice of the Peace
"Milligan, Dennis T.",NP,69.89%,"2,068",Mason Valley Townshhip Justice of the Peace
Under Votes,,0.00%,0,Mason Valley Townshhip Justice of the Peace
Over Votes,,0.00%,0,Mason Valley Townshhip Justice of the Peace
"White, Frances R.",NP,100.00%,655,Smith Valley Township Justice of the Peace
Under Votes,,0.00%,0,Smith Valley Township Justice of the Peace
Over Votes,,0.00%,0,Smith Valley Township Justice of the Peace
"Kaplan, Patricia",NP,44.95%,"1,277",Canal Township Justice of the Peace
"Lehman, Stephan W.",NP,55.05%,"1,564",Canal Township Justice of the Peace
Under Votes,,0.00%,0,Canal Township Justice of the Peace
Over Votes,,0.00%,0,Canal Township Justice of the Peace
"Lunsford, Danny Joe",NP,48.51%,"1,811",Fernley Town Board Members
"Stix, Jr, David F.",NP,51.49%,"1,922",Fernley Town Board Members
Under Votes,,0.00%,0,Fernley Town Board Members
Over Votes,,0.00%,0,Fernley Town Board Members
"Bauer, Daniel J.",NP,29.98%,"1,351",Fernley Town Board Members
"Chaffin, Curt",NP,20.39%,919,Fernley Town Board Members
"Menke, Ralph J.",NP,27.47%,"1,238",Fernley Town Board Members
"Voigt, Paula Rae",NP,22.17%,999,Fernley Town Board Members
Under Votes,,0.00%,0,Fernley Town Board Members
Over Votes,,0.00%,0,Fernley Town Board Members
Yes,,34.01%,"3,945",Ballot Question 1
No,,65.99%,"7,656",Ballot Question 1
Under Votes,,0.00%,0,Ballot Question 1
Over Votes,,0.00%,0,Ballot Question 1
Yes,,76.09%,"9,007",Ballot Question 2
No,,23.91%,"2,830",Ballot Question 2
Under Votes,,0.00%,0,Ballot Question 2
Over Votes,,0.00%,0,Ballot Question 2
Yes,,56.69%,"6,668",Ballot Question 9
No,,43.31%,"5,094",Ballot Question 9
Under Votes,,0.00%,0,Ballot Question 9
Over Votes,,0.00%,0,Ballot Question 9
Yes,,56.38%,"6,574",Question #10 LYON COUNTY SCHOOL DISTRICT BOND QUESTION
No,,43.62%,"5,086",Question #10 LYON COUNTY SCHOOL DISTRICT BOND QUESTION
Under Votes,,0.00%,0,Question #10 LYON COUNTY SCHOOL DISTRICT BOND QUESTION
Over Votes,,0.00%,0,Question #10 LYON COUNTY SCHOOL DISTRICT BOND QUESTION
Yes,,38.06%,"1,911",Question #11 CENTRAL LYON COUNTY FIRE PROTECTION DISTRICT SPECIAL ELECTIVE TAX QUESTION
No,,61.94%,"3,110",Question #11 CENTRAL LYON COUNTY FIRE PROTECTION DISTRICT SPECIAL ELECTIVE TAX QUESTION
Under Votes,,0.00%,0,Question #11 CENTRAL LYON COUNTY FIRE PROTECTION DISTRICT SPECIAL ELECTIVE TAX QUESTION
Over Votes,,0.00%,0,Question #11 CENTRAL LYON COUNTY FIRE PROTECTION DISTRICT SPECIAL ELECTIVE TAX QUESTION
Yes,,31.75%,"1,557",Question #12 ADVISORY QUESTION : CENTRAL LYON COUNTY PARKS AND RECREATION
No,,68.25%,"3,347",Question #12 ADVISORY QUESTION : CENTRAL LYON COUNTY PARKS AND RECREATION
Under Votes,,0.00%,0,Question #12 ADVISORY QUESTION : CENTRAL LYON COUNTY PARKS AND RECREATION
Over Votes,,0.00%,0,Question #12 ADVISORY QUESTION : CENTRAL LYON COUNTY PARKS AND RECREATION
