candidate,party,percent,votes,office
"Browne, Harry",LIB,0.39%,7,President
"Buchanan, Pat",CIT,1.17%,21,President
"Bush, George W.",REP,67.76%,"1,221",President
"Gore, Al",DEM,26.42%,476,President
"Hagelin, John",NAT,0.11%,2,President
"Nader, Ralph",GRN,2.55%,46,President
"Phillips, Howard",IAP,0.06%,1,President
None of these Candidates,,1.55%,28,President
Under Votes,,0.00%,0,President
Over Votes,,0.00%,0,President
"Berghof, Ernie",IAP,0.39%,7,United States Senator
"Bernstein, Ed",DEM,22.88%,410,United States Senator
"Ensign, John",REP,70.42%,"1,262",United States Senator
"Grutzmacher, Bill",CIT,0.39%,7,United States Senator
"Johnson, J.J.",LIB,1.00%,18,United States Senator
"Rusco, Kathryn",GRN,2.29%,41,United States Senator
None of these Candidates,,2.62%,47,United States Senator
Under Votes,,0.00%,0,United States Senator
Over Votes,,0.00%,0,United States Senator
"Brenneman, Ken",CIT,0.74%,13,"Representative in Congress, District 2"
"Cahill, Tierney",DEM,17.37%,306,"Representative in Congress, District 2"
"Gibbons, Jim Incumbent",REP,77.53%,"1,366","Representative in Congress, District 2"
"Hansen, Daniel",IAP,1.36%,24,"Representative in Congress, District 2"
"Laws, A. Charles",GRN,0.96%,17,"Representative in Congress, District 2"
"Savage, Terry",LIB,1.65%,29,"Representative in Congress, District 2"
"Winquist, Robert W.",NAT,0.40%,7,"Representative in Congress, District 2"
Under Votes,,0.00%,0,"Representative in Congress, District 2"
Over Votes,,0.00%,0,"Representative in Congress, District 2"
"Oswald, William",LIB,16.84%,287,Northern Senatorial District
"Rhoads, Dean A.Incumbent",REP,83.16%,"1,417",Northern Senatorial District
Under Votes,,0.00%,0,Northern Senatorial District
Over Votes,,0.00%,0,Northern Senatorial District
"Martinez, Fortino",DEM,15.11%,264,"State Assembly, District 34"
"Marvel, John Incumbent",REP,75.39%,"1,317","State Assembly, District 34"
"Minser, James C.",LIB,9.50%,166,"State Assembly, District 34"
Under Votes,,0.00%,0,"State Assembly, District 34"
Over Votes,,0.00%,0,"State Assembly, District 34"
"Rose, Robert E.Incumbent",NP,72.22%,"1,128","Supreme Court Justice, Seat C"
None of these Candidates,,27.78%,434,"Supreme Court Justice, Seat C"
Under Votes,,0.00%,0,"Supreme Court Justice, Seat C"
Over Votes,,0.00%,0,"Supreme Court Justice, Seat C"
"Leavitt, Myron E.Incumbent",NP,73.33%,"1,133","Supreme Court Justice, Seat F"
None of these Candidates,,26.67%,412,"Supreme Court Justice, Seat F"
Under Votes,,0.00%,0,"Supreme Court Justice, Seat F"
Over Votes,,0.00%,0,"Supreme Court Justice, Seat F"
"Backus, Gary",NP,24.43%,398,"Supreme Court Justice, Seat G"
"Becker, Nancy Incumbent",NP,56.35%,918,"Supreme Court Justice, Seat G"
None of these Candidates,,19.21%,313,"Supreme Court Justice, Seat G"
Under Votes,,0.00%,0,"Supreme Court Justice, Seat G"
Over Votes,,0.00%,0,"Supreme Court Justice, Seat G"
"Arnold, Brad",DEM,35.44%,617,County Commissioner Seat A
"Hardy, Ronald K.",REP,64.56%,"1,124",County Commissioner Seat A
Under Votes,,0.00%,0,County Commissioner Seat A
Over Votes,,0.00%,0,County Commissioner Seat A
"Ayoob, Dave",DEM,56.21%,986,County Commisioner Seat B
"Gokey, Melvin",REP,43.79%,768,County Commisioner Seat B
Under Votes,,0.00%,0,County Commisioner Seat B
Over Votes,,0.00%,0,County Commisioner Seat B
"Nelsen, Carol A.",NP,100.00%,"1,388",Justice of the Peace
Under Votes,,0.00%,0,Justice of the Peace
Over Votes,,0.00%,0,Justice of the Peace
"Luke, Bruce",NP,100.00%,"1,167",Hospital District Trustee Seat A
Under Votes,,0.00%,0,Hospital District Trustee Seat A
Over Votes,,0.00%,0,Hospital District Trustee Seat A
"Montrose, Hugh",NP,100.00%,"1,225",Hospital District Trustee Seat B
Under Votes,,0.00%,0,Hospital District Trustee Seat B
Over Votes,,0.00%,0,Hospital District Trustee Seat B
"Hughes, Quint E.",NP,100.00%,"1,189",Hospital District Trustee Seat C
Under Votes,,0.00%,0,Hospital District Trustee Seat C
Over Votes,,0.00%,0,Hospital District Trustee Seat C
"Plimpton, Todd A.",NP,100.00%,"1,117",School District Trustee Seat B
Under Votes,,0.00%,0,School District Trustee Seat B
Over Votes,,0.00%,0,School District Trustee Seat B
"Childs, Rene M.",NP,100.00%,"1,365",School District Trustee Seat D
Under Votes,,0.00%,0,School District Trustee Seat D
Over Votes,,0.00%,0,School District Trustee Seat D
"Hostman, Mark Randall",NP,44.48%,709,School District Trustee Seat E
"Thacker, W. Shane",NP,55.52%,885,School District Trustee Seat E
Under Votes,,0.00%,0,School District Trustee Seat E
Over Votes,,0.00%,0,School District Trustee Seat E
Yes,,37.03%,645,Ballot Question 1
No,,62.97%,"1,097",Ballot Question 1
Under Votes,,0.00%,0,Ballot Question 1
Over Votes,,0.00%,0,Ballot Question 1
