candidate,party,percent,votes,office
"Fruehan, Glenn G. III",NP,7.88%,946,"School Board Trustee, District A (NP)"
"Seykota, Ed",NP,30.79%,"3,696","School Board Trustee, District A (NP)"
Under Votes,,21.05%,"2,527","School Board Trustee, District A (NP)"
Over Votes,,0.00%,0,"School Board Trustee, District A (NP)"
"Allured, Charles",NP,2.52%,139,Incline Village GID (NP)
"Brosten, Syd",NP,17.52%,968,Incline Village GID (NP)
"Callicrate, Tim G.",NP,11.66%,644,Incline Village GID (NP)
"Fuller, Ted",NP,21.32%,"1,178",Incline Village GID (NP)
"Gomer, Douglas P.",NP,2.12%,117,Incline Village GID (NP)
"Kaplan, Donald",NP,13.25%,732,Incline Village GID (NP)
"Menning, Thomas",NP,12.47%,689,Incline Village GID (NP)
"Stevenson, John Paul",NP,3.38%,187,Incline Village GID (NP)
"Wolf, Bob",NP,14.75%,815,Incline Village GID (NP)
Under Votes,,0.98%,54,Incline Village GID (NP)
Over Votes,,0.04%,2,Incline Village GID (NP)
"Harsh, Toni",NP,45.76%,"3,121",Reno Council Ward 1 (NP)
"Herndon, Tom",NP,25.15%,"1,715",Reno Council Ward 1 (NP)
"Martin, Larry",NP,20.23%,"1,380",Reno Council Ward 1 (NP)
"Olsen, Jerry V.",NP,2.95%,201,Reno Council Ward 1 (NP)
"Zewadski, Guy",NP,2.23%,152,Reno Council Ward 1 (NP)
Under Votes,,3.65%,249,Reno Council Ward 1 (NP)
Over Votes,,0.03%,2,Reno Council Ward 1 (NP)
"Bergland, Craig O.",NP,1.64%,66,Reno Council Ward 3 (NP)
"Dehne, Sam",NP,6.38%,257,Reno Council Ward 3 (NP)
"Hall, Glade L.",NP,17.07%,688,Reno Council Ward 3 (NP)
"Herman, Terry K.",NP,16.17%,652,Reno Council Ward 3 (NP)
"Johns, Jim",NP,3.45%,139,Reno Council Ward 3 (NP)
"Odynski, Richard",NP,16.25%,655,Reno Council Ward 3 (NP)
"Price, Bob",NP,1.81%,73,Reno Council Ward 3 (NP)
"Sferrazza-Hogan, J.",NP,32.40%,"1,306",Reno Council Ward 3 (NP)
"Smith, Mikeal F.",NP,1.64%,66,Reno Council Ward 3 (NP)
Under Votes,,3.13%,126,Reno Council Ward 3 (NP)
Over Votes,,0.07%,3,Reno Council Ward 3 (NP)
"Aiazzi, Dave",NP,38.75%,"2,076",Reno Council Ward 5 (NP)
"Fair, Edward Owen",NP,6.57%,352,Reno Council Ward 5 (NP)
"Seele, James Fredlow",NP,12.73%,682,Reno Council Ward 5 (NP)
"Tracy, James Michael",NP,37.61%,"2,015",Reno Council Ward 5 (NP)
Under Votes,,4.33%,232,Reno Council Ward 5 (NP)
Over Votes,,0.00%,0,Reno Council Ward 5 (NP)
"Berumen, Al",NP,2.63%,626,Reno Council at Large (NP)
"Hascheff, Pierre",NP,35.87%,"8,523",Reno Council at Large (NP)
"Hesson, Al",NP,1.78%,422,Reno Council at Large (NP)
"Hollingsworth, A.",NP,8.61%,"2,046",Reno Council at Large (NP)
"Pruett-Herman, Judy",NP,24.41%,"5,799",Reno Council at Large (NP)
"Robinson, Mike",NP,22.80%,"5,417",Reno Council at Large (NP)
Under Votes,,3.88%,921,Reno Council at Large (NP)
Over Votes,,0.02%,4,Reno Council at Large (NP)
