candidate,party,percent,votes,office
"CARTER, JACK",DEM,63.89%,69,U.S. Senate (Democratic)
"TUN, RUBY JEE",DEM,12.96%,14,U.S. Senate (Democratic)
NONE OF THESE CANDIDATES,,23.15%,25,U.S. Senate (Democratic)
"ENSIGN, JOHN",REP,84.12%,339,U.S. Senate (Republican)
"HAMILTON, EDWARD ""FAST EDDIE""",REP,8.44%,34,U.S. Senate (Republican)
NONE OF THESE CANDIDATES,,7.44%,30,U.S. Senate (Republican)
"ANGLE, SHARRON E.",REP,44.39%,174,"U.S. Representative in Congress, District 2 (Republican)"
"GIBBONS, DAWN",REP,25.00%,98,"U.S. Representative in Congress, District 2 (Republican)"
"GILSTER, RICHARD",REP,0.77%,3,"U.S. Representative in Congress, District 2 (Republican)"
"HELLER, DEAN",REP,26.53%,104,"U.S. Representative in Congress, District 2 (Republican)"
"THOMAS, GLENN",REP,3.32%,13,"U.S. Representative in Congress, District 2 (Republican)"
"GIBSON, JAMES B.",DEM,36.79%,39,Governor (Democratic)
"MCCONNELL, LEOLA",DEM,5.66%,6,Governor (Democratic)
"TITUS, DINA",DEM,41.51%,44,Governor (Democratic)
NONE OF THESE CANDIDATES,,16.04%,17,Governor (Democratic)
"BEERS, BOB",REP,21.80%,87,Governor (Republican)
"DAMAYO, MELODY ""MIMI MIYAGI""",REP,0.50%,2,Governor (Republican)
"GIBBONS, JIM",REP,61.40%,245,Governor (Republican)
"HUNT, LORRAINE T.",REP,10.78%,43,Governor (Republican)
"LUSAK, STANLEIGH HAROLD",REP,0.25%,1,Governor (Republican)
NONE OF THESE CANDIDATES,,5.26%,21,Governor (Republican)
"GOODMAN, ROBERT E. ""BOB""",DEM,16.50%,17,Lieutenant Governor (Democratic)
"MONTGOMERY, BILL",DEM,21.36%,22,Lieutenant Governor (Democratic)
"STUPAK, BOB",DEM,14.56%,15,Lieutenant Governor (Democratic)
"UNGER, ROBERT ""BOB""",DEM,17.48%,18,Lieutenant Governor (Democratic)
NONE OF THESE CANDIDATES,,30.10%,31,Lieutenant Governor (Democratic)
"HAMMARGREN, LONNIE",REP,10.80%,42,Lieutenant Governor (Republican)
"KAO, GEORGE",REP,3.60%,14,Lieutenant Governor (Republican)
"KROLICKI, BRIAN",REP,44.73%,174,Lieutenant Governor (Republican)
"MONCRIEF, JANET",REP,5.14%,20,Lieutenant Governor (Republican)
"WOOLLEN, BARBARA LEE",REP,10.80%,42,Lieutenant Governor (Republican)
NONE OF THESE CANDIDATES,,24.94%,97,Lieutenant Governor (Republican)
