precinct,office,candidate,votes
Precinct 101,Assessor - CARSON CITY - NP (Nonpartisan),"DAWLEY, DAVE",277
Precinct 101,Clerk/Recorder - CARSON CITY - NP (Nonpartisan),"GLOVER, ALAN",286
Precinct 101,Governor (Democratic),"Gibson, James B.",39
Precinct 101,Governor (Democratic),"McConnell, Leola",3
Precinct 101,Governor (Democratic),None Of These Candidates,17
Precinct 101,Governor (Democratic),"Titus, Dina",86
Precinct 101,Governor (Republican),"Beers, Bob",31
Precinct 101,Governor (Republican),"DAMAYO, MELODY ""MIMI MIYAGI""",0
Precinct 101,Governor (Republican),"GIBBONS, JIM",85
Precinct 101,Governor (Republican),"Hunt, Lorraine T.",25
Precinct 101,Governor (Republican),"Lusak, Stanleigh Harold",0
Precinct 101,Governor (Republican),None Of These Candidates,5
Precinct 101,"Justice of the Peace, Department 2 (Nonpartisan)","TATRO, JOHN",282
Precinct 101,Lieutenant Governor (Democratic),"GOODMAN, Robert E. ""Bob""",27
Precinct 101,Lieutenant Governor (Democratic),"Montgomery, Bill",23
Precinct 101,Lieutenant Governor (Democratic),None Of These Candidates,36
Precinct 101,Lieutenant Governor (Democratic),"Stupak, Bob",27
Precinct 101,Lieutenant Governor (Democratic),"UNGER, ROBERT ""BOB""",26
Precinct 101,Lieutenant Governor (Republican),"Hammargren, Lonnie",13
Precinct 101,Lieutenant Governor (Republican),"Kao, George",1
Precinct 101,Lieutenant Governor (Republican),"Krolicki, Brian",94
Precinct 101,Lieutenant Governor (Republican),"Moncrief, Janet",2
Precinct 101,Lieutenant Governor (Republican),None Of These Candidates,7
Precinct 101,Lieutenant Governor (Republican),"Woollen, Barbara Lee",25
Precinct 101,School Trustee District 1 (Nonpartisan),"SCOGGIN, NORMAN E.",269
Precinct 101,School Trustee District 6 - NP (Nonpartisan),"FONTAINE, JEFF",70
Precinct 101,School Trustee District 6 - NP (Nonpartisan),"HOWE, BARBARA",114
Precinct 101,School Trustee District 6 - NP (Nonpartisan),"KIRKLAND, ROGER",92
Precinct 101,Secretary Of State (Democratic),"Boyd, Roderick",21
Precinct 101,Secretary Of State (Democratic),"Miller, Ross",80
Precinct 101,Secretary Of State (Democratic),None Of These Candidates,33
Precinct 101,Secretary Of State (Republican),None Of These Candidates,16
Precinct 101,Secretary Of State (Republican),"Scroggins, Brian",52
Precinct 101,Secretary Of State (Republican),"Tarkanian, Danny",67
Precinct 101,Sheriff - CARSON CITY - NP (Nonpartisan),"FURLONG, KENNETH",284
Precinct 101,"State Assembly, District 40 (Republican)","WAGNER, JOHN",56
Precinct 101,"State Assembly, District 40 (Republican)","WARD, SHEILA M.",78
Precinct 101,State Treasurer (Democratic),"Marshall, Kate",105
Precinct 101,State Treasurer (Democratic),None Of These Candidates,18
Precinct 101,State Treasurer (Democratic),"VanderPal, Geoffrey",17
Precinct 101,State Treasurer (Republican),"Augustine, Kathy",25
Precinct 101,State Treasurer (Republican),"DeStefano, Mark",72
Precinct 101,State Treasurer (Republican),None Of These Candidates,23
Precinct 101,State Treasurer (Republican),"Pitts, Joseph",22
Precinct 101,"Supervisor, Ward 3 - CARSON CITY - NP (Nonpartisan)","EIBEN, JOSEPH ""JOE""",31
Precinct 101,"Supervisor, Ward 3 - CARSON CITY - NP (Nonpartisan)","KUHN, CHARLIE",57
Precinct 101,"Supervisor, Ward 3 - CARSON CITY - NP (Nonpartisan)","LIVERMORE, PETE",126
Precinct 101,"Supervisor, Ward 3 - CARSON CITY - NP (Nonpartisan)","WEAVER, NEIL",83
Precinct 101,"Supreme Court Justice, Seat F (Nonpartisan)","Calvert, John",54
Precinct 101,"Supreme Court Justice, Seat F (Nonpartisan)","Douglas, Michael L.",89
Precinct 101,"Supreme Court Justice, Seat F (Nonpartisan)",None Of These Candidates,47
