candidate,party,percent,votes,office
"CARTER, JACK",DEM,72.74%,"2,071",U.S. Senate (Democratic)
"TUN, RUBY JEE",DEM,9.55%,272,U.S. Senate (Democratic)
NONE OF THESE CANDIDATES,,17.70%,504,U.S. Senate (Democratic)
"ENSIGN, JOHN",REP,87.77%,"3,265",U.S. Senate (Republican)
"HAMILTON, EDWARD ""FAST EDDIE""",REP,5.22%,194,U.S. Senate (Republican)
NONE OF THESE CANDIDATES,,7.02%,261,U.S. Senate (Republican)
"ANGLE, SHARRON E.",REP,26.29%,946,"U.S. Representative in Congress, District 2 (Republican)"
"GIBBONS, DAWN",REP,23.68%,852,"U.S. Representative in Congress, District 2 (Republican)"
"GILSTER, RICHARD",REP,2.33%,84,"U.S. Representative in Congress, District 2 (Republican)"
"HELLER, DEAN",REP,40.99%,"1,475","U.S. Representative in Congress, District 2 (Republican)"
"THOMAS, GLENN",REP,6.70%,241,"U.S. Representative in Congress, District 2 (Republican)"
"GIBSON, JAMES B.",DEM,36.30%,"1,045",Governor (Democratic)
"MCCONNELL, LEOLA",DEM,5.21%,150,Governor (Democratic)
"TITUS, DINA",DEM,50.36%,"1,450",Governor (Democratic)
NONE OF THESE CANDIDATES,,8.13%,234,Governor (Democratic)
"BEERS, BOB",REP,34.49%,"1,290",Governor (Republican)
"DAMAYO, MELODY ""MIMI MIYAGI""",REP,1.36%,51,Governor (Republican)
"GIBBONS, JIM",REP,39.89%,"1,492",Governor (Republican)
"HUNT, LORRAINE T.",REP,19.36%,724,Governor (Republican)
"LUSAK, STANLEIGH HAROLD",REP,1.15%,43,Governor (Republican)
NONE OF THESE CANDIDATES,,3.74%,140,Governor (Republican)
"GOODMAN, ROBERT E. ""BOB""",DEM,22.60%,645,Lieutenant Governor (Democratic)
"MONTGOMERY, BILL",DEM,13.70%,391,Lieutenant Governor (Democratic)
"STUPAK, BOB",DEM,19.13%,546,Lieutenant Governor (Democratic)
"UNGER, ROBERT ""BOB""",DEM,20.22%,577,Lieutenant Governor (Democratic)
NONE OF THESE CANDIDATES,,24.35%,695,Lieutenant Governor (Democratic)
"HAMMARGREN, LONNIE",REP,21.72%,802,Lieutenant Governor (Republican)
"KAO, GEORGE",REP,5.14%,190,Lieutenant Governor (Republican)
"KROLICKI, BRIAN",REP,27.97%,"1,033",Lieutenant Governor (Republican)
"MONCRIEF, JANET",REP,6.50%,240,Lieutenant Governor (Republican)
"WOOLLEN, BARBARA LEE",REP,26.46%,977,Lieutenant Governor (Republican)
NONE OF THESE CANDIDATES,,12.21%,451,Lieutenant Governor (Republican)
"BOYD, RODERICK",DEM,24.11%,678,Secretary Of State (Democratic)
"MILLER, ROSS",DEM,47.69%,"1,341",Secretary Of State (Democratic)
NONE OF THESE CANDIDATES,,28.20%,793,Secretary Of State (Democratic)
"SCROGGINS, BRIAN",REP,34.57%,"1,269",Secretary Of State (Republican)
"TARKANIAN, DANNY",REP,52.38%,"1,923",Secretary Of State (Republican)
NONE OF THESE CANDIDATES,,13.05%,479,Secretary Of State (Republican)
"MARSHALL, KATE",DEM,57.51%,"1,624",State Treasurer (Democratic)
"VANDERPAL, GEOFFREY",DEM,22.63%,639,State Treasurer (Democratic)
NONE OF THESE CANDIDATES,,19.87%,561,State Treasurer (Democratic)
"AUGUSTINE, KATHY",REP,25.90%,934,State Treasurer (Republican)
"DESTEFANO, MARK",REP,35.00%,"1,262",State Treasurer (Republican)
"PITTS, JOSEPH",REP,16.44%,593,State Treasurer (Republican)
NONE OF THESE CANDIDATES,,22.66%,817,State Treasurer (Republican)
"COCHRAN, ANGIE G.",DEM,20.88%,587,"State Assembly, District 36 (Democratic)"
"KULKIN, HARLEY Z.",DEM,39.84%,"1,120","State Assembly, District 36 (Democratic)"
"MURRAY, LAURAYNE",DEM,39.27%,"1,104","State Assembly, District 36 (Democratic)"
"BROWN, JOHN M.",REP,15.72%,552,"State Assembly, District 36 (Republican)"
"GOEDHART, ED",REP,67.57%,"2,373","State Assembly, District 36 (Republican)"
"HIGBEE, JR., ED",REP,16.71%,587,"State Assembly, District 36 (Republican)"
"CALVERT, JOHN",NP,14.23%,"1,041","Supreme Court Justice, Seat F (Nonpartisan)"
"DOUGLAS, MICHAEL L.",NP,28.21%,"2,064","Supreme Court Justice, Seat F (Nonpartisan)"
"STEEL, CYNTHIA ""DIANNE""",NP,35.83%,"2,621","Supreme Court Justice, Seat F (Nonpartisan)"
NONE OF THESE CANDIDATES,,21.73%,"1,590","Supreme Court Justice, Seat F (Nonpartisan)"
"BECKER, NANCY",NP,27.02%,"1,990","Supreme Court Justice, Seat G (Nonpartisan)"
"CHRISTENSEN, THOMAS F.",NP,14.73%,"1,085","Supreme Court Justice, Seat G (Nonpartisan)"
"DEL VECCHIO, NICHOLAS ANTHONY",NP,13.60%,"1,002","Supreme Court Justice, Seat G (Nonpartisan)"
"SAITTA, NANCY M.",NP,27.52%,"2,027","Supreme Court Justice, Seat G (Nonpartisan)"
NONE OF THESE CANDIDATES,,17.12%,"1,261","Supreme Court Justice, Seat G (Nonpartisan)"
"FERRY, CLIFF",NP,100.00%,"6,248","State Board of Education, District 10 (Nonpartisan)"
"FOSTER, BYRON",REP,37.36%,"1,286","State Board of Education, District 10 (Nonpartisan)"
"SCHELLER, JEANETTE M.",REP,35.79%,"1,232","State Board of Education, District 10 (Nonpartisan)"
"WALKER, EUGENIE ""GENIE""",REP,26.84%,924,"State Board of Education, District 10 (Nonpartisan)"
"JONES, ROBERT ""BOB""",REP,59.31%,"1,952",COUNTY RECORDER (Republican)
"LOOMIS, MURRAY M.",REP,40.69%,"1,339",COUNTY RECORDER (Republican)
"ALBERTI, JR., ANDREW ""ANDY""",REP,13.09%,103,PUBLIC ADMINISTRATOR (Republican)
"BEAVER, LEWIS P.",REP,10.55%,83,PUBLIC ADMINISTRATOR (Republican)
"BIGELOW, ALAN",REP,18.17%,143,PUBLIC ADMINISTRATOR (Republican)
"BORASKY, ANDREW ""BUTCH""",REP,41.68%,328,PUBLIC ADMINISTRATOR (Republican)
"MAHER, MICHAEL W.",REP,16.52%,130,PUBLIC ADMINISTRATOR (Republican)
"GARLOUGH, PATRICIA A. ""PAT""",REP,49.18%,392,County Commissioner District IV (Republican)
"LIAKOPOULOS, PETER G.",REP,50.82%,405,County Commissioner District IV (Republican)
"CHURCH, POLLY",NP,100.00%,978,County Commissioner District V (Republican)
"FLOYD, MIKE",NP,53.24%,584,School Board Trustee Area II (Nonpartisan)
"LACKEY, LARRY L.",NP,17.14%,188,School Board Trustee Area II (Nonpartisan)
"WESCOATT, DEBORAH",NP,29.63%,325,School Board Trustee Area II (Nonpartisan)
"KEATING, DENNIS W.",NP,100.00%,794,School Board Trustee Area III (Nonpartisan)
"DEMEO, TONY",NP,39.12%,"2,977",School Board Trustee Area VII (Nonpartisan)
"HOLMES, TED",NP,16.15%,"1,229",School Board Trustee Area VII (Nonpartisan)
"JACKSON, MEL",NP,13.32%,"1,014",School Board Trustee Area VII (Nonpartisan)
"LIESEKE, JR., WADE A.",NP,21.45%,"1,632",School Board Trustee Area VII (Nonpartisan)
"MIELZYNSKI, RAY ""THE FLAGMAN""",NP,7.73%,588,School Board Trustee Area VII (Nonpartisan)
"SMITH, JEANETTE",NP,2.23%,170,School Board Trustee Area VII (Nonpartisan)
"HUNT, BRADLEY LYLE",NP,20.94%,102,County Sheriff - NYE - NonPartisan (Nonpartisan)
"SULLIVAN, GUS",NP,73.92%,360,County Sheriff - NYE - NonPartisan (Nonpartisan)
"WILBUR, SCOTT",NP,5.13%,25,County Sheriff - NYE - NonPartisan (Nonpartisan)
"BRISEBILL, TINA",NP,43.38%,"2,616",Justice of the Peace BEATTY (Nonpartisan)
"BUSHKO, JOHN",NP,5.82%,351,Justice of the Peace BEATTY (Nonpartisan)
"DECANIO, LOUIS J.",NP,7.33%,442,Justice of the Peace BEATTY (Nonpartisan)
"FOLEY, MICHAEL",NP,17.10%,"1,031",Justice of the Peace BEATTY (Nonpartisan)
"HENDRIX, L. JEAN",NP,8.19%,494,Justice of the Peace BEATTY (Nonpartisan)
"JASPERSON, KENT",NP,18.19%,"1,097",Justice of the Peace BEATTY (Nonpartisan)
"MASLACH, JOE",NP,100.00%,765,Justice of the Peace PAHRUMP (Nonpartisan)
