candidate,party,percent,votes,office
"CARTER, JACK",DEM,79.90%,"2,103",U.S. Senate (Democratic)
"TUN, RUBY JEE",DEM,9.57%,252,U.S. Senate (Democratic)
NONE OF THESE CANDIDATES,,10.52%,277,U.S. Senate (Democratic)
"ENSIGN, JOHN",REP,90.23%,"6,319",U.S. Senate (Republican)
"HAMILTON, EDWARD ""FAST EDDIE""",REP,4.88%,342,U.S. Senate (Republican)
NONE OF THESE CANDIDATES,,4.88%,342,U.S. Senate (Republican)
"ANGLE, SHARRON E.",REP,38.56%,"2,664","U.S. Representative in Congress, District 2 (Republican)"
"GIBBONS, DAWN",REP,19.72%,"1,362","U.S. Representative in Congress, District 2 (Republican)"
"GILSTER, RICHARD",REP,0.88%,61,"U.S. Representative in Congress, District 2 (Republican)"
"HELLER, DEAN",REP,38.46%,"2,657","U.S. Representative in Congress, District 2 (Republican)"
"THOMAS, GLENN",REP,2.37%,164,"U.S. Representative in Congress, District 2 (Republican)"
"GIBSON, JAMES B.",DEM,28.59%,752,Governor (Democratic)
"MCCONNELL, LEOLA",DEM,4.18%,110,Governor (Democratic)
"TITUS, DINA",DEM,60.30%,"1,586",Governor (Democratic)
NONE OF THESE CANDIDATES,,6.92%,182,Governor (Democratic)
"BEERS, BOB",REP,27.33%,"1,921",Governor (Republican)
"DAMAYO, MELODY ""MIMI MIYAGI""",REP,0.70%,49,Governor (Republican)
"GIBBONS, JIM",REP,53.39%,"3,753",Governor (Republican)
"HUNT, LORRAINE T.",REP,15.28%,"1,074",Governor (Republican)
"LUSAK, STANLEIGH HAROLD",REP,0.55%,39,Governor (Republican)
NONE OF THESE CANDIDATES,,2.76%,194,Governor (Republican)
"GOODMAN, ROBERT E. ""BOB""",DEM,17.91%,455,Lieutenant Governor (Democratic)
"MONTGOMERY, BILL",DEM,16.50%,419,Lieutenant Governor (Democratic)
"STUPAK, BOB",DEM,15.75%,400,Lieutenant Governor (Democratic)
"UNGER, ROBERT ""BOB""",DEM,22.87%,581,Lieutenant Governor (Democratic)
NONE OF THESE CANDIDATES,,26.97%,685,Lieutenant Governor (Democratic)
"HAMMARGREN, LONNIE",REP,6.78%,470,Lieutenant Governor (Republican)
"KAO, GEORGE",REP,4.86%,337,Lieutenant Governor (Republican)
"KROLICKI, BRIAN",REP,55.19%,"3,826",Lieutenant Governor (Republican)
"MONCRIEF, JANET",REP,2.25%,156,Lieutenant Governor (Republican)
"WOOLLEN, BARBARA LEE",REP,24.07%,"1,669",Lieutenant Governor (Republican)
NONE OF THESE CANDIDATES,,6.85%,475,Lieutenant Governor (Republican)
"BOYD, RODERICK",DEM,15.51%,388,Secretary Of State (Democratic)
"MILLER, ROSS",DEM,60.91%,"1,524",Secretary Of State (Democratic)
NONE OF THESE CANDIDATES,,23.58%,590,Secretary Of State (Democratic)
