candidate,party,percent,votes,office
"CARTER, JACK",DEM,43.68%,38,United States Senator (Democratic)
"TUN, RUBY JEE",DEM,14.94%,13,United States Senator (Democratic)
NONE OF THESE CANDIDATES,,41.38%,36,United States Senator (Democratic)
"ENSIGN, JOHN",REP,84.07%,153,United States Senator (Republican)
"HAMILTON, EDWARD ""FAST EDDIE""",REP,5.49%,10,United States Senator (Republican)
NONE OF THESE CANDIDATES,,10.44%,19,United States Senator (Republican)
"ANGLE, SHARRON E.",REP,21.05%,36,"U.S. Representative in Congress, District 2 (Republican)"
"GIBBONS, DAWN",REP,26.32%,45,"U.S. Representative in Congress, District 2 (Republican)"
"GILSTER, RICHARD",REP,1.17%,2,"U.S. Representative in Congress, District 2 (Republican)"
"HELLER, DEAN",REP,46.20%,79,"U.S. Representative in Congress, District 2 (Republican)"
"THOMAS, GLENN",REP,5.26%,9,"U.S. Representative in Congress, District 2 (Republican)"
"GIBSON, JAMES B.",DEM,47.19%,42,Governor (Democratic)
"MCCONNELL, LEOLA",DEM,3.37%,3,Governor (Democratic)
"TITUS, DINA",DEM,30.34%,27,Governor (Democratic)
NONE OF THESE CANDIDATES,,19.10%,17,Governor (Democratic)
"BEERS, BOB",REP,17.22%,31,Governor (Republican)
"DAMAYO, MELODY ""MIMI MIYAGI""",REP,2.78%,5,Governor (Republican)
"GIBBONS, JIM",REP,53.89%,97,Governor (Republican)
"HUNT, LORRAINE T.",REP,18.33%,33,Governor (Republican)
"LUSAK, STANLEIGH HAROLD",REP,1.11%,2,Governor (Republican)
NONE OF THESE CANDIDATES,,6.67%,12,Governor (Republican)
"GOODMAN, ROBERT E. ""BOB""",DEM,14.12%,12,Lieutenant Governor (Democratic)
"MONTGOMERY, BILL",DEM,11.76%,10,Lieutenant Governor (Democratic)
"STUPAK, BOB",DEM,15.29%,13,Lieutenant Governor (Democratic)
"UNGER, ROBERT ""BOB""",DEM,8.24%,7,Lieutenant Governor (Democratic)
NONE OF THESE CANDIDATES,,50.59%,43,Lieutenant Governor (Democratic)
"HAMMARGREN, LONNIE",REP,14.12%,25,Lieutenant Governor (Republican)
"KAO, GEORGE",REP,5.08%,9,Lieutenant Governor (Republican)
"KROLICKI, BRIAN",REP,36.72%,65,Lieutenant Governor (Republican)
"MONCRIEF, JANET",REP,4.52%,8,Lieutenant Governor (Republican)
"WOOLLEN, BARBARA LEE",REP,19.77%,35,Lieutenant Governor (Republican)
NONE OF THESE CANDIDATES,,19.77%,35,Lieutenant Governor (Republican)
"BOYD, RODERICK",DEM,11.63%,10,Secretary Of State (Democratic)
"MILLER, ROSS",DEM,39.53%,34,Secretary Of State (Democratic)
NONE OF THESE CANDIDATES,,48.84%,42,Secretary Of State (Democratic)
"SCROGGINS, BRIAN",REP,34.66%,61,Secretary Of State (Republican)
"TARKANIAN, DANNY",REP,48.86%,86,Secretary Of State (Republican)
NONE OF THESE CANDIDATES,,16.48%,29,Secretary Of State (Republican)
"MARSHALL, KATE",DEM,44.19%,38,State Treasurer (Democratic)
"VANDERPAL, GEOFFREY",DEM,23.26%,20,State Treasurer (Democratic)
NONE OF THESE CANDIDATES,,32.56%,28,State Treasurer (Democratic)
"AUGUSTINE, KATHY",REP,29.48%,51,State Treasurer (Republican)
"DESTEFANO, MARK",REP,30.64%,53,State Treasurer (Republican)
"PITTS, JOSEPH",REP,16.18%,28,State Treasurer (Republican)
NONE OF THESE CANDIDATES,,23.70%,41,State Treasurer (Republican)
"COCHRAN, ANGIE G.",DEM,26.83%,22,"State Assembly, District 36 (Democratic)"
"KULKIN, HARLEY Z.",DEM,28.05%,23,"State Assembly, District 36 (Democratic)"
"MURRAY, LAURAYNE",DEM,45.12%,37,"State Assembly, District 36 (Democratic)"
"BROWN, JOHN M.",REP,26.11%,41,"State Assembly, District 36 (Republican)"
"GOEDHART, ED",REP,56.05%,88,"State Assembly, District 36 (Republican)"
"HIGBEE, JR., ED",REP,17.83%,28,"State Assembly, District 36 (Republican)"
"CALVERT, JOHN",NP,13.88%,39,"Supreme Court Justice, Seat F (Nonpartisan)"
"DOUGLAS, MICHAEL L.",NP,16.37%,46,"Supreme Court Justice, Seat F (Nonpartisan)"
"STEEL, CYNTHIA ""DIANNE""",NP,40.57%,114,"Supreme Court Justice, Seat F (Nonpartisan)"
NONE OF THESE CANDIDATES,,29.18%,82,"Supreme Court Justice, Seat F (Nonpartisan)"
"BECKER, NANCY",NP,20.57%,58,"Supreme Court Justice, Seat G (Nonpartisan)"
"CHRISTENSEN, THOMAS F.",NP,17.02%,48,"Supreme Court Justice, Seat G (Nonpartisan)"
"DEL VECCHIO, NICHOLAS ANTHONY",NP,15.96%,45,"Supreme Court Justice, Seat G (Nonpartisan)"
"SAITTA, NANCY M.",NP,17.02%,48,"Supreme Court Justice, Seat G (Nonpartisan)"
NONE OF THESE CANDIDATES,,29.43%,83,"Supreme Court Justice, Seat G (Nonpartisan)"
"FERRY, CLIFF",NP,100.00%,216,"State Board of Education, District 10 (Nonpartisan)"
"FARMER, VERONICA",DEM,19.23%,10,"State Board of Education, District 10 (Nonpartisan)"
"GILLUM, R.J.",DEM,80.77%,42,"State Board of Education, District 10 (Nonpartisan)"
"ELGAN, KENNETH N.",NP,100.00%,242,County Commissioner District 1 (Democratic)
"HARTMAN, FREDERICK N.",NP,100.00%,231,Sheriff - NP (Nonpartisan)
"KILE, DOUGLAS",NP,100.00%,234,School Board Trustee Seat C (Nonpartisan)
"HUELSEN-WILKS, SHERRY L.",NP,100.00%,208,School Board Trustee Seat D (Nonpartisan)
"LEVENTHAL, TODD M.",REP,46.33%,82,School Board Trustee Seat E (Nonpartisan)
"SCHAEFFER, WILLIAM E.",REP,24.86%,44,School Board Trustee Seat E (Nonpartisan)
"WHITE, LINDA S.",REP,28.81%,51,School Board Trustee Seat E (Nonpartisan)
