candidate,party,percent,votes,office
"CARTER, JACK",DEM,44.22%,"159,214",U.S. Senate
"ENSIGN, JOHN",REP,52.45%,"188,847",U.S. Senate
"SCHUMANN, DAVID K.",IAP,1.07%,"3,848",U.S. Senate
"TRAINOR, BRENDAN",LIB,0.91%,"3,289",U.S. Senate
NONE OF THESE CANDIDATES,,1.34%,"4,842",U.S. Senate
"BERKLEY, SHELLEY",DEM,64.84%,"85,025","U.S. Representative in Congress, District 1"
"DUENSING, JIM",LIB,2.17%,"2,843","U.S. Representative in Congress, District 1"
"ROBERTS, DARNELL",IAP,1.78%,"2,339","U.S. Representative in Congress, District 1"
"WEGNER, KENNETH",REP,31.20%,"40,917","U.S. Representative in Congress, District 1"
"DERBY, JILL",DEM,45.91%,"5,884","U.S. Representative in Congress, District 2"
"HELLER, DEAN",REP,49.43%,"6,335","U.S. Representative in Congress, District 2"
"KROSHUS, JAMES C.",IAP,1.63%,209,"U.S. Representative in Congress, District 2"
"ROSEN, DANIEL",IND,3.04%,389,"U.S. Representative in Congress, District 2"
"HAFEN, TESSA M.",DEM,46.57%,"98,261","U.S. Representative in Congress, District 3"
"HANSEN, JOSHUA",IAP,2.53%,"5,329","U.S. Representative in Congress, District 3"
"PORTER, JON",REP,48.46%,"102,232","U.S. Representative in Congress, District 3"
"SILVESTRI, JOSEPH P.",LIB,2.44%,"5,157","U.S. Representative in Congress, District 3"
"BERGLAND, CRAIG O.",GRN,1.07%,"3,854",Governor
"GIBBONS, JIM",REP,42.78%,"153,876",Governor
"HANSEN, CHRISTOPHER H.",IAP,3.28%,"11,810",Governor
"TITUS, DINA",DEM,49.29%,"177,300",Governor
NONE OF THESE CANDIDATES,,3.58%,"12,862",Governor
"JEFFERSON, THOMAS",IAP,3.77%,"13,429",Lieutenant Governor
"KROLICKI, BRIAN",REP,46.99%,"167,279",Lieutenant Governor
"UNGER, ROBERT ""BOB""",DEM,45.45%,"161,792",Lieutenant Governor
NONE OF THESE CANDIDATES,,3.78%,"13,466",Lieutenant Governor
"HANSEN, JANINE",IAP,5.68%,"20,139",Secretary Of State
"MILLER, ROSS",DEM,51.36%,"182,000",Secretary Of State
"TARKANIAN, DANNY",REP,39.35%,"139,436",Secretary Of State
NONE OF THESE CANDIDATES,,3.61%,"12,794",Secretary Of State
"ANDREWS, MARK",IAP,6.36%,"22,533",State Treasurer
"DESTEFANO, MARK",REP,38.58%,"136,650",State Treasurer
"MARSHALL, KATE",DEM,50.42%,"178,581",State Treasurer
NONE OF THESE CANDIDATES,,4.63%,"16,416",State Treasurer
"FITZGIBBONS, FLOYD",IAP,5.02%,"17,686",State Controller
"MARTIN, STEVE",REP,41.45%,"145,962",State Controller
"WALLIN, KIM",DEM,48.13%,"169,517",State Controller
NONE OF THESE CANDIDATES,,5.40%,"19,014",State Controller
"CHAIREZ, DON",REP,35.71%,"126,785",Attorney General
"CORTEZ MASTO, CATHERINE",DEM,59.15%,"210,027",Attorney General
NONE OF THESE CANDIDATES,,5.14%,"18,251",Attorney General
"CARLTON, MAGGIE",DEM,73.29%,"4,781","State Senate, Clark District 2"
"MENDOZA, TINO",REP,26.71%,"1,742","State Senate, Clark District 2"
"HAGAN, TIM",LIB,7.62%,"4,795","State Senate, Clark District 5"
"TIFFANY, SANDRA",REP,44.75%,"28,162","State Senate, Clark District 5"
"WOODHOUSE, JOYCE",DEM,47.63%,"29,969","State Senate, Clark District 5"
"CARE, TERRY",DEM,100.00%,"27,465","State Senate, Clark District 7"
"CEGAVSKE, BARBARA K.",REP,54.51%,"14,884","State Senate, Clark District 8"
"COOK, CHANDA",DEM,45.49%,"12,421","State Senate, Clark District 8"
"MARKOWITZ, WARREN R.",IAP,33.83%,"18,312","State Senate, Clark District 9"
"NOLAN, DENNIS",REP,66.17%,"35,813","State Senate, Clark District 9"
"COFFIN, BOB",DEM,100.00%,"9,152","State Senate, Clark District 10"
"HARDY, WARREN B.",REP,67.32%,"28,299","State Senate, Clark District 12"
"MARTINEZ, MARY ELIZABETH BOYER",IAP,32.68%,"13,739","State Senate, Clark District 12"
"GERALDI, JAY",IAP,3.32%,383,"State Assembly, District 1"
"KIRKPATRICK, MARILYN",DEM,57.52%,"6,639","State Assembly, District 1"
"ROBISON, BRANDON J.",LIB,3.31%,382,"State Assembly, District 1"
"WEST MYERS, LINDA",REP,35.85%,"4,138","State Assembly, District 1"
"BLUMBERG, CARLOS",DEM,44.01%,"7,412","State Assembly, District 2"
"KAMERATH, JON",IAP,3.57%,601,"State Assembly, District 2"
"MABEY, GARN",REP,52.42%,"8,827","State Assembly, District 2"
"KALAGIAN, MEL",DEM,49.06%,"4,381","State Assembly, District 3"
"PIERCE, PEGGY",DEM,50.94%,"4,549","State Assembly, District 3"
"ALLEN, FRANCIS",REP,55.93%,"11,082","State Assembly, District 4"
"BUTCHER, C.",DEM,44.07%,"8,731","State Assembly, District 4"
"DUDAS, DAWN",DEM,44.82%,"5,355","State Assembly, District 5"
"EUBANKS, RICKY",IAP,3.83%,458,"State Assembly, District 5"
"WEBER, VALERIE E.",REP,51.34%,"6,134","State Assembly, District 5"
"MUNFORD, HARVEY J.",DEM,100.00%,"5,093","State Assembly, District 6"
"ARBERRY, JR., MORSE",DEM,61.32%,"4,443","State Assembly, District 7"
"VAUGHAN, STAN",IAP,38.68%,"2,803","State Assembly, District 7"
"BUCKLEY, BARBARA",DEM,68.15%,"4,099","State Assembly, District 8"
"PEACOCK, PATRICIA M.",REP,31.85%,"1,916","State Assembly, District 8"
"BROWN, GLENN ""BUTCH""",IAP,24.53%,"1,538","State Assembly, District 9"
"SEGERBLOM, ""TICK""",DEM,75.47%,"4,733","State Assembly, District 9"
"HANSEN, NICHOLAS ALEXANDER",IAP,5.47%,459,"State Assembly, District 10"
"HOGAN, JOSEPH M.",DEM,53.21%,"4,468","State Assembly, District 10"
"OZARK, JONATHAN",REP,41.32%,"3,470","State Assembly, District 10"
"KIHUEN, RUBEN",DEM,100.00%,"2,469","State Assembly, District 11"
"HAYNES, LEE WAYNE",REP,29.45%,"2,218","State Assembly, District 12"
"OHRENSCHALL, JAMES",DEM,70.55%,"5,314","State Assembly, District 12"
"CHRISTENSEN, CHAD",REP,52.14%,"20,323","State Assembly, District 13"
"PAYNE, DEBRA",LIB,5.49%,"2,139","State Assembly, District 13"
"TAYLOR, ADAM",DEM,42.37%,"16,515","State Assembly, District 13"
"DEMPSEY, STEVEN ""CAPT. TRUTH""",IAP,25.10%,"2,026","State Assembly, District 14"
"KOIVISTO, ELLEN M.",DEM,74.90%,"6,045","State Assembly, District 14"
"MCCLAIN, KATHY",DEM,100.00%,"8,203","State Assembly, District 15"
"OCEGUERA, JOHN",DEM,75.72%,"7,957","State Assembly, District 16"
"SANTUCCI, NATHAN A.",LIB,24.28%,"2,552","State Assembly, District 16"
"ATKINSON, KELVIN",DEM,53.62%,"6,221","State Assembly, District 17"
"CARVALHO, ANGELO",REP,40.51%,"4,700","State Assembly, District 17"
"LITTLE, PAT",IAP,5.87%,681,"State Assembly, District 17"
"EPTON, LOU",IAP,5.34%,627,"State Assembly, District 18"
"JARVIS, KEN",REP,28.47%,"3,341","State Assembly, District 18"
"MANENDO, MARK",DEM,66.18%,"7,766","State Assembly, District 18"
"CLABORN, JERRY D.",DEM,69.53%,"4,092","State Assembly, District 19"
"SMITH, BRADLEY",DEM,30.47%,"1,793","State Assembly, District 19"
"HARDY, JOE",REP,68.81%,"11,283","State Assembly, District 20"
"LYNCH, ART",DEM,31.19%,"5,115","State Assembly, District 20"
"BEERS, BOB",REP,51.28%,"7,503","State Assembly, District 21"
"KEENE, RICHARD ""BRIAN""",DEM,48.72%,"7,128","State Assembly, District 21"
"CATLETT, LEON",IAP,4.02%,"1,582","State Assembly, District 22"
"STEWART, LYNN D.",REP,56.29%,"22,149","State Assembly, District 22"
