candidate,party,percent,votes,office
"CARTER, JACK",DEM,30.01%,"4,522",U.S. Senate
"ENSIGN, JOHN",REP,65.55%,"9,876",U.S. Senate
"SCHUMANN, DAVID K.",IAP,2.24%,337,U.S. Senate
"TRAINOR, BRENDAN",LIB,0.80%,120,U.S. Senate
NONE OF THESE CANDIDATES,,1.41%,212,U.S. Senate
"DERBY, JILL",DEM,39.81%,"5,929","U.S. Representative in Congress, District 2"
"HELLER, DEAN",REP,54.61%,"8,132","U.S. Representative in Congress, District 2"
"KROSHUS, JAMES C.",IAP,3.16%,471,"U.S. Representative in Congress, District 2"
"ROSEN, DANIEL",IND,2.42%,360,"U.S. Representative in Congress, District 2"
"BERGLAND, CRAIG O.",GRN,1.22%,184,Governor
"GIBBONS, JIM",REP,61.88%,"9,329",Governor
"HANSEN, CHRISTOPHER H.",IAP,4.95%,746,Governor
"TITUS, DINA",DEM,28.59%,"4,310",Governor
NONE OF THESE CANDIDATES,,3.36%,507,Governor
"JEFFERSON, THOMAS",IAP,6.51%,974,Lieutenant Governor
"KROLICKI, BRIAN",REP,63.41%,"9,488",Lieutenant Governor
"UNGER, ROBERT ""BOB""",DEM,26.73%,"3,999",Lieutenant Governor
NONE OF THESE CANDIDATES,,3.35%,502,Lieutenant Governor
"HANSEN, JANINE",IAP,9.06%,"1,345",Secretary Of State
"MILLER, ROSS",DEM,39.23%,"5,826",Secretary Of State
"TARKANIAN, DANNY",REP,47.95%,"7,121",Secretary Of State
NONE OF THESE CANDIDATES,,3.77%,560,Secretary Of State
"ANDREWS, MARK",IAP,6.85%,"1,019",State Treasurer
"DESTEFANO, MARK",REP,53.02%,"7,890",State Treasurer
"MARSHALL, KATE",DEM,35.56%,"5,291",State Treasurer
NONE OF THESE CANDIDATES,,4.58%,681,State Treasurer
"FITZGIBBONS, FLOYD",IAP,6.91%,"1,025",State Controller
"MARTIN, STEVE",REP,52.24%,"7,751",State Controller
"WALLIN, KIM",DEM,35.88%,"5,323",State Controller
NONE OF THESE CANDIDATES,,4.97%,737,State Controller
"CHAIREZ, DON",REP,39.05%,"5,815",Attorney General
"CORTEZ MASTO, CATHERINE",DEM,55.68%,"8,291",Attorney General
NONE OF THESE CANDIDATES,,5.27%,784,Attorney General
"AMODEI, MARK E.",REP,75.53%,"6,908","State Senate, Capital Senatorial District"
"YOCHUM, MERRIT K. ""IKE""",IAP,24.47%,"2,238","State Senate, Capital Senatorial District"
"EMERSON, JOHN H.",DEM,37.69%,"1,478","State Senate, Washoe District 2"
