candidate,party,percent,votes,office
"CARTER, JACK",DEM,33.78%,635,U.S. Senate
"ENSIGN, JOHN",REP,61.22%,"1,151",U.S. Senate
"SCHUMANN, DAVID K.",IAP,1.86%,35,U.S. Senate
"TRAINOR, BRENDAN",LIB,1.22%,23,U.S. Senate
NONE OF THESE CANDIDATES,,1.91%,36,U.S. Senate
"DERBY, JILL",DEM,44.56%,831,"U.S. Representative in Congress, District 2"
"HELLER, DEAN",REP,49.44%,922,"U.S. Representative in Congress, District 2"
"KROSHUS, JAMES C.",IAP,3.49%,65,"U.S. Representative in Congress, District 2"
"ROSEN, DANIEL",IND,2.52%,47,"U.S. Representative in Congress, District 2"
"BERGLAND, CRAIG O.",GRN,1.17%,22,Governor
"GIBBONS, JIM",REP,57.10%,"1,070",Governor
"HANSEN, CHRISTOPHER H.",IAP,4.70%,88,Governor
"TITUS, DINA",DEM,33.40%,626,Governor
NONE OF THESE CANDIDATES,,3.63%,68,Governor
"JEFFERSON, THOMAS",IAP,6.65%,124,Lieutenant Governor
"KROLICKI, BRIAN",REP,60.59%,"1,130",Lieutenant Governor
"UNGER, ROBERT ""BOB""",DEM,28.90%,539,Lieutenant Governor
NONE OF THESE CANDIDATES,,3.86%,72,Lieutenant Governor
"HANSEN, JANINE",IAP,9.82%,182,Secretary Of State
"MILLER, ROSS",DEM,42.93%,796,Secretary Of State
"TARKANIAN, DANNY",REP,42.23%,783,Secretary Of State
NONE OF THESE CANDIDATES,,5.02%,93,Secretary Of State
"ANDREWS, MARK",IAP,6.77%,126,State Treasurer
"DESTEFANO, MARK",REP,48.01%,893,State Treasurer
"MARSHALL, KATE",DEM,39.30%,731,State Treasurer
NONE OF THESE CANDIDATES,,5.91%,110,State Treasurer
"FITZGIBBONS, FLOYD",IAP,8.47%,157,State Controller
"MARTIN, STEVE",REP,47.06%,872,State Controller
"WALLIN, KIM",DEM,37.99%,704,State Controller
NONE OF THESE CANDIDATES,,6.48%,120,State Controller
"CHAIREZ, DON",REP,34.17%,638,Attorney General
"CORTEZ MASTO, CATHERINE",DEM,59.72%,"1,115",Attorney General
NONE OF THESE CANDIDATES,,6.11%,114,Attorney General
"AMODEI, MARK E.",REP,75.82%,624,"State Senate, Capital Senatorial District"
"YOCHUM, MERRIT K. ""IKE""",IAP,24.18%,199,"State Senate, Capital Senatorial District"
"EMERSON, JOHN H.",DEM,39.12%,392,"State Senate, Washoe District 2"
"WASHINGTON, MAURICE",REP,60.88%,610,"State Senate, Washoe District 2"
"GRADY, TOM",REP,53.10%,977,"State Assembly, District 38"
"JAMES, CATHYLEE",DEM,46.90%,863,"State Assembly, District 38"
"CHERRY, MICHAEL A.",NP,71.15%,"1,201","Supreme Court Justice, Seat C"
NONE OF THESE CANDIDATES,,28.85%,487,"Supreme Court Justice, Seat C"
"DOUGLAS, MICHAEL L.",NP,50.28%,897,"Supreme Court Justice, Seat F"
"STEEL, CYNTHIA ""DIANNE""",NP,29.54%,527,"Supreme Court Justice, Seat F"
NONE OF THESE CANDIDATES,,20.18%,360,"Supreme Court Justice, Seat F"
"BECKER, NANCY",NP,29.68%,534,"Supreme Court Justice, Seat G"
"SAITTA, NANCY M.",NP,50.81%,914,"Supreme Court Justice, Seat G"
NONE OF THESE CANDIDATES,,19.51%,351,"Supreme Court Justice, Seat G"
"FULSTONE, II, DAVID H.",NP,39.16%,607,"University Board of Regents, District 9"
"KNECHT, RON",NP,60.84%,943,"University Board of Regents, District 9"
"WEEKS, KATHY",REP,100.00%,"1,613","University Board of Regents, District 9"
"JENSEN, SARAH S.",REP,100.00%,"1,594",COUNTY ASSESSOR
"DUFRESNE, LORRAINE",REP,76.16%,"1,300",County Recorder-Auditor
"GIVANT, CRAIG",REP,23.84%,407,County Recorder-Auditor
"FLANAGAN, JOHN",REP,65.34%,"1,199",County Clerk/Treasurer
"NICOSIA, ""NICK""",DEM,34.66%,636,County Clerk/Treasurer
"LANGER, ANNE",REP,48.06%,891,County Commissioner District ONE (CW)
"SWAFFORD, HAROLD",DEM,51.94%,963,County Commissioner District ONE (CW)
"DANIELS, ANNETTE",NP,100.00%,"1,573",DISTRICT ATTORNEY
"BLOYD, STEPHEN",NP,36.87%,671,Justice of the Peace - STOREY
"MILLER, JAMES G.",NP,63.13%,"1,149",Justice of the Peace - STOREY
"DOTSON, DENY",NP,100.00%,"1,475",Sheriff - STOREY
"SMITH, PAMELA J.",NP,100.00%,"1,469",School Board Trustee Seat 2A
"CLARK, MARVIN I.",NP,24.52%,258,School Board Trustee Seat 2B
"CUDWORTH, EDNA",NP,24.43%,257,School Board Trustee Seat 2B
"GILBERT, ED",NP,26.05%,274,School Board Trustee Seat 2B
"TYLER, BRET",NP,25.00%,263,School Board Trustee Seat 2B
"BLACKFORD, DAVID L.",NP,100.00%,2,CANYON G I D
"BLACKFORD, DEBBIE L.",NP,100.00%,2,Tahoe Reno Industrial General Improvement District Seat 1A
