candidate,party,percent,votes,office
"CARTER, JACK",DEM,74.82%,306,U.S. Senate (Democratic)
"TUN, RUBY JEE",DEM,9.78%,40,U.S. Senate (Democratic)
NONE OF THESE CANDIDATES,,15.40%,63,U.S. Senate (Democratic)
"ENSIGN, JOHN",REP,86.59%,607,U.S. Senate (Republican)
"HAMILTON, EDWARD ""FAST EDDIE""",REP,6.70%,47,U.S. Senate (Republican)
NONE OF THESE CANDIDATES,,6.70%,47,U.S. Senate (Republican)
"ANGLE, SHARRON E.",REP,30.13%,210,"U.S. Representative in Congress, District 2 (Republican)"
"GIBBONS, DAWN",REP,28.41%,198,"U.S. Representative in Congress, District 2 (Republican)"
"GILSTER, RICHARD",REP,0.72%,5,"U.S. Representative in Congress, District 2 (Republican)"
"HELLER, DEAN",REP,37.59%,262,"U.S. Representative in Congress, District 2 (Republican)"
"THOMAS, GLENN",REP,3.16%,22,"U.S. Representative in Congress, District 2 (Republican)"
"GIBSON, JAMES B.",DEM,30.41%,125,Governor (Democratic)
"MCCONNELL, LEOLA",DEM,3.16%,13,Governor (Democratic)
"TITUS, DINA",DEM,57.66%,237,Governor (Democratic)
NONE OF THESE CANDIDATES,,8.76%,36,Governor (Democratic)
"BEERS, BOB",REP,18.01%,127,Governor (Republican)
"DAMAYO, MELODY ""MIMI MIYAGI""",REP,0.57%,4,Governor (Republican)
"GIBBONS, JIM",REP,56.60%,399,Governor (Republican)
"HUNT, LORRAINE T.",REP,18.30%,129,Governor (Republican)
"LUSAK, STANLEIGH HAROLD",REP,0.85%,6,Governor (Republican)
NONE OF THESE CANDIDATES,,5.67%,40,Governor (Republican)
"GOODMAN, ROBERT E. ""BOB""",DEM,18.02%,71,Lieutenant Governor (Democratic)
"MONTGOMERY, BILL",DEM,10.66%,42,Lieutenant Governor (Democratic)
"STUPAK, BOB",DEM,19.80%,78,Lieutenant Governor (Democratic)
"UNGER, ROBERT ""BOB""",DEM,23.60%,93,Lieutenant Governor (Democratic)
NONE OF THESE CANDIDATES,,27.92%,110,Lieutenant Governor (Democratic)
