candidate,party,percent,votes,office
"CARTER, JACK",DEM,30.04%,462,U.S. Senate
"ENSIGN, JOHN",REP,63.91%,983,U.S. Senate
"SCHUMANN, DAVID K.",IAP,2.21%,34,U.S. Senate
"TRAINOR, BRENDAN",LIB,1.24%,19,U.S. Senate
NONE OF THESE CANDIDATES,,2.60%,40,U.S. Senate
"DERBY, JILL",DEM,42.98%,652,"U.S. Representative in Congress, District 2"
"HELLER, DEAN",REP,51.35%,779,"U.S. Representative in Congress, District 2"
"KROSHUS, JAMES C.",IAP,3.10%,47,"U.S. Representative in Congress, District 2"
"ROSEN, DANIEL",IND,2.57%,39,"U.S. Representative in Congress, District 2"
"BERGLAND, CRAIG O.",GRN,1.11%,17,Governor
"GIBBONS, JIM",REP,63.67%,976,Governor
"HANSEN, CHRISTOPHER H.",IAP,4.50%,69,Governor
"TITUS, DINA",DEM,26.35%,404,Governor
NONE OF THESE CANDIDATES,,4.37%,67,Governor
"JEFFERSON, THOMAS",IAP,8.21%,125,Lieutenant Governor
"KROLICKI, BRIAN",REP,60.45%,920,Lieutenant Governor
"UNGER, ROBERT ""BOB""",DEM,25.49%,388,Lieutenant Governor
NONE OF THESE CANDIDATES,,5.85%,89,Lieutenant Governor
"HANSEN, JANINE",IAP,10.45%,158,Secretary Of State
"MILLER, ROSS",DEM,35.91%,543,Secretary Of State
"TARKANIAN, DANNY",REP,48.68%,736,Secretary Of State
NONE OF THESE CANDIDATES,,4.96%,75,Secretary Of State
"ANDREWS, MARK",IAP,7.99%,121,State Treasurer
"DESTEFANO, MARK",REP,47.13%,714,State Treasurer
"MARSHALL, KATE",DEM,37.16%,563,State Treasurer
NONE OF THESE CANDIDATES,,7.72%,117,State Treasurer
"FITZGIBBONS, FLOYD",IAP,7.95%,120,State Controller
"MARTIN, STEVE",REP,43.80%,661,State Controller
"WALLIN, KIM",DEM,39.63%,598,State Controller
NONE OF THESE CANDIDATES,,8.61%,130,State Controller
"CHAIREZ, DON",REP,31.79%,482,Attorney General
"CORTEZ MASTO, CATHERINE",DEM,60.88%,923,Attorney General
NONE OF THESE CANDIDATES,,7.32%,111,Attorney General
"GOICOECHEA, PETE",REP,100.00%,"1,283","State Assembly, District 35"
"CHERRY, MICHAEL A.",NP,69.56%,946,"Supreme Court Justice, Seat C"
NONE OF THESE CANDIDATES,,30.44%,414,"Supreme Court Justice, Seat C"
"DOUGLAS, MICHAEL L.",NP,40.98%,593,"Supreme Court Justice, Seat F"
"STEEL, CYNTHIA ""DIANNE""",NP,39.67%,574,"Supreme Court Justice, Seat F"
NONE OF THESE CANDIDATES,,19.35%,280,"Supreme Court Justice, Seat F"
"BECKER, NANCY",NP,34.57%,504,"Supreme Court Justice, Seat G"
"SAITTA, NANCY M.",NP,43.42%,633,"Supreme Court Justice, Seat G"
NONE OF THESE CANDIDATES,,22.02%,321,"Supreme Court Justice, Seat G"
"CRONE, DON",REP,47.28%,705,"Supreme Court Justice, Seat G"
"MANCEBO, ROGER",DEM,52.72%,786,"Supreme Court Justice, Seat G"
"HAMILTON, CELESTE",DEM,100.00%,"1,345",County Commissioner Seat C
"GILES, DONNA K.",DEM,100.00%,"1,331",Assessor
"SHIRLEY, JIM C.",REP,100.00%,"1,218",County Clerk/Treasurer
"KEARNS, JEFF",REP,57.68%,845,DISTRICT ATTORNEY
"KNISLEY, CHRIS",DEM,42.32%,620,DISTRICT ATTORNEY
"MOURA, DARLENE E.",DEM,100.00%,"1,332",PUBLIC ADMINISTRATOR
"MATTINGLY, BILL",NP,29.39%,442,County Recorder-Auditor
"SKINNER, RON",NP,70.61%,"1,062",County Recorder-Auditor
"DONALDSON, THOMAS",NP,50.48%,263,County Sheriff - PERSHING
"POMMERENING, DALE",NP,49.52%,258,County Sheriff - PERSHING
"EVENSON, STEVE E.",NP,25.46%,907,Council Members Seat B
"GOLDSWORTHY, JAMES",NP,25.15%,896,Council Members Seat B
"PIERCE, JOE L.",NP,23.10%,823,Council Members Seat B
"RIEHM, JACK",NP,26.28%,936,Council Members Seat B
"GOLDSWORTHY, TERESA L.",NP,38.37%,523,Hospital District PERSHING
"HUDSON, SHAYLA",NP,61.63%,840,Hospital District PERSHING
"ARNOLD, BRAD E.",NP,39.76%,561,School District Board of Trustees Seat A
"RICHARDSON, LAURA L.",NP,60.24%,850,School District Board of Trustees Seat A
"BRINKERHOFF, WALTER A.",NP,59.53%,853,School District Board of Trustees Seat C
"CRIM, JOE",NP,40.47%,580,School District Board of Trustees Seat C
"CLINGER, CARL F.",NP,31.49%,893,School District Board of Trustees Seat D
"DEPAOLI, ROBERT R.",NP,34.84%,988,School District Board of Trustees Seat D
"VESCO, VANCE R.",NP,33.67%,955,School District Board of Trustees Seat D
"BERGE, KRISTY",NP,29.05%,665,Big Meadow Conservation District - 2006
"EVENSON, STACEY A.",NP,22.98%,526,Big Meadow Conservation District - 2006
"GOGERT, DARRELL",NP,17.82%,408,Big Meadow Conservation District - 2006
"WILCOX, RODNEY J.",NP,30.14%,690,Big Meadow Conservation District - 2006
