candidate,party,percent,votes,office
"CARTER, JACK",DEM,81.28%,"17,387",U.S. Senate (Democratic)
"TUN, RUBY JEE",DEM,8.33%,"1,782",U.S. Senate (Democratic)
NONE OF THESE CANDIDATES,,10.39%,"2,222",U.S. Senate (Democratic)
"ENSIGN, JOHN",REP,90.56%,"28,666",U.S. Senate (Republican)
"HAMILTON, EDWARD ""FAST EDDIE""",REP,4.26%,"1,349",U.S. Senate (Republican)
NONE OF THESE CANDIDATES,,5.17%,"1,638",U.S. Senate (Republican)
"ANGLE, SHARRON E.",REP,38.69%,"12,151","U.S. Representative in Congress, District 2 (Republican)"
"GIBBONS, DAWN",REP,26.42%,"8,299","U.S. Representative in Congress, District 2 (Republican)"
"GILSTER, RICHARD",REP,0.76%,240,"U.S. Representative in Congress, District 2 (Republican)"
"HELLER, DEAN",REP,32.17%,"10,103","U.S. Representative in Congress, District 2 (Republican)"
"THOMAS, GLENN",REP,1.95%,614,"U.S. Representative in Congress, District 2 (Republican)"
"GIBSON, JAMES B.",DEM,33.46%,"7,189",Governor (Democratic)
"MCCONNELL, LEOLA",DEM,4.00%,860,Governor (Democratic)
"TITUS, DINA",DEM,55.51%,"11,926",Governor (Democratic)
NONE OF THESE CANDIDATES,,7.02%,"1,508",Governor (Democratic)
"BEERS, BOB",REP,17.16%,"5,437",Governor (Republican)
"DAMAYO, MELODY ""MIMI MIYAGI""",REP,0.86%,273,Governor (Republican)
"GIBBONS, JIM",REP,59.72%,"18,928",Governor (Republican)
"HUNT, LORRAINE T.",REP,19.06%,"6,040",Governor (Republican)
"LUSAK, STANLEIGH HAROLD",REP,0.44%,140,Governor (Republican)
NONE OF THESE CANDIDATES,,2.76%,874,Governor (Republican)
"GOODMAN, ROBERT E. ""BOB""",DEM,18.86%,"3,861",Lieutenant Governor (Democratic)
"MONTGOMERY, BILL",DEM,12.67%,"2,593",Lieutenant Governor (Democratic)
"STUPAK, BOB",DEM,21.57%,"4,417",Lieutenant Governor (Democratic)
"UNGER, ROBERT ""BOB""",DEM,22.40%,"4,585",Lieutenant Governor (Democratic)
NONE OF THESE CANDIDATES,,24.51%,"5,017",Lieutenant Governor (Democratic)
"HAMMARGREN, LONNIE",REP,9.07%,"2,840",Lieutenant Governor (Republican)
"KAO, GEORGE",REP,5.31%,"1,662",Lieutenant Governor (Republican)
"KROLICKI, BRIAN",REP,51.92%,"16,253",Lieutenant Governor (Republican)
"MONCRIEF, JANET",REP,2.07%,647,Lieutenant Governor (Republican)
"WOOLLEN, BARBARA LEE",REP,25.10%,"7,855",Lieutenant Governor (Republican)
NONE OF THESE CANDIDATES,,6.53%,"2,044",Lieutenant Governor (Republican)
"BOYD, RODERICK",DEM,17.10%,"3,459",Secretary Of State (Democratic)
"MILLER, ROSS",DEM,59.74%,"12,083",Secretary Of State (Democratic)
NONE OF THESE CANDIDATES,,23.15%,"4,683",Secretary Of State (Democratic)
"SCROGGINS, BRIAN",REP,38.85%,"11,680",Secretary Of State (Republican)
"TARKANIAN, DANNY",REP,45.11%,"13,563",Secretary Of State (Republican)
NONE OF THESE CANDIDATES,,16.04%,"4,822",Secretary Of State (Republican)
"MARSHALL, KATE",DEM,67.97%,"14,088",State Treasurer (Democratic)
"VANDERPAL, GEOFFREY",DEM,17.52%,"3,631",State Treasurer (Democratic)
NONE OF THESE CANDIDATES,,14.52%,"3,009",State Treasurer (Democratic)
"AUGUSTINE, KATHY",REP,15.45%,"4,630",State Treasurer (Republican)
