candidate,party,percent,votes,office
"CARTER, JACK",DEM,66.38%,531,United States Senator (Democratic)
"TUN, RUBY JEE",DEM,10.63%,85,United States Senator (Democratic)
NONE OF THESE CANDIDATES,,23.00%,184,United States Senator (Democratic)
"ENSIGN, JOHN",REP,84.38%,567,United States Senator (Republican)
"HAMILTON, EDWARD ""FAST EDDIE""",REP,6.25%,42,United States Senator (Republican)
NONE OF THESE CANDIDATES,,9.38%,63,United States Senator (Republican)
"ANGLE, SHARRON E.",REP,27.64%,183,"U.S. Representative in Congress, District 2 (Republican)"
"GIBBONS, DAWN",REP,32.48%,215,"U.S. Representative in Congress, District 2 (Republican)"
"GILSTER, RICHARD",REP,1.06%,7,"U.S. Representative in Congress, District 2 (Republican)"
"HELLER, DEAN",REP,35.20%,233,"U.S. Representative in Congress, District 2 (Republican)"
"THOMAS, GLENN",REP,3.63%,24,"U.S. Representative in Congress, District 2 (Republican)"
"GIBSON, JAMES B.",DEM,41.60%,337,Governor (Democratic)
"MCCONNELL, LEOLA",DEM,5.19%,42,Governor (Democratic)
"TITUS, DINA",DEM,37.90%,307,Governor (Democratic)
NONE OF THESE CANDIDATES,,15.31%,124,Governor (Democratic)
"BEERS, BOB",REP,24.26%,164,Governor (Republican)
"DAMAYO, MELODY ""MIMI MIYAGI""",REP,0.74%,5,Governor (Republican)
"GIBBONS, JIM",REP,53.25%,360,Governor (Republican)
"HUNT, LORRAINE T.",REP,16.42%,111,Governor (Republican)
"LUSAK, STANLEIGH HAROLD",REP,0.30%,2,Governor (Republican)
NONE OF THESE CANDIDATES,,5.03%,34,Governor (Republican)
"GOODMAN, ROBERT E. ""BOB""",DEM,23.77%,189,Lieutenant Governor (Democratic)
"MONTGOMERY, BILL",DEM,13.08%,104,Lieutenant Governor (Democratic)
"STUPAK, BOB",DEM,16.35%,130,Lieutenant Governor (Democratic)
"UNGER, ROBERT ""BOB""",DEM,10.57%,84,Lieutenant Governor (Democratic)
NONE OF THESE CANDIDATES,,36.23%,288,Lieutenant Governor (Democratic)
"HAMMARGREN, LONNIE",REP,17.77%,118,Lieutenant Governor (Republican)
