candidate,party,percent,votes,office
"CARTER, JACK",DEM,24.68%,"2,000",U.S. Senate
"ENSIGN, JOHN",REP,71.29%,"5,777",U.S. Senate
"SCHUMANN, DAVID K.",IAP,1.92%,156,U.S. Senate
"TRAINOR, BRENDAN",LIB,0.70%,57,U.S. Senate
NONE OF THESE CANDIDATES,,1.41%,114,U.S. Senate
"DERBY, JILL",DEM,35.71%,"2,870","U.S. Representative in Congress, District 2"
"HELLER, DEAN",REP,58.57%,"4,708","U.S. Representative in Congress, District 2"
"KROSHUS, JAMES C.",IAP,3.57%,287,"U.S. Representative in Congress, District 2"
"ROSEN, DANIEL",IND,2.15%,173,"U.S. Representative in Congress, District 2"
"BERGLAND, CRAIG O.",GRN,0.84%,68,Governor
"GIBBONS, JIM",REP,69.37%,"5,627",Governor
"HANSEN, CHRISTOPHER H.",IAP,4.30%,349,Governor
"TITUS, DINA",DEM,22.26%,"1,806",Governor
NONE OF THESE CANDIDATES,,3.23%,262,Governor
"JEFFERSON, THOMAS",IAP,5.90%,476,Lieutenant Governor
"KROLICKI, BRIAN",REP,68.23%,"5,506",Lieutenant Governor
"UNGER, ROBERT ""BOB""",DEM,22.16%,"1,788",Lieutenant Governor
NONE OF THESE CANDIDATES,,3.72%,300,Lieutenant Governor
"HANSEN, JANINE",IAP,9.43%,754,Secretary Of State
"MILLER, ROSS",DEM,34.39%,"2,750",Secretary Of State
"TARKANIAN, DANNY",REP,51.63%,"4,128",Secretary Of State
NONE OF THESE CANDIDATES,,4.55%,364,Secretary Of State
"ANDREWS, MARK",IAP,6.97%,560,State Treasurer
"DESTEFANO, MARK",REP,55.94%,"4,495",State Treasurer
"MARSHALL, KATE",DEM,31.95%,"2,567",State Treasurer
NONE OF THESE CANDIDATES,,5.14%,413,State Treasurer
"FITZGIBBONS, FLOYD",IAP,6.07%,486,State Controller
"MARTIN, STEVE",REP,57.59%,"4,613",State Controller
"WALLIN, KIM",DEM,30.41%,"2,436",State Controller
NONE OF THESE CANDIDATES,,5.93%,475,State Controller
"CHAIREZ, DON",REP,42.06%,"3,380",Attorney General
"CORTEZ MASTO, CATHERINE",DEM,51.77%,"4,160",Attorney General
NONE OF THESE CANDIDATES,,6.17%,496,Attorney General
"GOICOECHEA, PETE",REP,100.00%,"4,787","State Assembly, District 35"
"GOEDHART, ED",REP,64.32%,952,"State Assembly, District 36"
"HOLMGREN, DAVID G.",IAP,10.61%,157,"State Assembly, District 36"
"MURRAY, LAURAYNE",DEM,25.07%,371,"State Assembly, District 36"
"GRADY, TOM",REP,68.67%,708,"State Assembly, District 38"
"JAMES, CATHYLEE",DEM,31.33%,323,"State Assembly, District 38"
"CHERRY, MICHAEL A.",NP,75.78%,"5,365","Supreme Court Justice, Seat C"
NONE OF THESE CANDIDATES,,24.22%,"1,715","Supreme Court Justice, Seat C"
"DOUGLAS, MICHAEL L.",NP,48.90%,"3,773","Supreme Court Justice, Seat F"
"STEEL, CYNTHIA ""DIANNE""",NP,36.98%,"2,853","Supreme Court Justice, Seat F"
NONE OF THESE CANDIDATES,,14.12%,"1,089","Supreme Court Justice, Seat F"
"BECKER, NANCY",NP,33.47%,"2,584","Supreme Court Justice, Seat G"
"SAITTA, NANCY M.",NP,48.84%,"3,771","Supreme Court Justice, Seat G"
NONE OF THESE CANDIDATES,,17.69%,"1,366","Supreme Court Justice, Seat G"
"ABERASTURI, LEON",NP,53.03%,"4,028","District Court Judge, District 3, Department 2"
"PEDERSON, WAYNE A.",NP,46.97%,"3,568","District Court Judge, District 3, Department 2"
"GREEN, NORMA J.",REP,100.00%,"7,216","District Court Judge, District 3, Department 2"
"HELTON, KELLY G.",REP,100.00%,"6,967",COUNTY ASSESSOR
"WASHBURN, GWEN",REP,100.00%,"6,835",Clerk/Treasurer
"MALLORY, ART",REP,100.00%,"6,621",County Commissioner District 2
"SERPA, JOHN",DEM,100.00%,"6,312",DISTRICT ATTORNEY
"TRIPP, VICKY L.",DEM,100.00%,"6,379",PUBLIC ADMINISTRATOR
"ADAMS, LISA E.",NP,9.30%,"2,643",COUNTY RECORDER
"BUCKMASTER, LOU",NP,16.63%,"4,727",COUNTY RECORDER
"EVANS, RON",NP,18.12%,"5,148",COUNTY RECORDER
"GENT, RICH",NP,12.96%,"3,684",COUNTY RECORDER
"LAMMEL, JODY",NP,8.95%,"2,544",COUNTY RECORDER
"RIGGINS, TOM",NP,12.61%,"3,583",COUNTY RECORDER
"SMITH, DEBBIE GETTO",NP,10.88%,"3,092",COUNTY RECORDER
"VINSON, MARCIA",NP,10.54%,"2,995",COUNTY RECORDER
"CROWLEY, MARTIN G.",NP,49.82%,"3,841",Board of School Trustees
"RICHARDS, MIKE",NP,50.18%,"3,868",Board of School Trustees
"EWING, OLIVIA",NP,26.01%,"4,972",CHURCHILL Justice of the Peace
"LACKEY, DENISE R.",NP,25.10%,"4,798",CHURCHILL Justice of the Peace
"SMITH, HARVE",NP,25.98%,"4,967",CHURCHILL Justice of the Peace
"WARD, KAE",NP,22.91%,"4,380",CHURCHILL Justice of the Peace
"INGRAM, RICHARD",NP,85.66%,"6,651",Mosquito Abatement Dst
"TOOKER, TIM",NP,14.34%,"1,113",Mosquito Abatement Dst
