candidate,party,percent,votes,office
"CARTER, JACK",DEM,76.96%,"2,669",United States Senator (Democratic)
"TUN, RUBY JEE",DEM,10.44%,362,United States Senator (Democratic)
NONE OF THESE CANDIDATES,,12.60%,437,United States Senator (Democratic)
"ENSIGN, JOHN",REP,89.95%,"5,099",United States Senator (Republican)
"HAMILTON, EDWARD ""FAST EDDIE""",REP,4.64%,263,United States Senator (Republican)
NONE OF THESE CANDIDATES,,5.42%,307,United States Senator (Republican)
"ANGLE, SHARRON E.",REP,32.57%,"1,837","U.S. Representative in Congress, District 2 (Republican)"
"GIBBONS, DAWN",REP,14.50%,818,"U.S. Representative in Congress, District 2 (Republican)"
"GILSTER, RICHARD",REP,0.67%,38,"U.S. Representative in Congress, District 2 (Republican)"
"HELLER, DEAN",REP,50.76%,"2,863","U.S. Representative in Congress, District 2 (Republican)"
"THOMAS, GLENN",REP,1.49%,84,"U.S. Representative in Congress, District 2 (Republican)"
"GIBSON, JAMES B.",DEM,28.49%,991,Governor (Democratic)
"MCCONNELL, LEOLA",DEM,3.19%,111,Governor (Democratic)
"TITUS, DINA",DEM,60.35%,"2,099",Governor (Democratic)
NONE OF THESE CANDIDATES,,7.96%,277,Governor (Democratic)
"BEERS, BOB",REP,22.03%,"1,251",Governor (Republican)
"DAMAYO, MELODY ""MIMI MIYAGI""",REP,0.90%,51,Governor (Republican)
"GIBBONS, JIM",REP,55.64%,"3,159",Governor (Republican)
"HUNT, LORRAINE T.",REP,17.91%,"1,017",Governor (Republican)
"LUSAK, STANLEIGH HAROLD",REP,0.53%,30,Governor (Republican)
NONE OF THESE CANDIDATES,,2.99%,170,Governor (Republican)
"GOODMAN, ROBERT E. ""BOB""",DEM,19.88%,663,Lieutenant Governor (Democratic)
"MONTGOMERY, BILL",DEM,10.91%,364,Lieutenant Governor (Democratic)
"STUPAK, BOB",DEM,17.27%,576,Lieutenant Governor (Democratic)
"UNGER, ROBERT ""BOB""",DEM,22.43%,748,Lieutenant Governor (Democratic)
NONE OF THESE CANDIDATES,,29.51%,984,Lieutenant Governor (Democratic)
"HAMMARGREN, LONNIE",REP,9.05%,510,Lieutenant Governor (Republican)
"KAO, GEORGE",REP,3.85%,217,Lieutenant Governor (Republican)
"KROLICKI, BRIAN",REP,58.99%,"3,326",Lieutenant Governor (Republican)
"MONCRIEF, JANET",REP,1.35%,76,Lieutenant Governor (Republican)
"WOOLLEN, BARBARA LEE",REP,22.40%,"1,263",Lieutenant Governor (Republican)
NONE OF THESE CANDIDATES,,4.36%,246,Lieutenant Governor (Republican)
"BOYD, RODERICK",DEM,16.91%,562,Secretary Of State (Democratic)
"MILLER, ROSS",DEM,59.49%,"1,977",Secretary Of State (Democratic)
NONE OF THESE CANDIDATES,,23.59%,784,Secretary Of State (Democratic)
"SCROGGINS, BRIAN",REP,42.42%,"2,329",Secretary Of State (Republican)
"TARKANIAN, DANNY",REP,45.06%,"2,474",Secretary Of State (Republican)
NONE OF THESE CANDIDATES,,12.51%,687,Secretary Of State (Republican)
"MARSHALL, KATE",DEM,67.37%,"2,292",State Treasurer (Democratic)
"VANDERPAL, GEOFFREY",DEM,18.02%,613,State Treasurer (Democratic)
NONE OF THESE CANDIDATES,,14.61%,497,State Treasurer (Democratic)
"AUGUSTINE, KATHY",REP,13.76%,751,State Treasurer (Republican)
"DESTEFANO, MARK",REP,49.49%,"2,700",State Treasurer (Republican)
"PITTS, JOSEPH",REP,17.19%,938,State Treasurer (Republican)
NONE OF THESE CANDIDATES,,19.56%,"1,067",State Treasurer (Republican)
"WAGNER, JOHN",REP,46.12%,"1,963","State Assembly, District 40 (Republican)"
"WARD, SHEILA M.",REP,53.88%,"2,293","State Assembly, District 40 (Republican)"
"CALVERT, JOHN",NP,17.97%,"1,698","Supreme Court Justice, Seat F (Nonpartisan)"
"DOUGLAS, MICHAEL L.",NP,32.90%,"3,109","Supreme Court Justice, Seat F (Nonpartisan)"
"STEEL, CYNTHIA ""DIANNE""",NP,32.10%,"3,033","Supreme Court Justice, Seat F (Nonpartisan)"
NONE OF THESE CANDIDATES,,17.03%,"1,609","Supreme Court Justice, Seat F (Nonpartisan)"
"BECKER, NANCY",NP,39.72%,"3,785","Supreme Court Justice, Seat G (Nonpartisan)"
"CHRISTENSEN, THOMAS F.",NP,11.04%,"1,052","Supreme Court Justice, Seat G (Nonpartisan)"
"DEL VECCHIO, NICHOLAS ANTHONY",NP,12.31%,"1,173","Supreme Court Justice, Seat G (Nonpartisan)"
"SAITTA, NANCY M.",NP,22.98%,"2,190","Supreme Court Justice, Seat G (Nonpartisan)"
NONE OF THESE CANDIDATES,,13.95%,"1,329","Supreme Court Justice, Seat G (Nonpartisan)"
"FULSTONE, II, DAVID H.",NP,23.25%,"2,140","University Board of Regents, District  9 (Nonpartisan)"
"KNECHT, RON",NP,49.49%,"4,555","University Board of Regents, District  9 (Nonpartisan)"
"LANCASTER, TED S.",NP,8.54%,786,"University Board of Regents, District  9 (Nonpartisan)"
"MOORE, LIZ",NP,18.71%,"1,722","University Board of Regents, District  9 (Nonpartisan)"
"TATRO, JOHN",NP,100.00%,"8,710","University Board of Regents, District  9 (Nonpartisan)"
"DAWLEY, DAVE",NP,100.00%,"8,606","Justice of the Peace, Dept. 2 (Nonpartisan)"
"GLOVER, ALAN",NP,100.00%,"8,916",Assessor - CARSON CITY - NP (Nonpartisan)
"FURLONG, KENNETH",NP,100.00%,"8,955",Clerk/Recorder - CARSON CITY - NP (Nonpartisan)
"KRAMER, AL",NP,100.00%,"8,731",Sheriff - CARSON CITY - NP (Nonpartisan)
"EIBEN, JOSEPH ""JOE""",NP,10.72%,"1,001",Treasurer - CARSON CITY - NP (Nonpartisan)
"KUHN, CHARLIE",NP,21.03%,"1,964",Treasurer - CARSON CITY - NP (Nonpartisan)
"LIVERMORE, PETE",NP,43.26%,"4,039",Treasurer - CARSON CITY - NP (Nonpartisan)
"WEAVER, NEIL",NP,24.99%,"2,333",Treasurer - CARSON CITY - NP (Nonpartisan)
"SCOGGIN, NORMAN E.",NP,100.00%,"8,295","Supervisor, Ward 3 - CARSON CITY - NP (Nonpartisan)"
"FONTAINE, JEFF",NP,30.89%,"2,696",School Trustee District 1 (Nonpartisan)
"HOWE, BARBARA",NP,38.97%,"3,401",School Trustee District 1 (Nonpartisan)
"KIRKLAND, ROGER",NP,30.14%,"2,630",School Trustee District 1 (Nonpartisan)
