candidate,party,percent,votes,office
"CARTER, JACK",DEM,76.10%,"1,958",United States Senator (Democratic)
"TUN, RUBY JEE",DEM,9.64%,248,United States Senator (Democratic)
NONE OF THESE CANDIDATES,,14.26%,367,United States Senator (Democratic)
"ENSIGN, JOHN",REP,89.04%,"4,434",United States Senator (Republican)
"HAMILTON, EDWARD ""FAST EDDIE""",REP,5.18%,258,United States Senator (Republican)
NONE OF THESE CANDIDATES,,5.78%,288,United States Senator (Republican)
"ANGLE, SHARRON E.",REP,39.59%,"1,946","U.S. Representative in Congress, District 2 (Republican)"
"GIBBONS, DAWN",REP,24.61%,"1,210","U.S. Representative in Congress, District 2 (Republican)"
"GILSTER, RICHARD",REP,1.08%,53,"U.S. Representative in Congress, District 2 (Republican)"
"HELLER, DEAN",REP,31.77%,"1,562","U.S. Representative in Congress, District 2 (Republican)"
"THOMAS, GLENN",REP,2.95%,145,"U.S. Representative in Congress, District 2 (Republican)"
"GIBSON, JAMES B.",DEM,36.39%,941,Governor (Democratic)
"MCCONNELL, LEOLA",DEM,4.64%,120,Governor (Democratic)
"TITUS, DINA",DEM,48.38%,"1,251",Governor (Democratic)
NONE OF THESE CANDIDATES,,10.60%,274,Governor (Democratic)
"BEERS, BOB",REP,20.59%,"1,027",Governor (Republican)
"DAMAYO, MELODY ""MIMI MIYAGI""",REP,0.74%,37,Governor (Republican)
"GIBBONS, JIM",REP,57.28%,"2,857",Governor (Republican)
"HUNT, LORRAINE T.",REP,17.90%,893,Governor (Republican)
"LUSAK, STANLEIGH HAROLD",REP,0.88%,44,Governor (Republican)
NONE OF THESE CANDIDATES,,2.61%,130,Governor (Republican)
"GOODMAN, ROBERT E. ""BOB""",DEM,18.55%,466,Lieutenant Governor (Democratic)
"MONTGOMERY, BILL",DEM,15.92%,400,Lieutenant Governor (Democratic)
"STUPAK, BOB",DEM,19.55%,491,Lieutenant Governor (Democratic)
"UNGER, ROBERT ""BOB""",DEM,19.27%,484,Lieutenant Governor (Democratic)
NONE OF THESE CANDIDATES,,26.71%,671,Lieutenant Governor (Democratic)
"HAMMARGREN, LONNIE",REP,9.79%,482,Lieutenant Governor (Republican)
"KAO, GEORGE",REP,6.72%,331,Lieutenant Governor (Republican)
"KROLICKI, BRIAN",REP,42.08%,"2,072",Lieutenant Governor (Republican)
"MONCRIEF, JANET",REP,2.90%,143,Lieutenant Governor (Republican)
"WOOLLEN, BARBARA LEE",REP,30.36%,"1,495",Lieutenant Governor (Republican)
NONE OF THESE CANDIDATES,,8.14%,401,Lieutenant Governor (Republican)
"BOYD, RODERICK",DEM,20.88%,520,Secretary Of State (Democratic)
"MILLER, ROSS",DEM,52.43%,"1,306",Secretary Of State (Democratic)
NONE OF THESE CANDIDATES,,26.70%,665,Secretary Of State (Democratic)
"SCROGGINS, BRIAN",REP,37.95%,"1,788",Secretary Of State (Republican)
"TARKANIAN, DANNY",REP,46.18%,"2,176",Secretary Of State (Republican)
NONE OF THESE CANDIDATES,,15.87%,748,Secretary Of State (Republican)
"MARSHALL, KATE",DEM,61.81%,"1,552",State Treasurer (Democratic)
"VANDERPAL, GEOFFREY",DEM,19.39%,487,State Treasurer (Democratic)
NONE OF THESE CANDIDATES,,18.80%,472,State Treasurer (Democratic)
"AUGUSTINE, KATHY",REP,16.38%,781,State Treasurer (Republican)
"DESTEFANO, MARK",REP,48.57%,"2,316",State Treasurer (Republican)
"PITTS, JOSEPH",REP,15.31%,730,State Treasurer (Republican)
NONE OF THESE CANDIDATES,,19.74%,941,State Treasurer (Republican)
"CALVERT, JOHN",NP,19.05%,"1,520","Supreme Court Justice, Seat F (Nonpartisan)"
"DOUGLAS, MICHAEL L.",NP,25.86%,"2,063","Supreme Court Justice, Seat F (Nonpartisan)"
"STEEL, CYNTHIA ""DIANNE""",NP,34.25%,"2,732","Supreme Court Justice, Seat F (Nonpartisan)"
NONE OF THESE CANDIDATES,,20.83%,"1,662","Supreme Court Justice, Seat F (Nonpartisan)"
"BECKER, NANCY",NP,30.19%,"2,417","Supreme Court Justice, Seat G (Nonpartisan)"
"CHRISTENSEN, THOMAS F.",NP,13.96%,"1,118","Supreme Court Justice, Seat G (Nonpartisan)"
"DEL VECCHIO, NICHOLAS ANTHONY",NP,14.60%,"1,169","Supreme Court Justice, Seat G (Nonpartisan)"
"SAITTA, NANCY M.",NP,22.95%,"1,838","Supreme Court Justice, Seat G (Nonpartisan)"
NONE OF THESE CANDIDATES,,18.30%,"1,465","Supreme Court Justice, Seat G (Nonpartisan)"
"ABERASTURI, LEON",NP,40.04%,"3,179","District Court Judge, District 3, Department  2 (Nonpartisan)"
