precinct,office,candidate,votes
PRECINCT 1,Governor (Democratic),"Gibson, James B.",40
PRECINCT 1,Governor (Democratic),"McConnell, Leola",2
PRECINCT 1,Governor (Democratic),None Of These Candidates,11
PRECINCT 1,Governor (Democratic),"Titus, Dina",59
PRECINCT 1,Governor (Republican),"Beers, Bob",21
PRECINCT 1,Governor (Republican),"DAMAYO, MELODY ""MIMI MIYAGI""",3
PRECINCT 1,Governor (Republican),"GIBBONS, JIM",115
PRECINCT 1,Governor (Republican),"Hunt, Lorraine T.",49
PRECINCT 1,Governor (Republican),"Lusak, Stanleigh Harold",1
PRECINCT 1,Governor (Republican),None Of These Candidates,5
PRECINCT 1,Justice of the Peace -  PERSHING - NP (Nonpartisan),"NELSEN, CAROL A.",286
PRECINCT 1,Lieutenant Governor (Democratic),"GOODMAN, Robert E. ""Bob""",10
PRECINCT 1,Lieutenant Governor (Democratic),"Montgomery, Bill",21
PRECINCT 1,Lieutenant Governor (Democratic),None Of These Candidates,39
PRECINCT 1,Lieutenant Governor (Democratic),"Stupak, Bob",20
PRECINCT 1,Lieutenant Governor (Democratic),"UNGER, ROBERT ""BOB""",21
PRECINCT 1,Lieutenant Governor (Republican),"Hammargren, Lonnie",33
PRECINCT 1,Lieutenant Governor (Republican),"Kao, George",7
PRECINCT 1,Lieutenant Governor (Republican),"Krolicki, Brian",96
PRECINCT 1,Lieutenant Governor (Republican),"Moncrief, Janet",6
PRECINCT 1,Lieutenant Governor (Republican),None Of These Candidates,16
PRECINCT 1,Lieutenant Governor (Republican),"Woollen, Barbara Lee",34
PRECINCT 1,PUBLIC ADMINISTRATOR (Republican),"KEARNS, JEFF",116
PRECINCT 1,PUBLIC ADMINISTRATOR (Republican),"VAN BLITTERSWYK, BETTY",65
PRECINCT 1,School District Board of Trustees Seat E (Nonpartisan),"LIST, MELISSA",280
PRECINCT 1,Secretary Of State (Democratic),"Boyd, Roderick",25
PRECINCT 1,Secretary Of State (Democratic),"Miller, Ross",40
PRECINCT 1,Secretary Of State (Democratic),None Of These Candidates,45
PRECINCT 1,Secretary Of State (Republican),None Of These Candidates,25
PRECINCT 1,Secretary Of State (Republican),"Scroggins, Brian",48
PRECINCT 1,Secretary Of State (Republican),"Tarkanian, Danny",121
PRECINCT 1,"State Board of Education, District 10 (Nonpartisan)","FERRY, CLIFF",262
PRECINCT 1,State Treasurer (Democratic),"Marshall, Kate",65
PRECINCT 1,State Treasurer (Democratic),None Of These Candidates,28
PRECINCT 1,State Treasurer (Democratic),"VanderPal, Geoffrey",20
PRECINCT 1,State Treasurer (Republican),"Augustine, Kathy",39
PRECINCT 1,State Treasurer (Republican),"DeStefano, Mark",89
PRECINCT 1,State Treasurer (Republican),None Of These Candidates,33
PRECINCT 1,State Treasurer (Republican),"Pitts, Joseph",26
PRECINCT 1,"Supreme Court Justice, Seat F (Nonpartisan)","Calvert, John",67
