candidate,party,percent,votes,office
"CARTER, JACK",DEM,67.62%,236,U.S. Senate (Democratic)
"TUN, RUBY JEE",DEM,7.45%,26,U.S. Senate (Democratic)
NONE OF THESE CANDIDATES,,24.93%,87,U.S. Senate (Democratic)
"ENSIGN, JOHN",REP,85.69%,611,U.S. Senate (Republican)
"HAMILTON, EDWARD ""FAST EDDIE""",REP,7.29%,52,U.S. Senate (Republican)
NONE OF THESE CANDIDATES,,7.01%,50,U.S. Senate (Republican)
"ANGLE, SHARRON E.",REP,22.21%,157,"U.S. Representative in Congress, District 2 (Republican)"
"GIBBONS, DAWN",REP,31.97%,226,"U.S. Representative in Congress, District 2 (Republican)"
"GILSTER, RICHARD",REP,1.98%,14,"U.S. Representative in Congress, District 2 (Republican)"
"HELLER, DEAN",REP,41.02%,290,"U.S. Representative in Congress, District 2 (Republican)"
"THOMAS, GLENN",REP,2.83%,20,"U.S. Representative in Congress, District 2 (Republican)"
"GIBSON, JAMES B.",DEM,44.70%,156,Governor (Democratic)
"MCCONNELL, LEOLA",DEM,6.59%,23,Governor (Democratic)
"TITUS, DINA",DEM,36.39%,127,Governor (Democratic)
NONE OF THESE CANDIDATES,,12.32%,43,Governor (Democratic)
"BEERS, BOB",REP,28.79%,205,Governor (Republican)
"DAMAYO, MELODY ""MIMI MIYAGI""",REP,0.70%,5,Governor (Republican)
"GIBBONS, JIM",REP,55.76%,397,Governor (Republican)
"HUNT, LORRAINE T.",REP,11.66%,83,Governor (Republican)
"LUSAK, STANLEIGH HAROLD",REP,0.28%,2,Governor (Republican)
NONE OF THESE CANDIDATES,,2.81%,20,Governor (Republican)
"GOODMAN, ROBERT E. ""BOB""",DEM,24.41%,83,Lieutenant Governor (Democratic)
"MONTGOMERY, BILL",DEM,13.24%,45,Lieutenant Governor (Democratic)
"STUPAK, BOB",DEM,11.76%,40,Lieutenant Governor (Democratic)
"UNGER, ROBERT ""BOB""",DEM,22.94%,78,Lieutenant Governor (Democratic)
NONE OF THESE CANDIDATES,,27.65%,94,Lieutenant Governor (Democratic)
"HAMMARGREN, LONNIE",REP,17.81%,125,Lieutenant Governor (Republican)
"KAO, GEORGE",REP,4.42%,31,Lieutenant Governor (Republican)
"KROLICKI, BRIAN",REP,39.46%,277,Lieutenant Governor (Republican)
"MONCRIEF, JANET",REP,4.70%,33,Lieutenant Governor (Republican)
"WOOLLEN, BARBARA LEE",REP,18.09%,127,Lieutenant Governor (Republican)
NONE OF THESE CANDIDATES,,15.53%,109,Lieutenant Governor (Republican)
"BOYD, RODERICK",DEM,19.94%,68,Secretary Of State (Democratic)
"MILLER, ROSS",DEM,51.61%,176,Secretary Of State (Democratic)
NONE OF THESE CANDIDATES,,28.45%,97,Secretary Of State (Democratic)
"SCROGGINS, BRIAN",REP,35.94%,248,Secretary Of State (Republican)
"TARKANIAN, DANNY",REP,49.28%,340,Secretary Of State (Republican)
NONE OF THESE CANDIDATES,,14.78%,102,Secretary Of State (Republican)
"MARSHALL, KATE",DEM,64.91%,222,State Treasurer (Democratic)
"VANDERPAL, GEOFFREY",DEM,14.04%,48,State Treasurer (Democratic)
NONE OF THESE CANDIDATES,,21.05%,72,State Treasurer (Democratic)
"AUGUSTINE, KATHY",REP,25.36%,177,State Treasurer (Republican)
"DESTEFANO, MARK",REP,38.11%,266,State Treasurer (Republican)
"PITTS, JOSEPH",REP,16.48%,115,State Treasurer (Republican)
NONE OF THESE CANDIDATES,,20.06%,140,State Treasurer (Republican)
"MARVEL, JOHN",REP,80.16%,202,"State Assembly, District 32 (Republican)"
