candidate,party,percent,votes,office
"CARTER, JACK",DEM,69.39%,578,United States Senator (Democratic)
"TUN, RUBY JEE",DEM,10.92%,91,United States Senator (Democratic)
NONE OF THESE CANDIDATES,,19.69%,164,United States Senator (Democratic)
"ENSIGN, JOHN",REP,86.61%,750,United States Senator (Republican)
"HAMILTON, EDWARD ""FAST EDDIE""",REP,7.39%,64,United States Senator (Republican)
NONE OF THESE CANDIDATES,,6.00%,52,United States Senator (Republican)
"ANGLE, SHARRON E.",REP,21.14%,178,"U.S. Representative in Congress, District 2 (Republican)"
"GIBBONS, DAWN",REP,29.22%,246,"U.S. Representative in Congress, District 2 (Republican)"
"GILSTER, RICHARD",REP,3.21%,27,"U.S. Representative in Congress, District 2 (Republican)"
"HELLER, DEAN",REP,42.76%,360,"U.S. Representative in Congress, District 2 (Republican)"
"THOMAS, GLENN",REP,3.68%,31,"U.S. Representative in Congress, District 2 (Republican)"
"GIBSON, JAMES B.",DEM,42.58%,353,Governor (Democratic)
"MCCONNELL, LEOLA",DEM,4.58%,38,Governor (Democratic)
"TITUS, DINA",DEM,42.94%,356,Governor (Democratic)
NONE OF THESE CANDIDATES,,9.89%,82,Governor (Democratic)
"BEERS, BOB",REP,38.57%,334,Governor (Republican)
"DAMAYO, MELODY ""MIMI MIYAGI""",REP,1.04%,9,Governor (Republican)
"GIBBONS, JIM",REP,44.34%,384,Governor (Republican)
"HUNT, LORRAINE T.",REP,12.47%,108,Governor (Republican)
"LUSAK, STANLEIGH HAROLD",REP,0.81%,7,Governor (Republican)
NONE OF THESE CANDIDATES,,2.77%,24,Governor (Republican)
"GOODMAN, ROBERT E. ""BOB""",DEM,25.96%,210,Lieutenant Governor (Democratic)
"MONTGOMERY, BILL",DEM,18.54%,150,Lieutenant Governor (Democratic)
"STUPAK, BOB",DEM,16.81%,136,Lieutenant Governor (Democratic)
"UNGER, ROBERT ""BOB""",DEM,11.87%,96,Lieutenant Governor (Democratic)
NONE OF THESE CANDIDATES,,26.82%,217,Lieutenant Governor (Democratic)
"HAMMARGREN, LONNIE",REP,19.32%,164,Lieutenant Governor (Republican)
"KAO, GEORGE",REP,6.24%,53,Lieutenant Governor (Republican)
"KROLICKI, BRIAN",REP,39.58%,336,Lieutenant Governor (Republican)
"MONCRIEF, JANET",REP,7.07%,60,Lieutenant Governor (Republican)
"WOOLLEN, BARBARA LEE",REP,11.07%,94,Lieutenant Governor (Republican)
NONE OF THESE CANDIDATES,,16.73%,142,Lieutenant Governor (Republican)
"BOYD, RODERICK",DEM,24.54%,198,Secretary Of State (Democratic)
"MILLER, ROSS",DEM,49.81%,402,Secretary Of State (Democratic)
NONE OF THESE CANDIDATES,,25.65%,207,Secretary Of State (Democratic)
"SCROGGINS, BRIAN",REP,37.72%,318,Secretary Of State (Republican)
"TARKANIAN, DANNY",REP,52.08%,439,Secretary Of State (Republican)
NONE OF THESE CANDIDATES,,10.20%,86,Secretary Of State (Republican)
"MARSHALL, KATE",DEM,67.44%,553,State Treasurer (Democratic)
"VANDERPAL, GEOFFREY",DEM,14.76%,121,State Treasurer (Democratic)
NONE OF THESE CANDIDATES,,17.80%,146,State Treasurer (Democratic)
"AUGUSTINE, KATHY",REP,28.88%,240,State Treasurer (Republican)
"DESTEFANO, MARK",REP,22.74%,189,State Treasurer (Republican)
"PITTS, JOSEPH",REP,26.35%,219,State Treasurer (Republican)
NONE OF THESE CANDIDATES,,22.02%,183,State Treasurer (Republican)
"CALVERT, JOHN",NP,17.26%,310,"Supreme Court Justice, Seat F (Nonpartisan)"
"DOUGLAS, MICHAEL L.",NP,27.39%,492,"Supreme Court Justice, Seat F (Nonpartisan)"
"STEEL, CYNTHIA ""DIANNE""",NP,32.74%,588,"Supreme Court Justice, Seat F (Nonpartisan)"
NONE OF THESE CANDIDATES,,22.61%,406,"Supreme Court Justice, Seat F (Nonpartisan)"
"BECKER, NANCY",NP,38.79%,694,"Supreme Court Justice, Seat G (Nonpartisan)"
"CHRISTENSEN, THOMAS F.",NP,15.99%,286,"Supreme Court Justice, Seat G (Nonpartisan)"
"DEL VECCHIO, NICHOLAS ANTHONY",NP,12.52%,224,"Supreme Court Justice, Seat G (Nonpartisan)"
"SAITTA, NANCY M.",NP,11.46%,205,"Supreme Court Justice, Seat G (Nonpartisan)"
NONE OF THESE CANDIDATES,,21.24%,380,"Supreme Court Justice, Seat G (Nonpartisan)"
"FERRY, CLIFF",NP,100.00%,"1,472","State Board of Education, District 10 (Nonpartisan)"
"HEINBAUGH, KENNETH D.",REP,46.24%,394,"State Board of Education, District 10 (Nonpartisan)"
"JONES, GEORGE A.",REP,19.25%,164,"State Board of Education, District 10 (Nonpartisan)"
"LANE, GARY",REP,34.51%,294,"State Board of Education, District 10 (Nonpartisan)"
"CARSON, LAURIE L.",REP,67.02%,569,County Commissioner Seat 1 (Republican)
"MILLER, ROBERT B.",REP,32.98%,280,County Commissioner Seat 1 (Republican)
"NIMAN, RONALD J.",NP,100.00%,"1,484",County Commissioner Seat 3 (Republican)
"PEACOCK, RUSSEL W.",NP,100.00%,130,ELY Justice of the Peace 6YR (Nonpartisan)
"LEONI, DANIEL L.",NP,100.00%,"1,543",LUND Justice of the Peace 6YR (Nonpartisan)
"HUNT, LORI A.",NP,100.00%,"1,580","Hospital Board of Trustees, Seat 4 (Nonpartisan)"
"MANGUM, RORY L. ""PETE""",NP,100.00%,"1,581",School Board Trustee Seat A (Nonpartisan)
"HIBBS, MATT",NP,100.00%,"1,528",School Board Trustee Seat B (Nonpartisan)
