candidate,party,percent,votes,office
"CARTER, JACK",DEM,34.41%,"1,146",U.S. Senate
"ENSIGN, JOHN",REP,58.62%,"1,952",U.S. Senate
"SCHUMANN, DAVID K.",IAP,3.30%,110,U.S. Senate
"TRAINOR, BRENDAN",LIB,1.02%,34,U.S. Senate
NONE OF THESE CANDIDATES,,2.64%,88,U.S. Senate
"DERBY, JILL",DEM,42.18%,"1,371","U.S. Representative in Congress, District 2"
"HELLER, DEAN",REP,50.49%,"1,641","U.S. Representative in Congress, District 2"
"KROSHUS, JAMES C.",IAP,4.22%,137,"U.S. Representative in Congress, District 2"
"ROSEN, DANIEL",IND,3.11%,101,"U.S. Representative in Congress, District 2"
"BERGLAND, CRAIG O.",GRN,1.23%,41,Governor
"GIBBONS, JIM",REP,59.19%,"1,971",Governor
"HANSEN, CHRISTOPHER H.",IAP,5.62%,187,Governor
"TITUS, DINA",DEM,29.88%,995,Governor
NONE OF THESE CANDIDATES,,4.08%,136,Governor
"JEFFERSON, THOMAS",IAP,8.78%,290,Lieutenant Governor
"KROLICKI, BRIAN",REP,53.24%,"1,759",Lieutenant Governor
"UNGER, ROBERT ""BOB""",DEM,30.84%,"1,019",Lieutenant Governor
NONE OF THESE CANDIDATES,,7.14%,236,Lieutenant Governor
"HANSEN, JANINE",IAP,8.83%,290,Secretary Of State
"MILLER, ROSS",DEM,33.87%,"1,112",Secretary Of State
"TARKANIAN, DANNY",REP,52.70%,"1,730",Secretary Of State
NONE OF THESE CANDIDATES,,4.60%,151,Secretary Of State
"ANDREWS, MARK",IAP,7.33%,241,State Treasurer
"DESTEFANO, MARK",REP,42.86%,"1,410",State Treasurer
"MARSHALL, KATE",DEM,41.61%,"1,369",State Treasurer
NONE OF THESE CANDIDATES,,8.21%,270,State Treasurer
"FITZGIBBONS, FLOYD",IAP,8.43%,276,State Controller
"MARTIN, STEVE",REP,47.79%,"1,565",State Controller
"WALLIN, KIM",DEM,34.05%,"1,115",State Controller
NONE OF THESE CANDIDATES,,9.74%,319,State Controller
"CHAIREZ, DON",REP,42.49%,"1,397",Attorney General
"CORTEZ MASTO, CATHERINE",DEM,47.38%,"1,558",Attorney General
NONE OF THESE CANDIDATES,,10.13%,333,Attorney General
"GOICOECHEA, PETE",REP,100.00%,"2,904","State Assembly, District 35"
"CHERRY, MICHAEL A.",NP,71.69%,"2,150","Supreme Court Justice, Seat C"
NONE OF THESE CANDIDATES,,28.31%,849,"Supreme Court Justice, Seat C"
"DOUGLAS, MICHAEL L.",NP,35.99%,"1,143","Supreme Court Justice, Seat F"
"STEEL, CYNTHIA ""DIANNE""",NP,43.51%,"1,382","Supreme Court Justice, Seat F"
NONE OF THESE CANDIDATES,,20.50%,651,"Supreme Court Justice, Seat F"
"BECKER, NANCY",NP,50.30%,"1,595","Supreme Court Justice, Seat G"
"SAITTA, NANCY M.",NP,27.06%,858,"Supreme Court Justice, Seat G"
NONE OF THESE CANDIDATES,,22.64%,718,"Supreme Court Justice, Seat G"
"BISHOP, ROBERT L.",DEM,100.00%,"2,920","Supreme Court Justice, Seat G"
"BATH, DONNA M.",REP,55.28%,"1,807",COUNTY ASSESSOR
"SIMON, DONNA LYNN",REP,44.72%,"1,462",COUNTY ASSESSOR
"HEINBAUGH, KENNETH D.",REP,46.34%,"1,469",COUNTY CLERK
"LANE, GARY",REP,53.66%,"1,701",COUNTY CLERK
"CARSON, LAURIE L.",REP,67.84%,"2,192",County Commissioner Seat 1
"CLUTTS, PATTI",DEM,32.16%,"1,039",County Commissioner Seat 1
"MAKLEY, RALEENE",DEM,54.08%,"1,717",County Commissioner Seat 3
"PEREA, GARY ALEXANDER",DEM,45.92%,"1,458",County Commissioner Seat 3
"BACKUS, GARY",REP,40.52%,"1,284",County Commissioner Seat 5
"SEARS, RICH",REP,59.48%,"1,885",County Commissioner Seat 5
"SINDELAR, MARTHA RIVERA",DEM,100.00%,"2,868",DISTRICT ATTORNEY
"CORNUTT, BEVERLY",REP,59.75%,"1,930",COUNTY RECORDER
"CRACRAFT, ELANIE",REP,40.25%,"1,300",COUNTY RECORDER
"ROMERO, BERNIE",NP,35.92%,"1,148",COUNTY TREASURER
"WATTS, DAN",NP,64.08%,"2,048",COUNTY TREASURER
