candidate,party,percent,votes,office
"CARTER, JACK",DEM,72.60%,265,U.S. Senate (Democratic)
"TUN, RUBY JEE",DEM,12.05%,44,U.S. Senate (Democratic)
NONE OF THESE CANDIDATES,,15.34%,56,U.S. Senate (Democratic)
"ENSIGN, JOHN",REP,89.08%,457,U.S. Senate (Republican)
"HAMILTON, EDWARD ""FAST EDDIE""",REP,5.26%,27,U.S. Senate (Republican)
NONE OF THESE CANDIDATES,,5.65%,29,U.S. Senate (Republican)
"ANGLE, SHARRON E.",REP,27.31%,139,"U.S. Representative in Congress, District 2 (Republican)"
"GIBBONS, DAWN",REP,26.13%,133,"U.S. Representative in Congress, District 2 (Republican)"
"GILSTER, RICHARD",REP,1.18%,6,"U.S. Representative in Congress, District 2 (Republican)"
"HELLER, DEAN",REP,42.04%,214,"U.S. Representative in Congress, District 2 (Republican)"
"THOMAS, GLENN",REP,3.34%,17,"U.S. Representative in Congress, District 2 (Republican)"
"GIBSON, JAMES B.",DEM,41.24%,153,Governor (Democratic)
"MCCONNELL, LEOLA",DEM,4.04%,15,Governor (Democratic)
"TITUS, DINA",DEM,42.86%,159,Governor (Democratic)
NONE OF THESE CANDIDATES,,11.86%,44,Governor (Democratic)
"BEERS, BOB",REP,17.61%,90,Governor (Republican)
"DAMAYO, MELODY ""MIMI MIYAGI""",REP,1.17%,6,Governor (Republican)
"GIBBONS, JIM",REP,55.97%,286,Governor (Republican)
"HUNT, LORRAINE T.",REP,22.11%,113,Governor (Republican)
"LUSAK, STANLEIGH HAROLD",REP,0.98%,5,Governor (Republican)
NONE OF THESE CANDIDATES,,2.15%,11,Governor (Republican)
"GOODMAN, ROBERT E. ""BOB""",DEM,18.61%,67,Lieutenant Governor (Democratic)
"MONTGOMERY, BILL",DEM,14.72%,53,Lieutenant Governor (Democratic)
"STUPAK, BOB",DEM,16.67%,60,Lieutenant Governor (Democratic)
"UNGER, ROBERT ""BOB""",DEM,17.78%,64,Lieutenant Governor (Democratic)
NONE OF THESE CANDIDATES,,32.22%,116,Lieutenant Governor (Democratic)
"HAMMARGREN, LONNIE",REP,16.02%,82,Lieutenant Governor (Republican)
"KAO, GEORGE",REP,3.71%,19,Lieutenant Governor (Republican)
"KROLICKI, BRIAN",REP,45.51%,233,Lieutenant Governor (Republican)
"MONCRIEF, JANET",REP,2.54%,13,Lieutenant Governor (Republican)
"WOOLLEN, BARBARA LEE",REP,23.83%,122,Lieutenant Governor (Republican)
NONE OF THESE CANDIDATES,,8.40%,43,Lieutenant Governor (Republican)
"BOYD, RODERICK",DEM,21.94%,79,Secretary Of State (Democratic)
"MILLER, ROSS",DEM,47.50%,171,Secretary Of State (Democratic)
NONE OF THESE CANDIDATES,,30.56%,110,Secretary Of State (Democratic)
"SCROGGINS, BRIAN",REP,23.08%,117,Secretary Of State (Republican)
"TARKANIAN, DANNY",REP,63.31%,321,Secretary Of State (Republican)
NONE OF THESE CANDIDATES,,13.61%,69,Secretary Of State (Republican)
"MARSHALL, KATE",DEM,65.94%,242,State Treasurer (Democratic)
"VANDERPAL, GEOFFREY",DEM,15.53%,57,State Treasurer (Democratic)
NONE OF THESE CANDIDATES,,18.53%,68,State Treasurer (Democratic)
"AUGUSTINE, KATHY",REP,22.98%,114,State Treasurer (Republican)
"DESTEFANO, MARK",REP,40.93%,203,State Treasurer (Republican)
"PITTS, JOSEPH",REP,16.94%,84,State Treasurer (Republican)
NONE OF THESE CANDIDATES,,19.15%,95,State Treasurer (Republican)
"CALVERT, JOHN",NP,16.97%,147,"Supreme Court Justice, Seat F (Nonpartisan)"
"DOUGLAS, MICHAEL L.",NP,23.44%,203,"Supreme Court Justice, Seat F (Nonpartisan)"
"STEEL, CYNTHIA ""DIANNE""",NP,38.68%,335,"Supreme Court Justice, Seat F (Nonpartisan)"
NONE OF THESE CANDIDATES,,20.90%,181,"Supreme Court Justice, Seat F (Nonpartisan)"
"BECKER, NANCY",NP,33.03%,288,"Supreme Court Justice, Seat G (Nonpartisan)"
"CHRISTENSEN, THOMAS F.",NP,10.09%,88,"Supreme Court Justice, Seat G (Nonpartisan)"
"DEL VECCHIO, NICHOLAS ANTHONY",NP,16.51%,144,"Supreme Court Justice, Seat G (Nonpartisan)"
"SAITTA, NANCY M.",NP,20.41%,178,"Supreme Court Justice, Seat G (Nonpartisan)"
NONE OF THESE CANDIDATES,,19.95%,174,"Supreme Court Justice, Seat G (Nonpartisan)"
"FERRY, CLIFF",NP,100.00%,722,"State Board of Education, District 10 (Nonpartisan)"
"KEARNS, JEFF",REP,63.10%,301,"State Board of Education, District 10 (Nonpartisan)"
"VAN BLITTERSWYK, BETTY",REP,36.90%,176,"State Board of Education, District 10 (Nonpartisan)"
"LIST, MELISSA",NP,100.00%,768,PUBLIC ADMINISTRATOR (Republican)
"NELSEN, CAROL A.",NP,100.00%,779,School Dist. Board of Trustees Seat E (Nonpartisan)
