precinct,office,candidate,votes
Precinct 101,Justice of the Peace Department 2 (Nonpartisan),"TATRO, JOHN",196
Precinct 101,Mayor (Nonpartisan),"CROWELL, BOB",196
Precinct 101,School Trustee District 5 (Nonpartisan),"REYNOLDS, STEVEN",188
Precinct 101,"State Assembly, District 40 (Republican)","Davies, Phillip K.",33
Precinct 101,"State Assembly, District 40 (Republican)","LIVERMORE, PETE",83
Precinct 101,"State Board of Education, District 2 (Nonpartisan)","Bacon, Ray",27
Precinct 101,"State Board of Education, District 2 (Nonpartisan)","Carey, Scott H.",17
Precinct 101,"State Board of Education, District 2 (Nonpartisan)","Clontz, Donna",33
Precinct 101,"State Board of Education, District 2 (Nonpartisan)","Cook, Dave",90
Precinct 101,"State Board of Education, District 2 (Nonpartisan)","Fralick, Adriana Guzman",47
Precinct 101,Supervisor Ward 2 (Nonpartisan),"BONKOWSKI, BRAD",76
Precinct 101,Supervisor Ward 2 (Nonpartisan),"JOHNSON, DENNIS E.",38
Precinct 101,Supervisor Ward 2 (Nonpartisan),"WHITE, MAURICE",41
Precinct 101,Supervisor Ward 2 (Nonpartisan),"WILKE-MCCULLOCH, STACIE",62
Precinct 101,Supervisor Ward 4 (Nonpartisan),"CLEMENS, AMY",60
Precinct 101,Supervisor Ward 4 (Nonpartisan),"SHIRK, JIM",68
Precinct 101,Supervisor Ward 4 (Nonpartisan),"WALT, MOLLY",83
Precinct 101,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",18
Precinct 101,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",29
Precinct 101,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",32
Precinct 101,United States Senator (Democratic),"Berkley, Shelley",61
Precinct 101,United States Senator (Democratic),"Brown, Steve",6
Precinct 101,United States Senator (Democratic),"Ellsworth, Barry",4
Precinct 101,United States Senator (Democratic),"Macias, Louis",0
Precinct 101,United States Senator (Democratic),None Of These Candidates,6
Precinct 101,United States Senator (Democratic),"Price, Nancy",9
Precinct 101,United States Senator (Republican),"Brooks, Sherry",4
Precinct 101,United States Senator (Republican),"Charles, Richard",1
Precinct 101,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0
Precinct 101,United States Senator (Republican),"Heller, Dean",106
Precinct 101,United States Senator (Republican),None Of These Candidates,9
Precinct 101,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0
Precinct 101,"University Board of Regents, District  9 (Nonpartisan)","KNECHT, RON",131
Precinct 101,"University Board of Regents, District  9 (Nonpartisan)","Mackedon, Michon",69
Precinct 101,"University Board of Regents, District  9 (Nonpartisan)","Riendeau, Richard ""Old Rick""",18
Precinct 103,Justice of the Peace Department 2 (Nonpartisan),"TATRO, JOHN",360
Precinct 103,Mayor (Nonpartisan),"CROWELL, BOB",370
Precinct 103,School Trustee District 5 (Nonpartisan),"REYNOLDS, STEVEN",335
Precinct 103,"State Assembly, District 40 (Republican)","Davies, Phillip K.",70
Precinct 103,"State Assembly, District 40 (Republican)","LIVERMORE, PETE",162
Precinct 103,"State Board of Education, District 2 (Nonpartisan)","Bacon, Ray",65
Precinct 103,"State Board of Education, District 2 (Nonpartisan)","Carey, Scott H.",18
Precinct 103,"State Board of Education, District 2 (Nonpartisan)","Clontz, Donna",83
Precinct 103,"State Board of Education, District 2 (Nonpartisan)","Cook, Dave",143
Precinct 103,"State Board of Education, District 2 (Nonpartisan)","Fralick, Adriana Guzman",71
Precinct 103,Supervisor Ward 2 (Nonpartisan),"BONKOWSKI, BRAD",172
Precinct 103,Supervisor Ward 2 (Nonpartisan),"JOHNSON, DENNIS E.",67
Precinct 103,Supervisor Ward 2 (Nonpartisan),"WHITE, MAURICE",59
Precinct 103,Supervisor Ward 2 (Nonpartisan),"WILKE-MCCULLOCH, STACIE",87
Precinct 103,Supervisor Ward 4 (Nonpartisan),"CLEMENS, AMY",98
