candidate,party,votes,percent,office
"BERKLEY, SHELLEY",DEMOCRAT,167,63.98,UNITED STATES SENATOR (DEMOCRATIC)
"BROWN, STEVE",DEMOCRAT,28,10.73,UNITED STATES SENATOR (DEMOCRATIC)
"ELLSWORTH, BARRY",DEMOCRAT,10,3.83,UNITED STATES SENATOR (DEMOCRATIC)
"MACIAS, LOUIS",DEMOCRAT,1,0.38,UNITED STATES SENATOR (DEMOCRATIC)
"PRICE, NANCY",DEMOCRAT,18,6.90,UNITED STATES SENATOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,37,14.18,UNITED STATES SENATOR (DEMOCRATIC)
"BROOKS, SHERRY",REPUBLICAN,36,7.63,UNITED STATES SENATOR (REPUBLICAN)
"CHARLES, RICHARD",REPUBLICAN,4,0.85,UNITED STATES SENATOR (REPUBLICAN)
"HAMILTON, EDDIE ""IN LIBERTY""",REPUBLICAN,8,1.69,UNITED STATES SENATOR (REPUBLICAN)
"HELLER, DEAN (Incumbent)",REPUBLICAN,396,83.90,UNITED STATES SENATOR (REPUBLICAN)
"POLIAK, CARLO ""NAKUSA""",REPUBLICAN,4,0.85,UNITED STATES SENATOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,24,5.08,UNITED STATES SENATOR (REPUBLICAN)
"DEHNE, SAM",DEMOCRAT,65,27.90,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"KOEPNICK, SAMUEL",DEMOCRAT,102,43.78,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"RODRIGUEZ, XIOMARA ""XIO""",DEMOCRAT,66,28.33,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"BACON, RAY",NONPARTISAN,98,13.15,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"CAREY, SCOTT H.",NONPARTISAN,70,9.40,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"CLONTZ, DONNA",NONPARTISAN,245,32.89,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"COOK, DAVE",NONPARTISAN,216,28.99,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"FRALICK, ADRIANA GUZMAN",NONPARTISAN,116,15.57,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"GORSLINE, WILLIAM ""BILL"" (Incumbent)",NONPARTISAN,725,100.00,SCHOOL DIST. BOARD OF TRUSTEES SEAT B (NONPARTISAN)
"BRINKERHOFF, WALTER A. (Incumbent)",NONPARTISAN,734,100.00,SCHOOL DIST. BOARD OF TRUSTEES SEAT D (NONPARTISAN)
"CRIM, JOE (Incumbent)",NONPARTISAN,724,100.00,SCHOOL DIST. BOARD OF TRUSTEES SEAT E (NONPARTISAN)
