candidate,party,votes,percent,office
"BERKLEY, SHELLEY",DEMOCRAT,123,58.02,UNITED STATES SENATOR (DEMOCRATIC)
"BROWN, STEVE",DEMOCRAT,17,8.02,UNITED STATES SENATOR (DEMOCRATIC)
"ELLSWORTH, BARRY",DEMOCRAT,12,5.66,UNITED STATES SENATOR (DEMOCRATIC)
"MACIAS, LOUIS",DEMOCRAT,4,1.89,UNITED STATES SENATOR (DEMOCRATIC)
"PRICE, NANCY",DEMOCRAT,22,10.38,UNITED STATES SENATOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,34,16.04,UNITED STATES SENATOR (DEMOCRATIC)
"BROOKS, SHERRY",REPUBLICAN,27,4.53,UNITED STATES SENATOR (REPUBLICAN)
"CHARLES, RICHARD",REPUBLICAN,8,1.34,UNITED STATES SENATOR (REPUBLICAN)
"HAMILTON, EDDIE ""IN LIBERTY""",REPUBLICAN,7,1.17,UNITED STATES SENATOR (REPUBLICAN)
"HELLER, DEAN (Incumbent)",REPUBLICAN,527,88.42,UNITED STATES SENATOR (REPUBLICAN)
"POLIAK, CARLO ""NAKUSA""",REPUBLICAN,3,0.50,UNITED STATES SENATOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,24,4.03,UNITED STATES SENATOR (REPUBLICAN)
"ANDERSON, DIANA R.",REPUBLICAN,20,3.44,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"CEGAVSKE, BARBARA K.",REPUBLICAN,40,6.88,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"DELAROSA, MIKE",REPUBLICAN,8,1.38,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"HILL, KIRAN",REPUBLICAN,5,0.86,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"LEEDS, ROBERT X.",REPUBLICAN,5,0.86,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"SCHWARTZ, DAN",REPUBLICAN,73,12.56,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"TARKANIAN, DANNY",REPUBLICAN,317,54.56,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"WEGNER, KENNETH A.",REPUBLICAN,107,18.42,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"ZELLER, SID",REPUBLICAN,6,1.03,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"GRUDZINSKI, WALT",REPUBLICAN,10,6.25,"STATE ASSEMBLY, DISTRICT 36 (REPUBLICAN)"
"LEATHAM, DELMAR W.",REPUBLICAN,126,78.75,"STATE ASSEMBLY, DISTRICT 36 (REPUBLICAN)"
"OSCARSON, JAMES",REPUBLICAN,13,8.13,"STATE ASSEMBLY, DISTRICT 36 (REPUBLICAN)"
"SCHLUMPF, NATHAN ""NATE""",REPUBLICAN,11,6.88,"STATE ASSEMBLY, DISTRICT 36 (REPUBLICAN)"
"NEWBURN, MARK",NONPARTISAN,669,100.00,"STATE BOARD OF EDUCATION, DISTRICT 4 (NONPARTISAN)"
"DIXON, KEN",REPUBLICAN,80,13.47,COUNTY COMM DIST. A (CW) (REPUBLICAN)
"HURD, DAVE",REPUBLICAN,138,23.23,COUNTY COMM DIST. A (CW) (REPUBLICAN)
"KATSCHKE, ADAM P.",REPUBLICAN,376,63.30,COUNTY COMM DIST. A (CW) (REPUBLICAN)
"HAFEN, SPENCER W.",NONPARTISAN,722,100.00,"GROVER C. DILS HOSPITAL DST, TRUSTEE DST B (NONPARTISAN)"
"MIZER, JOSEPH TY (Incumbent)",NONPARTISAN,674,100.00,"GROVER C. DILS HOSPITAL DST, TRUSTEE DST C (NONPARTISAN)"
"SMITH, KEVIN D. (Incumbent)",NONPARTISAN,699,100.00,"GROVER C. DILS HOSPITAL DST, TRUSTEE DST D (NONPARTISAN)"
"SCARBRO, DIXIE",NONPARTISAN,659,100.00,"GROVER C. DILS HOSPITAL DST, TRUSTEE DST E (NONPARTISAN)"
"ROWE, PEGGY A.",NONPARTISAN,676,100.00,SCHOOL TRUSTEE DISTRICT C (NONPARTISAN)
"POULSEN, WADE C. (Incumbent)",NONPARTISAN,693,100.00,SCHOOL TRUSTEE DISTRICT E (NONPARTISAN)
"HOLTON, NOLA A. (Incumbent)",NONPARTISAN,211,100.00,"JUSTICE OF THE PEACE, PAHRANAGAT VALLEY TWN-NP (NONPARTISAN)"
