candidate,party,votes,percent,office
"BERKLEY, SHELLEY",DEMOCRAT,1330,74.59,UNITED STATES SENATOR (DEMOCRATIC)
"BROWN, STEVE",DEMOCRAT,103,5.78,UNITED STATES SENATOR (DEMOCRATIC)
"ELLSWORTH, BARRY",DEMOCRAT,78,4.37,UNITED STATES SENATOR (DEMOCRATIC)
"MACIAS, LOUIS",DEMOCRAT,17,0.95,UNITED STATES SENATOR (DEMOCRATIC)
"PRICE, NANCY",DEMOCRAT,153,8.58,UNITED STATES SENATOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,102,5.72,UNITED STATES SENATOR (DEMOCRATIC)
"BROOKS, SHERRY",REPUBLICAN,210,3.59,UNITED STATES SENATOR (REPUBLICAN)
"CHARLES, RICHARD",REPUBLICAN,77,1.32,UNITED STATES SENATOR (REPUBLICAN)
"HAMILTON, EDDIE ""IN LIBERTY""",REPUBLICAN,94,1.61,UNITED STATES SENATOR (REPUBLICAN)
"HELLER, DEAN (Incumbent)",REPUBLICAN,5307,90.83,UNITED STATES SENATOR (REPUBLICAN)
"POLIAK, CARLO ""NAKUSA""",REPUBLICAN,11,0.19,UNITED STATES SENATOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,144,2.46,UNITED STATES SENATOR (REPUBLICAN)
"DEHNE, SAM",DEMOCRAT,388,24.05,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"KOEPNICK, SAMUEL",DEMOCRAT,708,43.89,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"RODRIGUEZ, XIOMARA ""XIO""",DEMOCRAT,517,32.05,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"KITE, KELLY (Incumbent)",REPUBLICAN,2012,34.87,"STATE ASSEMBLY, DISTRICT 39 (REPUBLICAN)"
"SCHMIDT, GARY",REPUBLICAN,1361,23.59,"STATE ASSEMBLY, DISTRICT 39 (REPUBLICAN)"
"WHEELER, JIM",REPUBLICAN,2397,41.54,"STATE ASSEMBLY, DISTRICT 39 (REPUBLICAN)"
"KNECHT, RON (Incumbent)",NONPARTISAN,4503,64.67,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)"
"MACKEDON, MICHON",NONPARTISAN,1601,22.99,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)"
"RIENDEAU, RICHARD ""OLD RICK""",NONPARTISAN,859,12.34,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)"
"BACON, RAY",NONPARTISAN,1510,21.61,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"CAREY, SCOTT H.",NONPARTISAN,455,6.51,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"CLONTZ, DONNA",NONPARTISAN,1362,19.49,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"COOK, DAVE",NONPARTISAN,2632,37.66,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"FRALICK, ADRIANA GUZMAN",NONPARTISAN,1030,14.74,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"HUMBLE, DIANNE",REPUBLICAN,839,15.42,COUNTY COMMISSIONER DISTRICT 5 (REPUBLICAN)
"OLSON, MICHAEL (Incumbent)",REPUBLICAN,2088,38.37,COUNTY COMMISSIONER DISTRICT 5 (REPUBLICAN)
"PENZEL, BARRY",REPUBLICAN,2515,46.21,COUNTY COMMISSIONER DISTRICT 5 (REPUBLICAN)
"GLASSON, RICHARD (Incumbent)",NONPARTISAN,714,100.00,"JUSTICE OF THE PEACE, TAHOE TOWNSHIP (NONPARTISAN)"
