precinct,office,candidate,votes
1038 - County,President,"GOODE, VIRGIL",0
1038 - County,President,"JOHNSON, GARY",2
1038 - County,President,None Of These Candidates,1
1038 - County,President,"Obama, Barack",133
1038 - County,President,"Romney, Mitt",241
1039 - County,President,"GOODE, VIRGIL",0
1039 - County,President,"JOHNSON, GARY",4
1039 - County,President,None Of These Candidates,1
1039 - County,President,"Obama, Barack",219
1039 - County,President,"Romney, Mitt",653
1063 - County,President,"GOODE, VIRGIL",2
1063 - County,President,"JOHNSON, GARY",4
1063 - County,President,None Of These Candidates,1
1063 - County,President,"Obama, Barack",474
1063 - County,President,"Romney, Mitt",449
1072 - SCH,President,"GOODE, VIRGIL",3
1072 - SCH,President,"JOHNSON, GARY",8
1072 - SCH,President,None Of These Candidates,6
1072 - SCH,President,"Obama, Barack",169
1072 - SCH,President,"Romney, Mitt",277
1074 - LGH,President,"GOODE, VIRGIL",12
1074 - LGH,President,"JOHNSON, GARY",14
1074 - LGH,President,None Of These Candidates,8
1074 - LGH,President,"Obama, Barack",491
1074 - LGH,President,"Romney, Mitt",671
1137 - County,President,"GOODE, VIRGIL",0
1137 - County,President,"JOHNSON, GARY",12
1137 - County,President,None Of These Candidates,2
1137 - County,President,"Obama, Barack",461
1137 - County,President,"Romney, Mitt",349
1302 - County,President,"GOODE, VIRGIL",1
1302 - County,President,"JOHNSON, GARY",12
1302 - County,President,None Of These Candidates,2
1302 - County,President,"Obama, Barack",623
1302 - County,President,"Romney, Mitt",345
1303 - County,President,"GOODE, VIRGIL",2
1303 - County,President,"JOHNSON, GARY",15
1303 - County,President,None Of These Candidates,4
1303 - County,President,"Obama, Barack",504
1303 - County,President,"Romney, Mitt",349
1304 - County,President,"GOODE, VIRGIL",6
1304 - County,President,"JOHNSON, GARY",15
1304 - County,President,None Of These Candidates,10
1304 - County,President,"Obama, Barack",887
1304 - County,President,"Romney, Mitt",544
1307 - County,President,"GOODE, VIRGIL",0
1307 - County,President,"JOHNSON, GARY",17
1307 - County,President,None Of These Candidates,10
1307 - County,President,"Obama, Barack",585
1307 - County,President,"Romney, Mitt",534
1318 - County,President,"GOODE, VIRGIL",0
1318 - County,President,"JOHNSON, GARY",11
1318 - County,President,None Of These Candidates,0
1318 - County,President,"Obama, Barack",606
1318 - County,President,"Romney, Mitt",240
1327 - County,President,"GOODE, VIRGIL",0
1327 - County,President,"JOHNSON, GARY",8
1327 - County,President,None Of These Candidates,1
1327 - County,President,"Obama, Barack",727
1327 - County,President,"Romney, Mitt",387
1328 - County,President,"GOODE, VIRGIL",0
1328 - County,President,"JOHNSON, GARY",16
1328 - County,President,None Of These Candidates,1
1328 - County,President,"Obama, Barack",503
1328 - County,President,"Romney, Mitt",296
1330 - County,President,"GOODE, VIRGIL",4
1330 - County,President,"JOHNSON, GARY",10
1330 - County,President,None Of These Candidates,11
1330 - County,President,"Obama, Barack",532
1330 - County,President,"Romney, Mitt",576
1331 - County,President,"GOODE, VIRGIL",6
1331 - County,President,"JOHNSON, GARY",16
1331 - County,President,None Of These Candidates,9
1331 - County,President,"Obama, Barack",615
1331 - County,President,"Romney, Mitt",293
1332 - County,President,"GOODE, VIRGIL",2
1332 - County,President,"JOHNSON, GARY",5
1332 - County,President,None Of These Candidates,0
1332 - County,President,"Obama, Barack",229
1332 - County,President,"Romney, Mitt",163
1333 - County,President,"GOODE, VIRGIL",2
1333 - County,President,"JOHNSON, GARY",5
1333 - County,President,None Of These Candidates,4
1333 - County,President,"Obama, Barack",455
1333 - County,President,"Romney, Mitt",394
1334 - County,President,"GOODE, VIRGIL",1
1334 - County,President,"JOHNSON, GARY",8
1334 - County,President,None Of These Candidates,12
1334 - County,President,"Obama, Barack",613
1334 - County,President,"Romney, Mitt",463
1335 - County,President,"GOODE, VIRGIL",4
1335 - County,President,"JOHNSON, GARY",11
1335 - County,President,None Of These Candidates,7
1335 - County,President,"Obama, Barack",554
1335 - County,President,"Romney, Mitt",436
1336 - County,President,"GOODE, VIRGIL",0
1336 - County,President,"JOHNSON, GARY",7
1336 - County,President,None Of These Candidates,3
1336 - County,President,"Obama, Barack",316
1336 - County,President,"Romney, Mitt",223
1337 - County,President,"GOODE, VIRGIL",4
1337 - County,President,"JOHNSON, GARY",13
1337 - County,President,None Of These Candidates,6
1337 - County,President,"Obama, Barack",625
1337 - County,President,"Romney, Mitt",384
1340 - County,President,"GOODE, VIRGIL",0
1340 - County,President,"JOHNSON, GARY",9
1340 - County,President,None Of These Candidates,5
1340 - County,President,"Obama, Barack",633
1340 - County,President,"Romney, Mitt",282
1341 - County,President,"GOODE, VIRGIL",1
1341 - County,President,"JOHNSON, GARY",13
1341 - County,President,None Of These Candidates,9
1341 - County,President,"Obama, Barack",607
1341 - County,President,"Romney, Mitt",355
1342 - County,President,"GOODE, VIRGIL",1
1342 - County,President,"JOHNSON, GARY",13
1342 - County,President,None Of These Candidates,3
1342 - County,President,"Obama, Barack",473
1342 - County,President,"Romney, Mitt",314
1343 - County,President,"GOODE, VIRGIL",2
1343 - County,President,"JOHNSON, GARY",7
1343 - County,President,None Of These Candidates,1
1343 - County,President,"Obama, Barack",318
1343 - County,President,"Romney, Mitt",345
1344 - County,President,"GOODE, VIRGIL",0
1344 - County,President,"JOHNSON, GARY",9
1344 - County,President,None Of These Candidates,0
1344 - County,President,"Obama, Barack",293
1344 - County,President,"Romney, Mitt",214
1345 - County,President,"GOODE, VIRGIL",1
1345 - County,President,"JOHNSON, GARY",5
1345 - County,President,None Of These Candidates,0
1345 - County,President,"Obama, Barack",233
1345 - County,President,"Romney, Mitt",195
1346 - County,President,"GOODE, VIRGIL",2
1346 - County,President,"JOHNSON, GARY",14
1346 - County,President,None Of These Candidates,3
1346 - County,President,"Obama, Barack",475
1346 - County,President,"Romney, Mitt",489
1348 - County,President,"GOODE, VIRGIL",3
1348 - County,President,"JOHNSON, GARY",14
1348 - County,President,None Of These Candidates,3
1348 - County,President,"Obama, Barack",500
1348 - County,President,"Romney, Mitt",334
1349 - County,President,"GOODE, VIRGIL",1
1349 - County,President,"JOHNSON, GARY",7
1349 - County,President,None Of These Candidates,6
1349 - County,President,"Obama, Barack",499
1349 - County,President,"Romney, Mitt",292
1351 - County,President,"GOODE, VIRGIL",5
1351 - County,President,"JOHNSON, GARY",14
1351 - County,President,None Of These Candidates,6
1351 - County,President,"Obama, Barack",558
1351 - County,President,"Romney, Mitt",254
1352 - County,President,"GOODE, VIRGIL",4
1352 - County,President,"JOHNSON, GARY",10
1352 - County,President,None Of These Candidates,2
1352 - County,President,"Obama, Barack",519
1352 - County,President,"Romney, Mitt",323
1353 - County,President,"GOODE, VIRGIL",4
1353 - County,President,"JOHNSON, GARY",12
1353 - County,President,None Of These Candidates,1
1353 - County,President,"Obama, Barack",701
1353 - County,President,"Romney, Mitt",393
1354 - County,President,"GOODE, VIRGIL",2
1354 - County,President,"JOHNSON, GARY",9
1354 - County,President,None Of These Candidates,2
1354 - County,President,"Obama, Barack",302
1354 - County,President,"Romney, Mitt",214
1356 - County,President,"GOODE, VIRGIL",2
1356 - County,President,"JOHNSON, GARY",9
1356 - County,President,None Of These Candidates,2
1356 - County,President,"Obama, Barack",611
1356 - County,President,"Romney, Mitt",378
1360 - County,President,"GOODE, VIRGIL",0
1360 - County,President,"JOHNSON, GARY",0
1360 - County,President,None Of These Candidates,0
1360 - County,President,"Obama, Barack",0
1360 - County,President,"Romney, Mitt",0
1361 - County,President,"GOODE, VIRGIL",0
1361 - County,President,"JOHNSON, GARY",0
1361 - County,President,None Of These Candidates,0
1361 - County,President,"Obama, Barack",0
1361 - County,President,"Romney, Mitt",0
1363 - County,President,"GOODE, VIRGIL",0
1363 - County,President,"JOHNSON, GARY",0
1363 - County,President,None Of These Candidates,0
1363 - County,President,"Obama, Barack",0
1363 - County,President,"Romney, Mitt",0
1365 - County,President,"GOODE, VIRGIL",
1365 - County,President,"JOHNSON, GARY",
1365 - County,President,None Of These Candidates,
1365 - County,President,"Obama, Barack",
1365 - County,President,"Romney, Mitt",
1367 - County,President,"GOODE, VIRGIL",1
1367 - County,President,"JOHNSON, GARY",13
1367 - County,President,None Of These Candidates,5
1367 - County,President,"Obama, Barack",761
1367 - County,President,"Romney, Mitt",399
1368 - County,President,"GOODE, VIRGIL",1
1368 - County,President,"JOHNSON, GARY",16
1368 - County,President,None Of These Candidates,4
1368 - County,President,"Obama, Barack",748
1368 - County,President,"Romney, Mitt",405
1370 - County,President,"GOODE, VIRGIL",0
1370 - County,President,"JOHNSON, GARY",0
1370 - County,President,None Of These Candidates,0
1370 - County,President,"Obama, Barack",0
1370 - County,President,"Romney, Mitt",0
1371 - County,President,"GOODE, VIRGIL",
1371 - County,President,"JOHNSON, GARY",
1371 - County,President,None Of These Candidates,
1371 - County,President,"Obama, Barack",
1371 - County,President,"Romney, Mitt",
1373 - County,President,"GOODE, VIRGIL",
1373 - County,President,"JOHNSON, GARY",
1373 - County,President,None Of These Candidates,
1373 - County,President,"Obama, Barack",
1373 - County,President,"Romney, Mitt",
1374 - County,President,"GOODE, VIRGIL",
1374 - County,President,"JOHNSON, GARY",
1374 - County,President,None Of These Candidates,
1374 - County,President,"Obama, Barack",
1374 - County,President,"Romney, Mitt",
1375 - County,President,"GOODE, VIRGIL",0
1375 - County,President,"JOHNSON, GARY",0
1375 - County,President,None Of These Candidates,0
1375 - County,President,"Obama, Barack",0
1375 - County,President,"Romney, Mitt",0
1376 - County,President,"GOODE, VIRGIL",
1376 - County,President,"JOHNSON, GARY",
1376 - County,President,None Of These Candidates,
1376 - County,President,"Obama, Barack",
1376 - County,President,"Romney, Mitt",
1377 - County,President,"GOODE, VIRGIL",
1377 - County,President,"JOHNSON, GARY",
1377 - County,President,None Of These Candidates,
1377 - County,President,"Obama, Barack",
1377 - County,President,"Romney, Mitt",
1378 - County,President,"GOODE, VIRGIL",
1378 - County,President,"JOHNSON, GARY",
1378 - County,President,None Of These Candidates,
1378 - County,President,"Obama, Barack",
1378 - County,President,"Romney, Mitt",
1379 - County,President,"GOODE, VIRGIL",0
1379 - County,President,"JOHNSON, GARY",0
1379 - County,President,None Of These Candidates,0
1379 - County,President,"Obama, Barack",0
1379 - County,President,"Romney, Mitt",0
1380 - County,President,"GOODE, VIRGIL",
1380 - County,President,"JOHNSON, GARY",
1380 - County,President,None Of These Candidates,
1380 - County,President,"Obama, Barack",
1380 - County,President,"Romney, Mitt",
1381 - County,President,"GOODE, VIRGIL",
1381 - County,President,"JOHNSON, GARY",
1381 - County,President,None Of These Candidates,
1381 - County,President,"Obama, Barack",
1381 - County,President,"Romney, Mitt",
1382 - County,President,"GOODE, VIRGIL",0
1382 - County,President,"JOHNSON, GARY",0
1382 - County,President,None Of These Candidates,0
1382 - County,President,"Obama, Barack",0
1382 - County,President,"Romney, Mitt",0
1384 - HEN,President,"GOODE, VIRGIL",0
1384 - HEN,President,"JOHNSON, GARY",0
1384 - HEN,President,None Of These Candidates,1
1384 - HEN,President,"Obama, Barack",16
1384 - HEN,President,"Romney, Mitt",14
1385 - County,President,"GOODE, VIRGIL",0
1385 - County,President,"JOHNSON, GARY",0
1385 - County,President,None Of These Candidates,0
1385 - County,President,"Obama, Barack",0
1385 - County,President,"Romney, Mitt",0
1386 - County,President,"GOODE, VIRGIL",
1386 - County,President,"JOHNSON, GARY",
1386 - County,President,None Of These Candidates,
1386 - County,President,"Obama, Barack",
1386 - County,President,"Romney, Mitt",
1387 - County,President,"GOODE, VIRGIL",0
1387 - County,President,"JOHNSON, GARY",0
1387 - County,President,None Of These Candidates,0
1387 - County,President,"Obama, Barack",0
1387 - County,President,"Romney, Mitt",0
1389 - HEN,President,"GOODE, VIRGIL",0
1389 - HEN,President,"JOHNSON, GARY",1
1389 - HEN,President,None Of These Candidates,0
1389 - HEN,President,"Obama, Barack",237
1389 - HEN,President,"Romney, Mitt",177
1390 - HEN,President,"GOODE, VIRGIL",1
1390 - HEN,President,"JOHNSON, GARY",10
1390 - HEN,President,None Of These Candidates,12
1390 - HEN,President,"Obama, Barack",689
1390 - HEN,President,"Romney, Mitt",564
1391 - HEN,President,"GOODE, VIRGIL",0
1391 - HEN,President,"JOHNSON, GARY",13
1391 - HEN,President,None Of These Candidates,5
1391 - HEN,President,"Obama, Barack",454
1391 - HEN,President,"Romney, Mitt",344
1394 - HEN,President,"GOODE, VIRGIL",2
1394 - HEN,President,"JOHNSON, GARY",10
1394 - HEN,President,None Of These Candidates,4
1394 - HEN,President,"Obama, Barack",406
1394 - HEN,President,"Romney, Mitt",622
1395 - HEN,President,"GOODE, VIRGIL",0
1395 - HEN,President,"JOHNSON, GARY",4
1395 - HEN,President,None Of These Candidates,3
1395 - HEN,President,"Obama, Barack",344
1395 - HEN,President,"Romney, Mitt",624
1396 - HEN,President,"GOODE, VIRGIL",1
1396 - HEN,President,"JOHNSON, GARY",10
1396 - HEN,President,None Of These Candidates,2
1396 - HEN,President,"Obama, Barack",422
1396 - HEN,President,"Romney, Mitt",355
1410 - HEN,President,"GOODE, VIRGIL",4
1410 - HEN,President,"JOHNSON, GARY",19
1410 - HEN,President,None Of These Candidates,9
1410 - HEN,President,"Obama, Barack",541
1410 - HEN,President,"Romney, Mitt",621
1411 - HEN,President,"GOODE, VIRGIL",1
1411 - HEN,President,"JOHNSON, GARY",8
1411 - HEN,President,None Of These Candidates,6
