precinct,office,candidate,votes
PRECINCT 1,Justice of the Peace -  PERSHING - NP (Nonpartisan),"BERGE, KRISTY",50
PRECINCT 1,Justice of the Peace -  PERSHING - NP (Nonpartisan),"EVANS, JAMES",99
PRECINCT 1,Justice of the Peace -  PERSHING - NP (Nonpartisan),"STEPHENS, KAREN",148
PRECINCT 1,School Dist. Board of Trustees Seat B (Nonpartisan),"GORSLINE, WILLIAM ""BILL""",265
PRECINCT 1,School Dist. Board of Trustees Seat D (Nonpartisan),"BRINKERHOFF, WALTER A.",272
PRECINCT 1,School Dist. Board of Trustees Seat E (Nonpartisan),"CRIM, JOE",266
PRECINCT 1,"State Board of Education, District 2 (Nonpartisan)","Bacon, Ray",39
PRECINCT 1,"State Board of Education, District 2 (Nonpartisan)","Carey, Scott H.",18
PRECINCT 1,"State Board of Education, District 2 (Nonpartisan)","Clontz, Donna",73
PRECINCT 1,"State Board of Education, District 2 (Nonpartisan)","Cook, Dave",84
PRECINCT 1,"State Board of Education, District 2 (Nonpartisan)","Fralick, Adriana Guzman",53
PRECINCT 1,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",17
PRECINCT 1,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",49
PRECINCT 1,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",18
PRECINCT 1,U.S. Senate (Democratic),"Berkley, Shelley",50
PRECINCT 1,U.S. Senate (Democratic),"Brown, Steve",11
PRECINCT 1,U.S. Senate (Democratic),"Ellsworth, Barry",6
PRECINCT 1,U.S. Senate (Democratic),"Macias, Louis",0
PRECINCT 1,U.S. Senate (Democratic),None Of These Candidates,17
PRECINCT 1,U.S. Senate (Democratic),"Price, Nancy",9
PRECINCT 1,U.S. Senate (Republican),"Brooks, Sherry",14
PRECINCT 1,U.S. Senate (Republican),"Charles, Richard",0
PRECINCT 1,U.S. Senate (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",2
PRECINCT 1,U.S. Senate (Republican),"Heller, Dean",152
PRECINCT 1,U.S. Senate (Republican),None Of These Candidates,9
PRECINCT 1,U.S. Senate (Republican),"Poliak, Carlo ""Nakusa""",0
PRECINCT 3,Justice of the Peace -  PERSHING - NP (Nonpartisan),"BERGE, KRISTY",28
PRECINCT 3,Justice of the Peace -  PERSHING - NP (Nonpartisan),"EVANS, JAMES",69
PRECINCT 3,Justice of the Peace -  PERSHING - NP (Nonpartisan),"STEPHENS, KAREN",67
PRECINCT 3,School Dist. Board of Trustees Seat B (Nonpartisan),"GORSLINE, WILLIAM ""BILL""",136
PRECINCT 3,School Dist. Board of Trustees Seat D (Nonpartisan),"BRINKERHOFF, WALTER A.",140
PRECINCT 3,School Dist. Board of Trustees Seat E (Nonpartisan),"CRIM, JOE",138
PRECINCT 3,"State Board of Education, District 2 (Nonpartisan)","Bacon, Ray",15
PRECINCT 3,"State Board of Education, District 2 (Nonpartisan)","Carey, Scott H.",14
PRECINCT 3,"State Board of Education, District 2 (Nonpartisan)","Clontz, Donna",55
PRECINCT 3,"State Board of Education, District 2 (Nonpartisan)","Cook, Dave",43
PRECINCT 3,"State Board of Education, District 2 (Nonpartisan)","Fralick, Adriana Guzman",20
