precinct,office,candidate,votes
01-Centerville,County Commissioner District 1,"LYNN, GREG",421
01-Centerville,County Commissioner District 3,"GODECKE, FRANK",266
01-Centerville,County Commissioner District 3,"JOHNSON, DOUG N.",227
01-Centerville,County Commissioner District 5,"OLSON, MICHAEL",220
01-Centerville,County Commissioner District 5,"PENZEL, BARRY",269
01-Centerville,East Fork Swimming Pool Dist - 3 SEATS,"ASHBAUGH, ALISA",160
01-Centerville,East Fork Swimming Pool Dist - 3 SEATS,"CUTTS, ROBERT",82
01-Centerville,East Fork Swimming Pool Dist - 3 SEATS,"GRAY, GORDON",181
01-Centerville,East Fork Swimming Pool Dist - 3 SEATS,"NISHIKIDA, DAVIS JOHN",152
01-Centerville,East Fork Swimming Pool Dist - 3 SEATS,"OREN, DAVID",126
01-Centerville,East Fork Swimming Pool Dist - 3 SEATS,"PETRICK-SULLIVAN, JANINE",171
01-Centerville,East Fork Swimming Pool Dist - 3 SEATS,"SCHNOCK, CARL",169
01-Centerville,Justice of the Peace East Fork Township,"FAZZINO, WAYNE A.",130
01-Centerville,Justice of the Peace East Fork Township,"PERKINS, TOM",363
01-Centerville,President and Vice President of the United States,"GOODE, VIRGIL",1
01-Centerville,President and Vice President of the United States,"JOHNSON, GARY",3
01-Centerville,President and Vice President of the United States,None Of These Candidates,3
01-Centerville,President and Vice President of the United States,"Obama, Barack",180
01-Centerville,President and Vice President of the United States,"Romney, Mitt",408
01-Centerville,School Board Trustee Area 1,"CHESSELL, KAREN",224
01-Centerville,School Board Trustee Area 1,"SANTI, RON",188
01-Centerville,School Board Trustee Area 4,"FREITAS, NEAL",240
01-Centerville,School Board Trustee Area 4,"LOURITT, JOHN",181
01-Centerville,School Board Trustee Area 5,"JAMIN, TERI",223
01-Centerville,School Board Trustee Area 5,"LIPPMANN, LAURENCE",201
01-Centerville,"State Assembly, District 39","Schumann, David K.",106
01-Centerville,"State Assembly, District 39","Wheeler, Jim",418
01-Centerville,"State Board of Education, District 2","Clontz, Donna",150
01-Centerville,"State Board of Education, District 2","Cook, Dave",292
01-Centerville,"Supreme Court Justice, Seat C","Cherry, Michael A.",345
01-Centerville,"Supreme Court Justice, Seat C",None Of These Candidates,111
01-Centerville,"Supreme Court Justice, Seat F","Douglas, Michael L.",362
01-Centerville,"Supreme Court Justice, Seat F",None Of These Candidates,97
01-Centerville,"Supreme Court Justice, Seat G",None Of These Candidates,119
01-Centerville,"Supreme Court Justice, Seat G","Saitta, Nancy M.",331
01-Centerville,"U.S. Representative in Congress, District 2","Amodei, Mark E.",423
01-Centerville,"U.S. Representative in Congress, District 2","Best, Russell",5
01-Centerville,"U.S. Representative in Congress, District 2","HAINES, MICHAEL L.",7
01-Centerville,"U.S. Representative in Congress, District 2","KOEPNICK, SAMUEL",127
01-Centerville,United States Senator,"Berkley, Shelley",134
01-Centerville,United States Senator,"Heller, Dean",410
01-Centerville,United States Senator,None Of These Candidates,24
01-Centerville,United States Senator,"VANDERBEEK, DAVID LORY",20
01-Centerville,"University Board of Regents, District  9","Knecht, Ron",292
01-Centerville,"University Board of Regents, District  9","Mackedon, Michon",156
02-Fish Springs,County Commissioner District 1,"LYNN, GREG",760
02-Fish Springs,County Commissioner District 3,"GODECKE, FRANK",424
02-Fish Springs,County Commissioner District 3,"JOHNSON, DOUG N.",424
02-Fish Springs,County Commissioner District 5,"OLSON, MICHAEL",409
02-Fish Springs,County Commissioner District 5,"PENZEL, BARRY",423
02-Fish Springs,East Fork Swimming Pool Dist - 3 SEATS,"ASHBAUGH, ALISA",302
02-Fish Springs,East Fork Swimming Pool Dist - 3 SEATS,"CUTTS, ROBERT",135
02-Fish Springs,East Fork Swimming Pool Dist - 3 SEATS,"GRAY, GORDON",316
02-Fish Springs,East Fork Swimming Pool Dist - 3 SEATS,"NISHIKIDA, DAVIS JOHN",248
02-Fish Springs,East Fork Swimming Pool Dist - 3 SEATS,"OREN, DAVID",204
02-Fish Springs,East Fork Swimming Pool Dist - 3 SEATS,"PETRICK-SULLIVAN, JANINE",293
02-Fish Springs,East Fork Swimming Pool Dist - 3 SEATS,"SCHNOCK, CARL",300
02-Fish Springs,Justice of the Peace East Fork Township,"FAZZINO, WAYNE A.",284
02-Fish Springs,Justice of the Peace East Fork Township,"PERKINS, TOM",549
