precinct,office,candidate,votes
PRECINCT 1,Justice of the Peace - STOREY - NP (Nonpartisan),"DUFRESNE, MARIE",18
PRECINCT 1,Justice of the Peace - STOREY - NP (Nonpartisan),"HERRINGTON, EILEEN F.",57
PRECINCT 1,Justice of the Peace - STOREY - NP (Nonpartisan),"MCGUFFEY, JACKIE JACK R. ""JACK""",42
PRECINCT 1,Justice of the Peace - STOREY - NP (Nonpartisan),"REDICAN, THOMAS ""TOM""",19
PRECINCT 1,School Board Trustee Seat 1A (Nonpartisan),"JAMES, CATHYLEE",104
PRECINCT 1,School Board Trustee Seat 1B (Nonpartisan),"CONLEY, COLLEEN",98
PRECINCT 1,School Board Trustee Seat 1C (Nonpartisan),"MILLER, CHRISTINE",101
PRECINCT 1,"State Assembly, District 39 (Republican)","KITE, KELLY",28
PRECINCT 1,"State Assembly, District 39 (Republican)","SCHMIDT, GARY",29
PRECINCT 1,"State Assembly, District 39 (Republican)","WHEELER, JIM",15
PRECINCT 1,"State Board of Education, District 2 (Nonpartisan)","Bacon, Ray",23
PRECINCT 1,"State Board of Education, District 2 (Nonpartisan)","Carey, Scott H.",6
PRECINCT 1,"State Board of Education, District 2 (Nonpartisan)","Clontz, Donna",23
PRECINCT 1,"State Board of Education, District 2 (Nonpartisan)","Cook, Dave",38
PRECINCT 1,"State Board of Education, District 2 (Nonpartisan)","Fralick, Adriana Guzman",19
PRECINCT 1,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",8
PRECINCT 1,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",11
PRECINCT 1,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",12
PRECINCT 1,U.S. Senate (Democratic),"Berkley, Shelley",28
PRECINCT 1,U.S. Senate (Democratic),"Brown, Steve",3
PRECINCT 1,U.S. Senate (Democratic),"Ellsworth, Barry",2
PRECINCT 1,U.S. Senate (Democratic),"Macias, Louis",1
PRECINCT 1,U.S. Senate (Democratic),None Of These Candidates,6
PRECINCT 1,U.S. Senate (Democratic),"Price, Nancy",2
PRECINCT 1,U.S. Senate (Republican),"Brooks, Sherry",4
PRECINCT 1,U.S. Senate (Republican),"Charles, Richard",0
PRECINCT 1,U.S. Senate (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1
PRECINCT 1,U.S. Senate (Republican),"Heller, Dean",64
PRECINCT 1,U.S. Senate (Republican),None Of These Candidates,4
PRECINCT 1,U.S. Senate (Republican),"Poliak, Carlo ""Nakusa""",0
PRECINCT 1,"University Board of Regents, District 9 (Nonpartisan)","KNECHT, RON",62
PRECINCT 1,"University Board of Regents, District 9 (Nonpartisan)","Mackedon, Michon",29
PRECINCT 1,"University Board of Regents, District 9 (Nonpartisan)","Riendeau, Richard ""Old Rick""",18
PRECINCT 10,Justice of the Peace - STOREY - NP (Nonpartisan),"DUFRESNE, MARIE",0
PRECINCT 10,Justice of the Peace - STOREY - NP (Nonpartisan),"HERRINGTON, EILEEN F.",0
PRECINCT 10,Justice of the Peace - STOREY - NP (Nonpartisan),"MCGUFFEY, JACKIE JACK R. ""JACK""",0
PRECINCT 10,Justice of the Peace - STOREY - NP (Nonpartisan),"REDICAN, THOMAS ""TOM""",0
PRECINCT 10,School Board Trustee Seat 1A (Nonpartisan),"JAMES, CATHYLEE",0
PRECINCT 10,School Board Trustee Seat 1B (Nonpartisan),"CONLEY, COLLEEN",0
PRECINCT 10,School Board Trustee Seat 1C (Nonpartisan),"MILLER, CHRISTINE",0
PRECINCT 10,"State Assembly, District 39 (Republican)","KITE, KELLY",0
PRECINCT 10,"State Assembly, District 39 (Republican)","SCHMIDT, GARY",0
PRECINCT 10,"State Assembly, District 39 (Republican)","WHEELER, JIM",0
PRECINCT 10,"State Board of Education, District 2 (Nonpartisan)","Bacon, Ray",0
PRECINCT 10,"State Board of Education, District 2 (Nonpartisan)","Carey, Scott H.",0
PRECINCT 10,"State Board of Education, District 2 (Nonpartisan)","Clontz, Donna",0
PRECINCT 10,"State Board of Education, District 2 (Nonpartisan)","Cook, Dave",0
PRECINCT 10,"State Board of Education, District 2 (Nonpartisan)","Fralick, Adriana Guzman",0
PRECINCT 10,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",0
PRECINCT 10,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",0
PRECINCT 10,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",0
PRECINCT 10,U.S. Senate (Democratic),"Berkley, Shelley",0
PRECINCT 10,U.S. Senate (Democratic),"Brown, Steve",0
PRECINCT 10,U.S. Senate (Democratic),"Ellsworth, Barry",0
PRECINCT 10,U.S. Senate (Democratic),"Macias, Louis",0
PRECINCT 10,U.S. Senate (Democratic),None Of These Candidates,0
PRECINCT 10,U.S. Senate (Democratic),"Price, Nancy",0
PRECINCT 10,U.S. Senate (Republican),"Brooks, Sherry",0
PRECINCT 10,U.S. Senate (Republican),"Charles, Richard",0
PRECINCT 10,U.S. Senate (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0
PRECINCT 10,U.S. Senate (Republican),"Heller, Dean",0
PRECINCT 10,U.S. Senate (Republican),None Of These Candidates,0
PRECINCT 10,U.S. Senate (Republican),"Poliak, Carlo ""Nakusa""",0
PRECINCT 10,"University Board of Regents, District 9 (Nonpartisan)","KNECHT, RON",0
PRECINCT 10,"University Board of Regents, District 9 (Nonpartisan)","Mackedon, Michon",0
PRECINCT 10,"University Board of Regents, District 9 (Nonpartisan)","Riendeau, Richard ""Old Rick""",0
PRECINCT 11,Justice of the Peace - STOREY - NP (Nonpartisan),"DUFRESNE, MARIE",
PRECINCT 11,Justice of the Peace - STOREY - NP (Nonpartisan),"HERRINGTON, EILEEN F.",
PRECINCT 11,Justice of the Peace - STOREY - NP (Nonpartisan),"MCGUFFEY, JACKIE JACK R. ""JACK""",
PRECINCT 11,Justice of the Peace - STOREY - NP (Nonpartisan),"REDICAN, THOMAS ""TOM""",
PRECINCT 11,School Board Trustee Seat 1A (Nonpartisan),"JAMES, CATHYLEE",
PRECINCT 11,School Board Trustee Seat 1B (Nonpartisan),"CONLEY, COLLEEN",
PRECINCT 11,School Board Trustee Seat 1C (Nonpartisan),"MILLER, CHRISTINE",
PRECINCT 11,"State Assembly, District 39 (Republican)","KITE, KELLY",
PRECINCT 11,"State Assembly, District 39 (Republican)","SCHMIDT, GARY",
PRECINCT 11,"State Assembly, District 39 (Republican)","WHEELER, JIM",
PRECINCT 11,"State Board of Education, District 2 (Nonpartisan)","Bacon, Ray",
PRECINCT 11,"State Board of Education, District 2 (Nonpartisan)","Carey, Scott H.",
PRECINCT 11,"State Board of Education, District 2 (Nonpartisan)","Clontz, Donna",
PRECINCT 11,"State Board of Education, District 2 (Nonpartisan)","Cook, Dave",
PRECINCT 11,"State Board of Education, District 2 (Nonpartisan)","Fralick, Adriana Guzman",
PRECINCT 11,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",0
PRECINCT 11,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",0
PRECINCT 11,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",0
PRECINCT 11,U.S. Senate (Democratic),"Berkley, Shelley",0
PRECINCT 11,U.S. Senate (Democratic),"Brown, Steve",0
PRECINCT 11,U.S. Senate (Democratic),"Ellsworth, Barry",0
PRECINCT 11,U.S. Senate (Democratic),"Macias, Louis",0
PRECINCT 11,U.S. Senate (Democratic),None Of These Candidates,0
PRECINCT 11,U.S. Senate (Democratic),"Price, Nancy",0
PRECINCT 11,U.S. Senate (Republican),"Brooks, Sherry",
PRECINCT 11,U.S. Senate (Republican),"Charles, Richard",
PRECINCT 11,U.S. Senate (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",
PRECINCT 11,U.S. Senate (Republican),"Heller, Dean",
PRECINCT 11,U.S. Senate (Republican),None Of These Candidates,
PRECINCT 11,U.S. Senate (Republican),"Poliak, Carlo ""Nakusa""",
PRECINCT 11,"University Board of Regents, District 9 (Nonpartisan)","KNECHT, RON",
PRECINCT 11,"University Board of Regents, District 9 (Nonpartisan)","Mackedon, Michon",
PRECINCT 11,"University Board of Regents, District 9 (Nonpartisan)","Riendeau, Richard ""Old Rick""",
PRECINCT 12,Justice of the Peace - STOREY - NP (Nonpartisan),"DUFRESNE, MARIE",
PRECINCT 12,Justice of the Peace - STOREY - NP (Nonpartisan),"HERRINGTON, EILEEN F.",
PRECINCT 12,Justice of the Peace - STOREY - NP (Nonpartisan),"MCGUFFEY, JACKIE JACK R. ""JACK""",
PRECINCT 12,Justice of the Peace - STOREY - NP (Nonpartisan),"REDICAN, THOMAS ""TOM""",
PRECINCT 12,School Board Trustee Seat 1A (Nonpartisan),"JAMES, CATHYLEE",
PRECINCT 12,School Board Trustee Seat 1B (Nonpartisan),"CONLEY, COLLEEN",
PRECINCT 12,School Board Trustee Seat 1C (Nonpartisan),"MILLER, CHRISTINE",
PRECINCT 12,"State Assembly, District 39 (Republican)","KITE, KELLY",
PRECINCT 12,"State Assembly, District 39 (Republican)","SCHMIDT, GARY",
PRECINCT 12,"State Assembly, District 39 (Republican)","WHEELER, JIM",
PRECINCT 12,"State Board of Education, District 2 (Nonpartisan)","Bacon, Ray",
