precinct,office,candidate,votes,jurisdiction
East Mason Valley 1,United States Senator (Democratic),"Berkley, Shelley",39,Lyon
East Mason Valley 1,United States Senator (Democratic),"Brown, Steve",0,Lyon
East Mason Valley 1,United States Senator (Democratic),"Ellsworth, Barry",1,Lyon
East Mason Valley 1,United States Senator (Democratic),"Macias, Louis",3,Lyon
East Mason Valley 1,United States Senator (Democratic),None Of These Candidates,3,Lyon
East Mason Valley 1,United States Senator (Democratic),"Price, Nancy",6,Lyon
East Mason Valley 2,United States Senator (Democratic),"Berkley, Shelley",24,Lyon
East Mason Valley 2,United States Senator (Democratic),"Brown, Steve",7,Lyon
East Mason Valley 2,United States Senator (Democratic),"Ellsworth, Barry",2,Lyon
East Mason Valley 2,United States Senator (Democratic),"Macias, Louis",0,Lyon
East Mason Valley 2,United States Senator (Democratic),None Of These Candidates,6,Lyon
East Mason Valley 2,United States Senator (Democratic),"Price, Nancy",3,Lyon
Fernley 1,United States Senator (Democratic),"Berkley, Shelley",50,Lyon
Fernley 1,United States Senator (Democratic),"Brown, Steve",3,Lyon
Fernley 1,United States Senator (Democratic),"Ellsworth, Barry",1,Lyon
Fernley 1,United States Senator (Democratic),"Macias, Louis",1,Lyon
Fernley 1,United States Senator (Democratic),None Of These Candidates,7,Lyon
Fernley 1,United States Senator (Democratic),"Price, Nancy",6,Lyon
Fernley 10,United States Senator (Democratic),"Berkley, Shelley",8,Lyon
Fernley 10,United States Senator (Democratic),"Brown, Steve",0,Lyon
Fernley 10,United States Senator (Democratic),"Ellsworth, Barry",0,Lyon
Fernley 10,United States Senator (Democratic),"Macias, Louis",0,Lyon
Fernley 10,United States Senator (Democratic),None Of These Candidates,1,Lyon
Fernley 10,United States Senator (Democratic),"Price, Nancy",1,Lyon
Fernley 11,United States Senator (Democratic),"Berkley, Shelley",25,Lyon
Fernley 11,United States Senator (Democratic),"Brown, Steve",2,Lyon
Fernley 11,United States Senator (Democratic),"Ellsworth, Barry",1,Lyon
Fernley 11,United States Senator (Democratic),"Macias, Louis",0,Lyon
Fernley 11,United States Senator (Democratic),None Of These Candidates,1,Lyon
Fernley 11,United States Senator (Democratic),"Price, Nancy",4,Lyon
