county,precinct,office,candidate,votes,district
Carson City,101,President,Virgil Goode,5,
Carson City,101,President,None Of These Candidates,14,
Carson City,101,President,Gary Johnson,15,
Carson City,101,U.S. House,Michael Haines,27,2
Carson City,101,U.S. House,Russell Best,29,2
Carson City,101,U.S. Senate,David Vanderbeek,44,
Carson City,101,U.S. Senate,None Of These Candidates,46,
Carson City,101,U.S. Senate,Shelley Berkley,286,
Carson City,101,U.S. House,Samuel Koepnick,288,2
Carson City,101,President,Mitt Romney,326,
Carson City,101,State House,Rich Dunn,355,40
Carson City,101,State House,Pete Livermore,358,40
Carson City,101,U.S. Senate,Dean Heller,365,
Carson City,101,U.S. House,Mark Amodei,375,2
Carson City,101,President,Barack Obama,389,
Carson City,103,President,Virgil Goode,5,
Carson City,103,President,None Of These Candidates,5,
Carson City,103,President,Gary Johnson,6,
Carson City,103,U.S. House,Russell Best,13,2
Carson City,103,U.S. House,Michael Haines,15,2
Carson City,103,U.S. Senate,David Vanderbeek,23,
Carson City,103,U.S. Senate,None Of These Candidates,36,
Carson City,103,U.S. House,Samuel Koepnick,285,2
Carson City,103,U.S. Senate,Shelley Berkley,311,
Carson City,103,State House,Rich Dunn,382,40
Carson City,103,President,Barack Obama,402,
Carson City,103,President,Mitt Romney,492,
Carson City,103,State House,Pete Livermore,492,40
Carson City,103,U.S. Senate,Dean Heller,538,
Carson City,103,U.S. House,Mark Amodei,578,2
Carson City,105,President,Virgil Goode,2,
Carson City,105,U.S. House,Russell Best,7,2
Carson City,105,President,Gary Johnson,8,
Carson City,105,President,None Of These Candidates,8,
Carson City,105,U.S. Senate,David Vanderbeek,12,
Carson City,105,U.S. House,Michael Haines,14,2
Carson City,105,U.S. Senate,None Of These Candidates,20,
Carson City,105,U.S. House,Samuel Koepnick,225,2
Carson City,105,U.S. Senate,Shelley Berkley,256,
Carson City,105,State House,Rich Dunn,288,40
Carson City,105,President,Barack Obama,311,
Carson City,105,President,Mitt Romney,647,
Carson City,105,State House,Pete Livermore,655,40
Carson City,105,U.S. Senate,Dean Heller,685,
Carson City,105,U.S. House,Mark Amodei,722,2
Carson City,107,President,Virgil Goode,3,
Carson City,107,President,Gary Johnson,9,
Carson City,107,President,None Of These Candidates,11,
Carson City,107,U.S. House,Russell Best,15,2
Carson City,107,U.S. House,Michael Haines,22,2
Carson City,107,U.S. Senate,David Vanderbeek,33,
Carson City,107,U.S. Senate,None Of These Candidates,39,
Carson City,107,U.S. House,Samuel Koepnick,267,2
Carson City,107,U.S. Senate,Shelley Berkley,274,
Carson City,107,State House,Rich Dunn,318,40
Carson City,107,President,Barack Obama,387,
Carson City,107,President,Mitt Romney,638,
Carson City,107,State House,Pete Livermore,688,40
Carson City,107,U.S. Senate,Dean Heller,695,
Carson City,107,U.S. House,Mark Amodei,714,2
Carson City,109,President,Virgil Goode,2,
Carson City,109,President,Gary Johnson,8,
Carson City,109,President,None Of These Candidates,15,
Carson City,109,U.S. House,Russell Best,20,2
Carson City,109,U.S. House,Michael Haines,31,2
Carson City,109,U.S. Senate,David Vanderbeek,34,
Carson City,109,U.S. Senate,None Of These Candidates,48,
Carson City,109,U.S. House,Samuel Koepnick,359,2
Carson City,109,U.S. Senate,Shelley Berkley,386,
Carson City,109,State House,Rich Dunn,444,40
Carson City,109,President,Barack Obama,510,
Carson City,109,President,Mitt Romney,648,
Carson City,109,State House,Pete Livermore,680,40
Carson City,109,U.S. Senate,Dean Heller,707,
Carson City,109,U.S. House,Mark Amodei,744,2
Carson City,111,President,Virgil Goode,6,
Carson City,111,President,None Of These Candidates,10,
Carson City,111,President,Gary Johnson,18,
Carson City,111,U.S. House,Michael Haines,42,2
Carson City,111,U.S. Senate,None Of These Candidates,53,
Carson City,111,U.S. House,Russell Best,54,2
Carson City,111,U.S. Senate,David Vanderbeek,69,
Carson City,111,U.S. Senate,Shelley Berkley,340,
Carson City,111,U.S. House,Samuel Koepnick,366,2
Carson City,111,President,Mitt Romney,443,
Carson City,111,State House,Rich Dunn,450,40
Carson City,111,State House,Pete Livermore,480,40
Carson City,111,U.S. House,Mark Amodei,486,2
Carson City,111,President,Barack Obama,494,
Carson City,111,U.S. Senate,Dean Heller,496,
Carson City,113,President,Virgil Goode,8,
Carson City,113,President,Gary Johnson,13,
Carson City,113,President,None Of These Candidates,13,
Carson City,113,U.S. House,Russell Best,24,2
Carson City,113,U.S. House,Michael Haines,27,2
Carson City,113,U.S. Senate,None Of These Candidates,39,
Carson City,113,U.S. Senate,David Vanderbeek,63,
Carson City,113,U.S. House,Samuel Koepnick,348,2
Carson City,113,U.S. Senate,Shelley Berkley,351,
Carson City,113,State House,Rich Dunn,443,40
Carson City,113,President,Barack Obama,453,
Carson City,113,State House,Pete Livermore,722,40
Carson City,113,President,Mitt Romney,734,
Carson City,113,U.S. Senate,Dean Heller,762,
Carson City,113,U.S. House,Mark Amodei,787,2
Carson City,201,President,Virgil Goode,4,
Carson City,201,President,None Of These Candidates,9,
Carson City,201,President,Gary Johnson,11,
Carson City,201,U.S. House,Russell Best,22,2
Carson City,201,U.S. Senate,None Of These Candidates,22,
Carson City,201,U.S. House,Michael Haines,31,2
Carson City,201,U.S. Senate,David Vanderbeek,42,
Carson City,201,U.S. House,Samuel Koepnick,280,2
Carson City,201,U.S. Senate,Shelley Berkley,283,
Carson City,201,State House,Rich Dunn,344,40
Carson City,201,President,Mitt Romney,348,
Carson City,201,State House,Pete Livermore,376,40
Carson City,201,President,Barack Obama,380,
