precinct,office,candidate,votes
1038 - County,U.S. Senate (Democratic),"Berkley, Shelley",16
1038 - County,U.S. Senate (Democratic),"Brown, Steve",1
1038 - County,U.S. Senate (Democratic),"Ellsworth, Barry",1
1038 - County,U.S. Senate (Democratic),"Macias, Louis",1
1038 - County,U.S. Senate (Democratic),None Of These Candidates,1
1038 - County,U.S. Senate (Democratic),"Price, Nancy",1
1039 - County,U.S. Senate (Democratic),"Berkley, Shelley",37
1039 - County,U.S. Senate (Democratic),"Brown, Steve",0
1039 - County,U.S. Senate (Democratic),"Ellsworth, Barry",3
1039 - County,U.S. Senate (Democratic),"Macias, Louis",0
1039 - County,U.S. Senate (Democratic),None Of These Candidates,2
1039 - County,U.S. Senate (Democratic),"Price, Nancy",4
1063 - County,U.S. Senate (Democratic),"Berkley, Shelley",59
1063 - County,U.S. Senate (Democratic),"Brown, Steve",2
1063 - County,U.S. Senate (Democratic),"Ellsworth, Barry",4
1063 - County,U.S. Senate (Democratic),"Macias, Louis",1
1063 - County,U.S. Senate (Democratic),None Of These Candidates,1
1063 - County,U.S. Senate (Democratic),"Price, Nancy",1
1072 - SCH,U.S. Senate (Democratic),"Berkley, Shelley",67
1072 - SCH,U.S. Senate (Democratic),"Brown, Steve",12
1072 - SCH,U.S. Senate (Democratic),"Ellsworth, Barry",2
1072 - SCH,U.S. Senate (Democratic),"Macias, Louis",0
1072 - SCH,U.S. Senate (Democratic),None Of These Candidates,9
1072 - SCH,U.S. Senate (Democratic),"Price, Nancy",14
1074 - LGH,U.S. Senate (Democratic),"Berkley, Shelley",131
1074 - LGH,U.S. Senate (Democratic),"Brown, Steve",18
1074 - LGH,U.S. Senate (Democratic),"Ellsworth, Barry",9
1074 - LGH,U.S. Senate (Democratic),"Macias, Louis",5
1074 - LGH,U.S. Senate (Democratic),None Of These Candidates,30
1074 - LGH,U.S. Senate (Democratic),"Price, Nancy",10
1075 - LGH,U.S. Senate (Democratic),"Berkley, Shelley",14
1075 - LGH,U.S. Senate (Democratic),"Brown, Steve",0
1075 - LGH,U.S. Senate (Democratic),"Ellsworth, Barry",1
1075 - LGH,U.S. Senate (Democratic),"Macias, Louis",0
1075 - LGH,U.S. Senate (Democratic),None Of These Candidates,0
1075 - LGH,U.S. Senate (Democratic),"Price, Nancy",0
1137 - County,U.S. Senate (Democratic),"Berkley, Shelley",29
1137 - County,U.S. Senate (Democratic),"Brown, Steve",4
1137 - County,U.S. Senate (Democratic),"Ellsworth, Barry",2
1137 - County,U.S. Senate (Democratic),"Macias, Louis",1
1137 - County,U.S. Senate (Democratic),None Of These Candidates,1
1137 - County,U.S. Senate (Democratic),"Price, Nancy",2
1302 - County,U.S. Senate (Democratic),"Berkley, Shelley",43
1302 - County,U.S. Senate (Democratic),"Brown, Steve",0
1302 - County,U.S. Senate (Democratic),"Ellsworth, Barry",2
1302 - County,U.S. Senate (Democratic),"Macias, Louis",0
1302 - County,U.S. Senate (Democratic),None Of These Candidates,0
1302 - County,U.S. Senate (Democratic),"Price, Nancy",2
1303 - County,U.S. Senate (Democratic),"Berkley, Shelley",53
1303 - County,U.S. Senate (Democratic),"Brown, Steve",4
1303 - County,U.S. Senate (Democratic),"Ellsworth, Barry",1
1303 - County,U.S. Senate (Democratic),"Macias, Louis",0
