candidate,party,votes,percent,office
"BERKLEY, SHELLEY",DEMOCRAT,1096,64.89,UNITED STATES SENATOR (DEMOCRATIC)
"BROWN, STEVE",DEMOCRAT,123,7.28,UNITED STATES SENATOR (DEMOCRATIC)
"ELLSWORTH, BARRY",DEMOCRAT,97,5.74,UNITED STATES SENATOR (DEMOCRATIC)
"MACIAS, LOUIS",DEMOCRAT,38,2.25,UNITED STATES SENATOR (DEMOCRATIC)
"PRICE, NANCY",DEMOCRAT,157,9.30,UNITED STATES SENATOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,178,10.54,UNITED STATES SENATOR (DEMOCRATIC)
"BROOKS, SHERRY",REPUBLICAN,152,4.49,UNITED STATES SENATOR (REPUBLICAN)
"CHARLES, RICHARD",REPUBLICAN,107,3.16,UNITED STATES SENATOR (REPUBLICAN)
"HAMILTON, EDDIE ""IN LIBERTY""",REPUBLICAN,228,6.73,UNITED STATES SENATOR (REPUBLICAN)
"HELLER, DEAN (Incumbent)",REPUBLICAN,2702,79.80,UNITED STATES SENATOR (REPUBLICAN)
"POLIAK, CARLO ""NAKUSA""",REPUBLICAN,35,1.03,UNITED STATES SENATOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,162,4.78,UNITED STATES SENATOR (REPUBLICAN)
"ANDERSON, DIANA R.",REPUBLICAN,97,2.90,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"CEGAVSKE, BARBARA K.",REPUBLICAN,690,20.66,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"DELAROSA, MIKE",REPUBLICAN,98,2.93,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"HILL, KIRAN",REPUBLICAN,283,8.47,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"LEEDS, ROBERT X.",REPUBLICAN,24,0.72,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"SCHWARTZ, DAN",REPUBLICAN,452,13.53,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"TARKANIAN, DANNY",REPUBLICAN,1193,35.72,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"WEGNER, KENNETH A.",REPUBLICAN,457,13.68,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"ZELLER, SID",REPUBLICAN,46,1.38,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)"
"GRUDZINSKI, WALT",REPUBLICAN,759,27.08,"STATE ASSEMBLY, DISTRICT 36 (REPUBLICAN)"
"LEATHAM, DELMAR W.",REPUBLICAN,448,15.98,"STATE ASSEMBLY, DISTRICT 36 (REPUBLICAN)"
"OSCARSON, JAMES",REPUBLICAN,1462,52.16,"STATE ASSEMBLY, DISTRICT 36 (REPUBLICAN)"
"SCHLUMPF, NATHAN ""NATE""",REPUBLICAN,134,4.78,"STATE ASSEMBLY, DISTRICT 36 (REPUBLICAN)"
"NEWBURN, MARK",NONPARTISAN,4636,100.00,"STATE BOARD OF EDUCATION, DISTRICT 4 (NONPARTISAN)"
"CARBONE, FRANK G.",REPUBLICAN,213,36.16,COUNTY COMMISSIONER DISTRICT II (REPUBLICAN)
"HESKETH, GARREN",REPUBLICAN,60,10.19,COUNTY COMMISSIONER DISTRICT II (REPUBLICAN)
"HOLLIS, GARY",REPUBLICAN,259,43.97,COUNTY COMMISSIONER DISTRICT II (REPUBLICAN)
"LACKEY, DARRYL",REPUBLICAN,57,9.68,COUNTY COMMISSIONER DISTRICT II (REPUBLICAN)
"ALBERTI, ANDY",REPUBLICAN,177,26.54,COUNTY COMMISSIONER DISTRICT III (REPUBLICAN)
