precinct,office,candidate,votes
Argenta 01,County Comm Dist. NO. 3 (CW),"WAITS, PATSY A.",302
Argenta 01,County Comm Dist. NO. 4 (CW),"ALLAN, JUDIE A.",152
Argenta 01,County Comm Dist. NO. 4 (CW),"STIENMETZ, STEVEN",188
Argenta 01,"LANDER COUNTY Hospital Dist Trustee, Seat A","LAWSON, MARIAN A.",183
Argenta 01,"LANDER COUNTY Hospital Dist Trustee, Seat A","NEVAREZ, MICHELLE",155
Argenta 01,President and Vice President of the United States,"GOODE, VIRGIL",4
Argenta 01,President and Vice President of the United States,"JOHNSON, GARY",4
Argenta 01,President and Vice President of the United States,None Of These Candidates,3
Argenta 01,President and Vice President of the United States,"Obama, Barack",96
Argenta 01,President and Vice President of the United States,"Romney, Mitt",256
Argenta 01,"State Assembly, District 32","Hansen, Ira",311
Argenta 01,"State Board of Education, District 2","Clontz, Donna",145
Argenta 01,"State Board of Education, District 2","Cook, Dave",173
Argenta 01,"Supreme Court Justice, Seat C","Cherry, Michael A.",260
Argenta 01,"Supreme Court Justice, Seat C",None Of These Candidates,70
Argenta 01,"Supreme Court Justice, Seat F","Douglas, Michael L.",262
Argenta 01,"Supreme Court Justice, Seat F",None Of These Candidates,63
Argenta 01,"Supreme Court Justice, Seat G",None Of These Candidates,66
Argenta 01,"Supreme Court Justice, Seat G","Saitta, Nancy M.",260
Argenta 01,"U.S. Representative in Congress, District 2","Amodei, Mark E.",251
Argenta 01,"U.S. Representative in Congress, District 2","Best, Russell",12
Argenta 01,"U.S. Representative in Congress, District 2","HAINES, MICHAEL L.",19
Argenta 01,"U.S. Representative in Congress, District 2","KOEPNICK, SAMUEL",66
Argenta 01,United States Senator,"Berkley, Shelley",64
Argenta 01,United States Senator,"Heller, Dean",258
Argenta 01,United States Senator,None Of These Candidates,12
Argenta 01,United States Senator,"VANDERBEEK, DAVID LORY",26
Argenta 01,"University Board of Regents, District  9","Knecht, Ron",173
Argenta 01,"University Board of Regents, District  9","Mackedon, Michon",146
Argenta 02,County Comm Dist. NO. 3 (CW),"WAITS, PATSY A.",390
Argenta 02,County Comm Dist. NO. 4 (CW),"ALLAN, JUDIE A.",216
Argenta 02,County Comm Dist. NO. 4 (CW),"STIENMETZ, STEVEN",204
Argenta 02,"LANDER COUNTY Hospital Dist Trustee, Seat A","LAWSON, MARIAN A.",224
Argenta 02,"LANDER COUNTY Hospital Dist Trustee, Seat A","NEVAREZ, MICHELLE",197
Argenta 02,President and Vice President of the United States,"GOODE, VIRGIL",7
Argenta 02,President and Vice President of the United States,"JOHNSON, GARY",0
Argenta 02,President and Vice President of the United States,None Of These Candidates,4
Argenta 02,President and Vice President of the United States,"Obama, Barack",135
Argenta 02,President and Vice President of the United States,"Romney, Mitt",316
Argenta 02,"State Assembly, District 32","Hansen, Ira",395
Argenta 02,"State Board of Education, District 2","Clontz, Donna",181
Argenta 02,"State Board of Education, District 2","Cook, Dave",216
