precinct,office,candidate,votes
Precinct 1,Attorney General,"Hansen, Jonathan J",20
Precinct 1,Attorney General,"Laxalt, Adam Paul",86
Precinct 1,Attorney General,"Miller, Ross",33
Precinct 1,Attorney General,None Of These Candidates,7
Precinct 1,Auditor/Recorder,"SCOTT, KAREN",133
Precinct 1,Clerk and Treasurer,"ELGAN, LACINDA",127
Precinct 1,COUNTY ASSESSOR,"LEE, RUTH P.",125
Precinct 1,COUNTY ASSESSOR,"MCLEAN, RANDY W.",25
Precinct 1,County Commissioner District 1,"BATES, MICHELLE ""MICKI""",89
Precinct 1,County Commissioner District 1,"GILLUM, R.J.",59
Precinct 1,DISTRICT ATTORNEY,"GLENNEN, ROBERT E. III",126
Precinct 1,"District Court Judge, District 5, Department 2","DONOHUE, LILLIAN JO ""LIL""",47
Precinct 1,"District Court Judge, District 5, Department 2","LANE, ROBERT W.",89
Precinct 1,Governor,"Goodman, Robert ""Bob""",21
Precinct 1,Governor,None Of These Candidates,7
Precinct 1,Governor,"Sandoval, Brian",108
Precinct 1,Governor,"VanDerBeek, David Lory",14
Precinct 1,Lieutenant Governor,"Flores, Lucy",29
Precinct 1,Lieutenant Governor,"Hutchison, Mark",92
Precinct 1,Lieutenant Governor,"Little, Mike",18
Precinct 1,Lieutenant Governor,None Of These Candidates,10
Precinct 1,School Board Trustee Seat A,"BROWNFIELD, CARL",89
Precinct 1,School Board Trustee Seat A,"STIDHAM, EDDIE E.",56
Precinct 1,Secretary Of State,"Cegavske, Barbara K",92
Precinct 1,Secretary Of State,"Marshall, Kate",43
Precinct 1,Secretary Of State,None Of These Candidates,13
Precinct 1,Sheriff,"BETH, DAVID R.",63
Precinct 1,Sheriff,"ELGAN, KEN",83
Precinct 1,"State Assembly, District 32","Gabriel, Louis ""Wedge""",17
Precinct 1,"State Assembly, District 32","Hansen, Ira",96
Precinct 1,"State Assembly, District 32","Sampaga, John Sharp",29
Precinct 1,State Controller,"Jones, Tom",18
Precinct 1,State Controller,"Knecht, Ron",93
Precinct 1,State Controller,"Martin, Andrew",25
Precinct 1,State Controller,None Of These Candidates,11
Precinct 1,"State Senate, District 14","Gustavson, Don",105
Precinct 1,"State Senate, District 14","Hunt, Joe",36
Precinct 1,State Treasurer,"Cave, Kress K",16
Precinct 1,State Treasurer,None Of These Candidates,10
Precinct 1,State Treasurer,"Schwartz, Dan",88
Precinct 1,State Treasurer,"Wallin, Kim",31
Precinct 1,"Supreme Court Justice, Seat B",None Of These Candidates,39
Precinct 1,"Supreme Court Justice, Seat B","Pickering, Kristina",97
Precinct 1,"Supreme Court Justice, Seat D","Gibbons, Mark",109
Precinct 1,"Supreme Court Justice, Seat D",None Of These Candidates,27
Precinct 1,"U.S. Representative in Congress, District 4","Best, Russell",13
Precinct 1,"U.S. Representative in Congress, District 4","Brown, Steve",9
Precinct 1,"U.S. Representative in Congress, District 4","Hardy, Cresent",85
Precinct 1,"U.S. Representative in Congress, District 4","Horsford, Steven A.",39
Precinct 2,Attorney General,"Hansen, Jonathan J",0
Precinct 2,Attorney General,"Laxalt, Adam Paul",30
Precinct 2,Attorney General,"Miller, Ross",8
Precinct 2,Attorney General,None Of These Candidates,1
Precinct 2,Auditor/Recorder,"SCOTT, KAREN",29
Precinct 2,Clerk and Treasurer,"ELGAN, LACINDA",34
Precinct 2,COUNTY ASSESSOR,"LEE, RUTH P.",31
Precinct 2,COUNTY ASSESSOR,"MCLEAN, RANDY W.",9
Precinct 2,DISTRICT ATTORNEY,"GLENNEN, ROBERT E. III",27
Precinct 2,"District Court Judge, District 5, Department 2","DONOHUE, LILLIAN JO ""LIL""",7
Precinct 2,"District Court Judge, District 5, Department 2","LANE, ROBERT W.",28
Precinct 2,Governor,"Goodman, Robert ""Bob""",3
Precinct 2,Governor,None Of These Candidates,3
Precinct 2,Governor,"Sandoval, Brian",31
Precinct 2,Governor,"VanDerBeek, David Lory",2
Precinct 2,Lieutenant Governor,"Flores, Lucy",4
Precinct 2,Lieutenant Governor,"Hutchison, Mark",32
Precinct 2,Lieutenant Governor,"Little, Mike",2
Precinct 2,Lieutenant Governor,None Of These Candidates,1
Precinct 2,Secretary Of State,"Cegavske, Barbara K",28
Precinct 2,Secretary Of State,"Marshall, Kate",9
Precinct 2,Secretary Of State,None Of These Candidates,2
Precinct 2,Sheriff,"BETH, DAVID R.",16
Precinct 2,Sheriff,"ELGAN, KEN",24
Precinct 2,"State Assembly, District 32","Gabriel, Louis ""Wedge""",5
Precinct 2,"State Assembly, District 32","Hansen, Ira",30
Precinct 2,"State Assembly, District 32","Sampaga, John Sharp",3
Precinct 2,State Controller,"Jones, Tom",6
Precinct 2,State Controller,"Knecht, Ron",26
Precinct 2,State Controller,"Martin, Andrew",3
Precinct 2,State Controller,None Of These Candidates,4
Precinct 2,"State Senate, District 14","Gustavson, Don",30
Precinct 2,"State Senate, District 14","Hunt, Joe",8
Precinct 2,State Treasurer,"Cave, Kress K",5
Precinct 2,State Treasurer,None Of These Candidates,3
Precinct 2,State Treasurer,"Schwartz, Dan",26
Precinct 2,State Treasurer,"Wallin, Kim",5
Precinct 2,"Supreme Court Justice, Seat B",None Of These Candidates,9
Precinct 2,"Supreme Court Justice, Seat B","Pickering, Kristina",26
Precinct 2,"Supreme Court Justice, Seat D","Gibbons, Mark",26
Precinct 2,"Supreme Court Justice, Seat D",None Of These Candidates,10
Precinct 2,"U.S. Representative in Congress, District 4","Best, Russell",1
Precinct 2,"U.S. Representative in Congress, District 4","Brown, Steve",1
Precinct 2,"U.S. Representative in Congress, District 4","Hardy, Cresent",31
Precinct 2,"U.S. Representative in Congress, District 4","Horsford, Steven A.",6
Precinct 3,Attorney General,"Hansen, Jonathan J",21
Precinct 3,Attorney General,"Laxalt, Adam Paul",94
Precinct 3,Attorney General,"Miller, Ross",35
Precinct 3,Attorney General,None Of These Candidates,3
Precinct 3,Auditor/Recorder,"SCOTT, KAREN",132
Precinct 3,Clerk and Treasurer,"ELGAN, LACINDA",149
Precinct 3,COUNTY ASSESSOR,"LEE, RUTH P.",121
Precinct 3,COUNTY ASSESSOR,"MCLEAN, RANDY W.",32
Precinct 3,DISTRICT ATTORNEY,"GLENNEN, ROBERT E. III",133
Precinct 3,"District Court Judge, District 5, Department 2","DONOHUE, LILLIAN JO ""LIL""",53
Precinct 3,"District Court Judge, District 5, Department 2","LANE, ROBERT W.",90
Precinct 3,Governor,"Goodman, Robert ""Bob""",15
Precinct 3,Governor,None Of These Candidates,5
Precinct 3,Governor,"Sandoval, Brian",124
Precinct 3,Governor,"VanDerBeek, David Lory",9
Precinct 3,Lieutenant Governor,"Flores, Lucy",21
Precinct 3,Lieutenant Governor,"Hutchison, Mark",115
Precinct 3,Lieutenant Governor,"Little, Mike",13
Precinct 3,Lieutenant Governor,None Of These Candidates,5
Precinct 3,Secretary Of State,"Cegavske, Barbara K",116
Precinct 3,Secretary Of State,"Marshall, Kate",30
Precinct 3,Secretary Of State,None Of These Candidates,8
Precinct 3,Sheriff,"BETH, DAVID R.",23
Precinct 3,Sheriff,"ELGAN, KEN",129
Precinct 3,"State Assembly, District 32","Gabriel, Louis ""Wedge""",10
Precinct 3,"State Assembly, District 32","Hansen, Ira",119
Precinct 3,"State Assembly, District 32","Sampaga, John Sharp",20
Precinct 3,State Controller,"Jones, Tom",17
Precinct 3,State Controller,"Knecht, Ron",107
Precinct 3,State Controller,"Martin, Andrew",23
Precinct 3,State Controller,None Of These Candidates,6
Precinct 3,"State Senate, District 14","Gustavson, Don",123
Precinct 3,"State Senate, District 14","Hunt, Joe",28
Precinct 3,State Treasurer,"Cave, Kress K",11
Precinct 3,State Treasurer,None Of These Candidates,8
Precinct 3,State Treasurer,"Schwartz, Dan",111
Precinct 3,State Treasurer,"Wallin, Kim",22
Precinct 3,"Supreme Court Justice, Seat B",None Of These Candidates,35
Precinct 3,"Supreme Court Justice, Seat B","Pickering, Kristina",103
Precinct 3,"Supreme Court Justice, Seat D","Gibbons, Mark",106
Precinct 3,"Supreme Court Justice, Seat D",None Of These Candidates,31
Precinct 3,"U.S. Representative in Congress, District 4","Best, Russell",13
Precinct 3,"U.S. Representative in Congress, District 4","Brown, Steve",6
Precinct 3,"U.S. Representative in Congress, District 4","Hardy, Cresent",108
Precinct 3,"U.S. Representative in Congress, District 4","Horsford, Steven A.",23
Precinct 4,Attorney General,"Hansen, Jonathan J",0
Precinct 4,Attorney General,"Laxalt, Adam Paul",9
Precinct 4,Attorney General,"Miller, Ross",3
Precinct 4,Attorney General,None Of These Candidates,0
Precinct 4,Auditor/Recorder,"SCOTT, KAREN",10
Precinct 4,Clerk and Treasurer,"ELGAN, LACINDA",11
Precinct 4,COUNTY ASSESSOR,"LEE, RUTH P.",12
