precinct,office,candidate,votes
PRECINCT 1,Assessor,"CHISUM, KEVIN",125
PRECINCT 1,Assessor,"FOWLER, DOROTHY J.",87
PRECINCT 1,Attorney General,"Hansen, Jonathan J",15
PRECINCT 1,Attorney General,"Laxalt, Adam Paul",120
PRECINCT 1,Attorney General,"Miller, Ross",70
PRECINCT 1,Attorney General,None Of These Candidates,11
PRECINCT 1,Clerk/Treasurer,"HAIGHT, LORRAINE",127
PRECINCT 1,Clerk/Treasurer,"NEPPER, CHRISTOPHER",88
PRECINCT 1,County Commissioner Seat C,"TIPTON, JERRIE C.",157
PRECINCT 1,DISTRICT ATTORNEY,"ROWE, SEAN",170
PRECINCT 1,"District Court Judge, District 5, Department 2","DONOHUE, LILLIAN JO ""LIL""",34
PRECINCT 1,"District Court Judge, District 5, Department 2","LANE, ROBERT W.",155
PRECINCT 1,Governor,"Goodman, Robert ""Bob""",20
PRECINCT 1,Governor,None Of These Candidates,5
PRECINCT 1,Governor,"Sandoval, Brian",187
PRECINCT 1,Governor,"VanDerBeek, David Lory",6
PRECINCT 1,HAWTHORNE Township Constable,"MCINTOSH, OLLIE",86
PRECINCT 1,HAWTHORNE Township Constable,"SCHAAF, GARY",122
PRECINCT 1,Lieutenant Governor,"Flores, Lucy",37
PRECINCT 1,Lieutenant Governor,"Hutchison, Mark",151
PRECINCT 1,Lieutenant Governor,"Little, Mike",8
PRECINCT 1,Lieutenant Governor,None Of These Candidates,18
PRECINCT 1,PUBLIC ADMINISTRATOR,"CICHOWLAZ, BETH",171
PRECINCT 1,Recorder/Auditor,"HOFERER, CHRISTINE",180
PRECINCT 1,Secretary Of State,"Cegavske, Barbara K",113
PRECINCT 1,Secretary Of State,"Marshall, Kate",86
PRECINCT 1,Secretary Of State,None Of These Candidates,19
PRECINCT 1,Sheriff,"ADAMS, RANDALL ""RANDY""",121
PRECINCT 1,Sheriff,"HANDTE, STEWART",96
PRECINCT 1,"State Assembly, District 32","Gabriel, Louis ""Wedge""",13
PRECINCT 1,"State Assembly, District 32","Hansen, Ira",138
PRECINCT 1,"State Assembly, District 32","Sampaga, John Sharp",53
PRECINCT 1,State Controller,"Jones, Tom",19
PRECINCT 1,State Controller,"Knecht, Ron",126
PRECINCT 1,State Controller,"Martin, Andrew",42
PRECINCT 1,State Controller,None Of These Candidates,26
PRECINCT 1,"State Senate, District 14","Gustavson, Don",143
PRECINCT 1,"State Senate, District 14","Hunt, Joe",61
PRECINCT 1,State Treasurer,"Cave, Kress K",10
PRECINCT 1,State Treasurer,None Of These Candidates,21
PRECINCT 1,State Treasurer,"Schwartz, Dan",123
PRECINCT 1,State Treasurer,"Wallin, Kim",60
PRECINCT 1,"Supreme Court Justice, Seat B",None Of These Candidates,54
PRECINCT 1,"Supreme Court Justice, Seat B","Pickering, Kristina",139
PRECINCT 1,"Supreme Court Justice, Seat D","Gibbons, Mark",148
PRECINCT 1,"Supreme Court Justice, Seat D",None Of These Candidates,36
PRECINCT 1,"U.S. Representative in Congress, District 4","Best, Russell",9
PRECINCT 1,"U.S. Representative in Congress, District 4","Brown, Steve",6
PRECINCT 1,"U.S. Representative in Congress, District 4","Hardy, Cresent",103
PRECINCT 1,"U.S. Representative in Congress, District 4","Horsford, Steven A.",86
PRECINCT 10,Assessor,"CHISUM, KEVIN",
PRECINCT 10,Assessor,"FOWLER, DOROTHY J.",
