precinct,office,candidate,votes
East Mason Valley 1,County Comm Dist. 5 (CW) (Republican),"ARELLANO, VIRGIL J.",53
East Mason Valley 1,County Comm Dist. 5 (CW) (Republican),"HUNEWILL, GREG A.",98
East Mason Valley 1,County Comm Dist. 5 (CW) (Republican),"LUPORI, ED",12
East Mason Valley 1,County Comm Dist. 5 (CW) (Republican),"THOMPSON, CLIFFORD A., JR.",13
East Mason Valley 1,"District Court Judge, District 3, Department 2 (Nonpartisan)","ABERASTURI, LEON",229
East Mason Valley 1,Governor (Democratic),"Chang, Charles ""Charlie""",6
East Mason Valley 1,Governor (Democratic),"Conquest, Frederick L.",0
East Mason Valley 1,Governor (Democratic),"Frye, Stephen H.",12
East Mason Valley 1,Governor (Democratic),"Goodman, Robert ""Bob""",5
East Mason Valley 1,Governor (Democratic),"Hyepock, Chris",0
East Mason Valley 1,Governor (Democratic),None Of These Candidates,23
East Mason Valley 1,Governor (Democratic),"Rheinhart, Allen",2
East Mason Valley 1,Governor (Democratic),"Rutledge, John",1
East Mason Valley 1,Governor (Democratic),"Shabazz, Abdul H.",0
East Mason Valley 1,Governor (Republican),"Hamilton, Eddie ""In Liberty""",5
East Mason Valley 1,Governor (Republican),"Marinch, Gary",1
East Mason Valley 1,Governor (Republican),None Of These Candidates,6
East Mason Valley 1,Governor (Republican),"Sandoval, Brian",159
East Mason Valley 1,Governor (Republican),"Tarbell, William",5
East Mason Valley 1,Governor (Republican),"Tighe, Thomas J.",4
East Mason Valley 1,Lieutenant Governor (Democratic),"Flores, Lucy",24
East Mason Valley 1,Lieutenant Governor (Democratic),"Kulkin, Harley Zane",7
East Mason Valley 1,Lieutenant Governor (Democratic),None Of These Candidates,20
East Mason Valley 1,Lieutenant Governor (Republican),"Dyer, Chris",15
East Mason Valley 1,Lieutenant Governor (Republican),"Hutchison, Mark",87
East Mason Valley 1,Lieutenant Governor (Republican),"Lowden, Sue",58
East Mason Valley 1,Lieutenant Governor (Republican),None Of These Candidates,18
East Mason Valley 1,School Dist Trustee Dist 2 (Nonpartisan),"MCINTYRE, NEAL E.",223
East Mason Valley 1,School Dist Trustee Dist 4 (Nonpartisan),"SHIRLEY, CHARLES W.",227
East Mason Valley 1,Sheriff (Nonpartisan),"ADAMS, STEVE",37
East Mason Valley 1,Sheriff (Nonpartisan),"KANTZ, GREG",6
East Mason Valley 1,Sheriff (Nonpartisan),"MCNEIL, AL",154
East Mason Valley 1,Sheriff (Nonpartisan),"TORRES, ALBERT D.",69
East Mason Valley 1,South Lyon County Hospital (Nonpartisan),"PRICE, JUDY",213
East Mason Valley 1,South Lyon County Hospital (Nonpartisan),"STRELO-SMITH, CAROLYN",188
East Mason Valley 1,"State Assembly, District 38 (Republican)","FREY, NORM",38
East Mason Valley 1,"State Assembly, District 38 (Republican)","TITUS, ROBIN L.",143
East Mason Valley 1,State Controller (Republican),"Arlint, Cort R.",14
East Mason Valley 1,State Controller (Republican),"Herr, Barry",18
East Mason Valley 1,State Controller (Republican),"Knecht, Ron",108
East Mason Valley 1,State Controller (Republican),None Of These Candidates,27
East Mason Valley 1,"U.S. Representative in Congress, District 4 (Democratic)","Budetich, Mark",2
East Mason Valley 1,"U.S. Representative in Congress, District 4 (Democratic)","Horsford, Steven A.",38
East Mason Valley 1,"U.S. Representative in Congress, District 4 (Democratic)","Zeller, Sid",9
East Mason Valley 1,"U.S. Representative in Congress, District 4 (Republican)","Hardy, Cresent",56
East Mason Valley 1,"U.S. Representative in Congress, District 4 (Republican)","Innis, Niger",36
East Mason Valley 1,"U.S. Representative in Congress, District 4 (Republican)","Monroe, Mike",57
East Mason Valley 1,"U.S. Representative in Congress, District 4 (Republican)","Poliak, Carlo ""Mazunga""",5
