precinct,office,candidate,votes
E Mason Valley 1,Attorney General,"Hansen, Jonathan J",32
E Mason Valley 1,Attorney General,"Laxalt, Adam Paul",242
E Mason Valley 1,Attorney General,"Miller, Ross",111
E Mason Valley 1,Attorney General,None Of These Candidates,18
E Mason Valley 1,COUNTY ASSESSOR,"VILLINES, TROY R",363
E Mason Valley 1,County Clerk-Treasurer,"BRYAN, NIKKI",381
E Mason Valley 1,County Comm Dist. 2 (CW),"ALT, DON",201
E Mason Valley 1,County Comm Dist. 2 (CW),"KELLER, VIDA D.",162
E Mason Valley 1,County Comm Dist. 5 (CW),"HUNEWILL, GREG A",321
E Mason Valley 1,County Comm Dist. 5 (CW),"ROEMER, JOHN",75
E Mason Valley 1,COUNTY RECORDER,"WARR, DAWNA L",359
E Mason Valley 1,DISTRICT ATTORNEY,"RYE, STEPHEN B.",358
E Mason Valley 1,"District Court Judge, District 3, Department 1","KENNEDY, JACK",111
E Mason Valley 1,"District Court Judge, District 3, Department 1","SCHLEGELMILCH, JOHN ""JP""",284
E Mason Valley 1,Governor,"Goodman, Robert ""Bob""",39
E Mason Valley 1,Governor,None Of These Candidates,6
E Mason Valley 1,Governor,"Sandoval, Brian",339
E Mason Valley 1,Governor,"VanDerBeek, David Lory",20
E Mason Valley 1,Lieutenant Governor,"Flores, Lucy",60
E Mason Valley 1,Lieutenant Governor,"Hutchison, Mark",289
E Mason Valley 1,Lieutenant Governor,"Little, Mike",35
E Mason Valley 1,Lieutenant Governor,None Of These Candidates,18
E Mason Valley 1,PUBLIC ADMINISTRATOR,"MUNRO, DELORES A",139
E Mason Valley 1,PUBLIC ADMINISTRATOR,"PELLEGRINI, AARON A",239
E Mason Valley 1,School Dist Trustee District VI Dayton #2,"COOPER, MELANIE ""SNIDER""",164
E Mason Valley 1,School Dist Trustee District VI Dayton #2,"PETERSON, BRIDGET",177
E Mason Valley 1,Secretary Of State,"Cegavske, Barbara K",231
E Mason Valley 1,Secretary Of State,"Marshall, Kate",146
E Mason Valley 1,Secretary Of State,None Of These Candidates,23
E Mason Valley 1,Sheriff,"MCNEIL, AL",253
E Mason Valley 1,Sheriff,"TORRES, ALBERT D.",139
E Mason Valley 1,"State Assembly, District 38","FASANO, TIM",32
E Mason Valley 1,"State Assembly, District 38","O'CONNOR, JOHN",19
E Mason Valley 1,"State Assembly, District 38","TITUS, ROBIN L.",350
E Mason Valley 1,State Controller,"Jones, Tom",43
E Mason Valley 1,State Controller,"Knecht, Ron",248
E Mason Valley 1,State Controller,"Martin, Andrew",87
E Mason Valley 1,State Controller,None Of These Candidates,24
E Mason Valley 1,"State Senate, District 17","SETTELMEYER, JAMES A.",358
E Mason Valley 1,State Treasurer,"Cave, Kress K",27
E Mason Valley 1,State Treasurer,None Of These Candidates,21
E Mason Valley 1,State Treasurer,"Schwartz, Dan",238
E Mason Valley 1,State Treasurer,"Wallin, Kim",115
E Mason Valley 1,"Supreme Court Justice, Seat B",None Of These Candidates,75
E Mason Valley 1,"Supreme Court Justice, Seat B","Pickering, Kristina",291
E Mason Valley 1,"Supreme Court Justice, Seat D","Gibbons, Mark",307
E Mason Valley 1,"Supreme Court Justice, Seat D",None Of These Candidates,61
E Mason Valley 1,"U.S. Representative in Congress, District 4","Best, Russell",24
E Mason Valley 1,"U.S. Representative in Congress, District 4","Brown, Steve",13
E Mason Valley 1,"U.S. Representative in Congress, District 4","Hardy, Cresent",218
E Mason Valley 1,"U.S. Representative in Congress, District 4","Horsford, Steven A.",145
E Mason Valley 2,Attorney General,"Hansen, Jonathan J",36
E Mason Valley 2,Attorney General,"Laxalt, Adam Paul",323
E Mason Valley 2,Attorney General,"Miller, Ross",118
E Mason Valley 2,Attorney General,None Of These Candidates,9
E Mason Valley 2,COUNTY ASSESSOR,"VILLINES, TROY R",449
E Mason Valley 2,County Clerk-Treasurer,"BRYAN, NIKKI",462
E Mason Valley 2,County Comm Dist. 2 (CW),"ALT, DON",244
E Mason Valley 2,County Comm Dist. 2 (CW),"KELLER, VIDA D.",209
E Mason Valley 2,County Comm Dist. 5 (CW),"HUNEWILL, GREG A",384
E Mason Valley 2,County Comm Dist. 5 (CW),"ROEMER, JOHN",90
E Mason Valley 2,COUNTY RECORDER,"WARR, DAWNA L",435
E Mason Valley 2,DISTRICT ATTORNEY,"RYE, STEPHEN B.",452
E Mason Valley 2,"District Court Judge, District 3, Department 1","KENNEDY, JACK",146
