precinct,office,candidate,votes
Precinct 1,COUNTY CLERK (Republican),"BALDWIN, NICHOLE",50
Precinct 1,COUNTY CLERK (Republican),"LYTLE, PATRICE",25
Precinct 1,COUNTY CLERK (Republican),"ROSE, ELIZABETH ""BETH""",38
Precinct 1,County Commissioner Seat 5 (Democratic),"CHACHAS, GEORGE",10
Precinct 1,County Commissioner Seat 5 (Democratic),"LEMICH, MIKE",27
Precinct 1,County Commissioner Seat 5 (Democratic),"PEREA, GARY",50
Precinct 1,"District Court Judge, District 7, Department  1 (Nonpartisan)","DOBRESCU, STEVE L.",209
Precinct 1,"District Court Judge, District 7, Department  2 (Nonpartisan)","FAIRMAN, GARY D.",211
Precinct 1,Governor (Democratic),"Chang, Charles ""Charlie""",4
Precinct 1,Governor (Democratic),"Conquest, Frederick L.",2
Precinct 1,Governor (Democratic),"Frye, Stephen H.",6
Precinct 1,Governor (Democratic),"Goodman, Robert ""Bob""",21
Precinct 1,Governor (Democratic),"Hyepock, Chris",0
Precinct 1,Governor (Democratic),None Of These Candidates,42
Precinct 1,Governor (Democratic),"Rheinhart, Allen",3
Precinct 1,Governor (Democratic),"Rutledge, John",7
Precinct 1,Governor (Democratic),"Shabazz, Abdul H.",0
Precinct 1,Governor (Republican),"Hamilton, Eddie ""In Liberty""",3
Precinct 1,Governor (Republican),"Marinch, Gary",5
Precinct 1,Governor (Republican),None Of These Candidates,10
Precinct 1,Governor (Republican),"Sandoval, Brian",90
Precinct 1,Governor (Republican),"Tarbell, William",4
Precinct 1,Governor (Republican),"Tighe, Thomas J.",2
Precinct 1,Lieutenant Governor (Democratic),"Flores, Lucy",36
Precinct 1,Lieutenant Governor (Democratic),"Kulkin, Harley Zane",14
Precinct 1,Lieutenant Governor (Democratic),None Of These Candidates,33
Precinct 1,Lieutenant Governor (Republican),"Dyer, Chris",5
Precinct 1,Lieutenant Governor (Republican),"Hutchison, Mark",45
Precinct 1,Lieutenant Governor (Republican),"Lowden, Sue",54
Precinct 1,Lieutenant Governor (Republican),None Of These Candidates,9
Precinct 1,School Board Trustee Seat A (Nonpartisan),"HUNT, LORI",210
Precinct 1,School Board Trustee Seat B (Nonpartisan),"MANGUM, PETE",204
Precinct 1,School Board Trustee Seat E (Nonpartisan),"HIBBS, MATT",202
Precinct 1,Sheriff (Nonpartisan),"MARQUEZ, STEVE",54
Precinct 1,Sheriff (Nonpartisan),"ROBISON, PENNY JO",111
Precinct 1,Sheriff (Nonpartisan),"WATTS, DAN",73
Precinct 1,Soil Conservation Seat EE (Nonpartisan),"URBANOWITZ, SETH",201
Precinct 1,State Controller (Republican),"Arlint, Cort R.",5
Precinct 1,State Controller (Republican),"Herr, Barry",18
Precinct 1,State Controller (Republican),"Knecht, Ron",56
Precinct 1,State Controller (Republican),None Of These Candidates,31
Precinct 1,"U.S. Representative in Congress, District 4 (Democratic)","Budetich, Mark",12
Precinct 1,"U.S. Representative in Congress, District 4 (Democratic)","Horsford, Steven A.",58
Precinct 1,"U.S. Representative in Congress, District 4 (Democratic)","Zeller, Sid",8
Precinct 1,"U.S. Representative in Congress, District 4 (Republican)","Hardy, Cresent",33
Precinct 1,"U.S. Representative in Congress, District 4 (Republican)","Innis, Niger",37
Precinct 1,"U.S. Representative in Congress, District 4 (Republican)","Monroe, Mike",30
