precinct,office,candidate,votes
1 - ALAMO,COUNTY ASSESSOR (Republican),"BLEAK, COLLIN",35
1 - ALAMO,COUNTY ASSESSOR (Republican),"HOLT, MARK",95
1 - ALAMO,COUNTY ASSESSOR (Republican),"PEARCE, SUMMER",13
1 - ALAMO,"District Court Judge, District 7, Department 1 (Nonpartisan)","DOBRESCU, STEVE L.",165
1 - ALAMO,"District Court Judge, District 7, Department 2 (Nonpartisan)","FAIRMAN, GARY D.",166
1 - ALAMO,Governor (Democratic),"Chang, Charles ""Charlie""",1
1 - ALAMO,Governor (Democratic),"Conquest, Frederick L.",2
1 - ALAMO,Governor (Democratic),"Frye, Stephen H.",3
1 - ALAMO,Governor (Democratic),"Goodman, Robert ""Bob""",5
1 - ALAMO,Governor (Democratic),"Hyepock, Chris",0
1 - ALAMO,Governor (Democratic),None Of These Candidates,16
1 - ALAMO,Governor (Democratic),"Rheinhart, Allen",3
1 - ALAMO,Governor (Democratic),"Rutledge, John",1
1 - ALAMO,Governor (Democratic),"Shabazz, Abdul H.",0
1 - ALAMO,Governor (Republican),"Hamilton, Eddie ""In Liberty""",2
1 - ALAMO,Governor (Republican),"Marinch, Gary",2
1 - ALAMO,Governor (Republican),None Of These Candidates,6
1 - ALAMO,Governor (Republican),"Sandoval, Brian",127
1 - ALAMO,Governor (Republican),"Tarbell, William",5
1 - ALAMO,Governor (Republican),"Tighe, Thomas J.",0
1 - ALAMO,"GROVER C. DILS Hospital Dst, Trustee Dst A (Nonpartisan)","HANSEN, TERESA",164
1 - ALAMO,"GROVER C. DILS Hospital Dst, Trustee Dst E (Nonpartisan)","SCARBRO, DIXIE",157
1 - ALAMO,Lieutenant Governor (Democratic),"Flores, Lucy",15
1 - ALAMO,Lieutenant Governor (Democratic),"Kulkin, Harley Zane",11
1 - ALAMO,Lieutenant Governor (Democratic),None Of These Candidates,5
1 - ALAMO,Lieutenant Governor (Republican),"Dyer, Chris",9
1 - ALAMO,Lieutenant Governor (Republican),"Hutchison, Mark",87
1 - ALAMO,Lieutenant Governor (Republican),"Lowden, Sue",39
1 - ALAMO,Lieutenant Governor (Republican),None Of These Candidates,7
1 - ALAMO,SCHOOL BOARD School Dist Trustee Dist B-AL (Nonpartisan),"HARR, CAROLYN C.",162
1 - ALAMO,SCHOOL BOARD School Dist Trustee Dist D-AL (Nonpartisan),"MIZER, JOSEPH ""TY""",157
1 - ALAMO,SCHOOL BOARD School Dist Trustee Dist E-AL (Nonpartisan),"POULSEN, WADE",163
1 - ALAMO,Sheriff (Nonpartisan),"LEE, KERRY D.",170
1 - ALAMO,State Controller (Republican),"Arlint, Cort R.",14
1 - ALAMO,State Controller (Republican),"Herr, Barry",32
1 - ALAMO,State Controller (Republican),"Knecht, Ron",41
1 - ALAMO,State Controller (Republican),None Of These Candidates,48
1 - ALAMO,"U.S. Representative in Congress, District 4 (Democratic)","Budetich, Mark",5
1 - ALAMO,"U.S. Representative in Congress, District 4 (Democratic)","Horsford, Steven A.",22
1 - ALAMO,"U.S. Representative in Congress, District 4 (Democratic)","Zeller, Sid",5
1 - ALAMO,"U.S. Representative in Congress, District 4 (Republican)","Hardy, Cresent",55
1 - ALAMO,"U.S. Representative in Congress, District 4 (Republican)","Innis, Niger",61
1 - ALAMO,"U.S. Representative in Congress, District 4 (Republican)","Monroe, Mike",17
1 - ALAMO,"U.S. Representative in Congress, District 4 (Republican)","Poliak, Carlo ""Mazunga""",1
2 - CALIENTE,COUNTY ASSESSOR (Republican),"BLEAK, COLLIN",11
2 - CALIENTE,COUNTY ASSESSOR (Republican),"HOLT, MARK",117
2 - CALIENTE,COUNTY ASSESSOR (Republican),"PEARCE, SUMMER",4
2 - CALIENTE,"District Court Judge, District 7, Department 1 (Nonpartisan)","DOBRESCU, STEVE L.",192
2 - CALIENTE,"District Court Judge, District 7, Department 2 (Nonpartisan)","FAIRMAN, GARY D.",198
2 - CALIENTE,Governor (Democratic),"Chang, Charles ""Charlie""",5
2 - CALIENTE,Governor (Democratic),"Conquest, Frederick L.",4
2 - CALIENTE,Governor (Democratic),"Frye, Stephen H.",4
2 - CALIENTE,Governor (Democratic),"Goodman, Robert ""Bob""",19
2 - CALIENTE,Governor (Democratic),"Hyepock, Chris",6
2 - CALIENTE,Governor (Democratic),None Of These Candidates,16
2 - CALIENTE,Governor (Democratic),"Rheinhart, Allen",1
2 - CALIENTE,Governor (Democratic),"Rutledge, John",6
2 - CALIENTE,Governor (Democratic),"Shabazz, Abdul H.",0
2 - CALIENTE,Governor (Republican),"Hamilton, Eddie ""In Liberty""",11
2 - CALIENTE,Governor (Republican),"Marinch, Gary",2
