precinct,office,candidate,votes
AMARGOSA VLY 06,COUNTY ASSESSOR (Republican),"BLUNDO, LEO",8
AMARGOSA VLY 06,COUNTY ASSESSOR (Republican),"BRADSHAW, ALBERT ""NICK"", IV",7
AMARGOSA VLY 06,COUNTY ASSESSOR (Republican),"MARSHALL, RICHARD C.",8
AMARGOSA VLY 06,COUNTY ASSESSOR (Republican),"MATSON, SHIRLEY L.",32
AMARGOSA VLY 06,COUNTY ASSESSOR (Republican),"STRINGER, SHEREE",15
AMARGOSA VLY 06,County Sheriff - NYE - NonPartisan (Nonpartisan),"BECHT, WILLIAM ""BILL""",26
AMARGOSA VLY 06,County Sheriff - NYE - NonPartisan (Nonpartisan),"CURTIN, GREGORY F.",1
AMARGOSA VLY 06,County Sheriff - NYE - NonPartisan (Nonpartisan),"MARSHALL, RICK",18
AMARGOSA VLY 06,County Sheriff - NYE - NonPartisan (Nonpartisan),"MIELZYNSKI, RAY ""THE FLAGMAN""",7
AMARGOSA VLY 06,County Sheriff - NYE - NonPartisan (Nonpartisan),"MORGAN, GALEN J.",11
AMARGOSA VLY 06,County Sheriff - NYE - NonPartisan (Nonpartisan),"MURPHY, ERIC",13
AMARGOSA VLY 06,County Sheriff - NYE - NonPartisan (Nonpartisan),"O'DONNELL, TOM",2
AMARGOSA VLY 06,County Sheriff - NYE - NonPartisan (Nonpartisan),"VERDI, CARLO J.",1
AMARGOSA VLY 06,County Sheriff - NYE - NonPartisan (Nonpartisan),"WEHRLY, SHARON",40
AMARGOSA VLY 06,County Sheriff - NYE - NonPartisan (Nonpartisan),"ZANE, MARK A.",11
AMARGOSA VLY 06,District Attorney (Democratic),"DEL VECCHIO, NICHOLAS ANTHONY",11
AMARGOSA VLY 06,District Attorney (Democratic),"KUNZI, BRIAN T.",22
AMARGOSA VLY 06,"District Court Judge, District 5, Department  1 (Nonpartisan)","WANKER, KIMBERLY A. ""KIM""",112
AMARGOSA VLY 06,Governor (Democratic),"Chang, Charles ""Charlie""",2
AMARGOSA VLY 06,Governor (Democratic),"Conquest, Frederick L.",0
AMARGOSA VLY 06,Governor (Democratic),"Frye, Stephen H.",4
AMARGOSA VLY 06,Governor (Democratic),"Goodman, Robert ""Bob""",7
AMARGOSA VLY 06,Governor (Democratic),"Hyepock, Chris",9
AMARGOSA VLY 06,Governor (Democratic),None Of These Candidates,9
AMARGOSA VLY 06,Governor (Democratic),"Rheinhart, Allen",0
AMARGOSA VLY 06,Governor (Democratic),"Rutledge, John",2
AMARGOSA VLY 06,Governor (Democratic),"Shabazz, Abdul H.",0
AMARGOSA VLY 06,Governor (Republican),"Hamilton, Eddie ""In Liberty""",6
AMARGOSA VLY 06,Governor (Republican),"Marinch, Gary",0
AMARGOSA VLY 06,Governor (Republican),None Of These Candidates,9
AMARGOSA VLY 06,Governor (Republican),"Sandoval, Brian",54
AMARGOSA VLY 06,Governor (Republican),"Tarbell, William",2
AMARGOSA VLY 06,Governor (Republican),"Tighe, Thomas J.",3
AMARGOSA VLY 06,Lieutenant Governor (Democratic),"Flores, Lucy",21
AMARGOSA VLY 06,Lieutenant Governor (Democratic),"Kulkin, Harley Zane",3
AMARGOSA VLY 06,Lieutenant Governor (Democratic),None Of These Candidates,9
AMARGOSA VLY 06,Lieutenant Governor (Republican),"Dyer, Chris",10
AMARGOSA VLY 06,Lieutenant Governor (Republican),"Hutchison, Mark",25
AMARGOSA VLY 06,Lieutenant Governor (Republican),"Lowden, Sue",31
AMARGOSA VLY 06,Lieutenant Governor (Republican),None Of These Candidates,9
AMARGOSA VLY 06,PUBLIC ADMINISTRATOR (Republican),"DOLE, BUTCH",22
AMARGOSA VLY 06,PUBLIC ADMINISTRATOR (Republican),"DORAND-RUDOLF, ROBIN",38
AMARGOSA VLY 06,PUBLIC ADMINISTRATOR (Republican),"PILKINGTON, ROBERT R.",9
AMARGOSA VLY 06,State Controller (Republican),"Arlint, Cort R.",6
AMARGOSA VLY 06,State Controller (Republican),"Herr, Barry",23
AMARGOSA VLY 06,State Controller (Republican),"Knecht, Ron",25
AMARGOSA VLY 06,State Controller (Republican),None Of These Candidates,16
AMARGOSA VLY 06,"U.S. Representative in Congress, District 4 (Democratic)","Budetich, Mark",3
AMARGOSA VLY 06,"U.S. Representative in Congress, District 4 (Democratic)","Horsford, Steven A.",25
