candidate,party,percent,votes,office
"BROWN, ROBERT",REP,15.54%,83,UNITED STATES SENATOR (Republican)
"MELTON, ROYLE WILLIAM",REP,9.55%,51,UNITED STATES SENATOR (Republican)
POLIAK,REP,1.12%,6,UNITED STATES SENATOR (Republican)
"TILLEY, CHERIE M.",REP,11.80%,63,UNITED STATES SENATOR (Republican)
"WEGNER, KENNETH A.",REP,29.03%,155,UNITED STATES SENATOR (Republican)
"ZISER, RICHARD",REP,11.24%,60,UNITED STATES SENATOR (Republican)
None of these Candidates,,21.72%,116,UNITED STATES SENATOR (Republican)
"BENNETT, DAVID JEROME",DEM,46.68%,316,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"COCHRAN, ANGIE G.",DEM,53.32%,361,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"MCGINNESS, MIKE",REP,86.30%,460,CENTRAL NEVADA SENATORIAL DISTRICT (Republican)
"O'CONNOR, JOHN",REP,13.70%,73,CENTRAL NEVADA SENATORIAL DISTRICT (Republican)
"ASHWORTH, DON",NP,8.19%,119,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"HARDESTY, JIM",NP,47.83%,695,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"MIRCH, KEVIN J.",NP,2.68%,39,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"STEEL, CYNTHIA",NP,24.57%,357,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
None of these Candidates,,16.72%,243,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"BROWN, LORI LIPMAN",NP,16.83%,244,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"MASON, JOHN E.",NP,19.72%,286,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"PARRAGUIRRE, RON",NP,39.66%,575,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"SMITH, DOUG",NP,7.10%,103,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
None of these Candidates,,16.69%,242,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"CARLYLE, HORACE H.",DEM,21.71%,165,COUNTY COMMISSIONER SEAT A (Democratic)
"FOWLER, EDWARD",DEM,45.13%,343,COUNTY COMMISSIONER SEAT A (Democratic)
"WADLOW, KEVIN A.",DEM,33.16%,252,COUNTY COMMISSIONER SEAT A (Democratic)
"CARLYLE, IRENE",NP,10.33%,278,MINERAL COUNTY SCHOOL TRUSTEE 4 TERM YEAR (Nonpartisan)
"CHASE, KENNETH W.",NP,19.48%,524,MINERAL COUNTY SCHOOL TRUSTEE 4 TERM YEAR (Nonpartisan)
"HAMREY, TAMMY",NP,16.54%,445,MINERAL COUNTY SCHOOL TRUSTEE 4 TERM YEAR (Nonpartisan)
"MILLER, WAYNE",NP,9.89%,266,MINERAL COUNTY SCHOOL TRUSTEE 4 TERM YEAR (Nonpartisan)
"NIXON, MARK",NP,17.43%,469,MINERAL COUNTY SCHOOL TRUSTEE 4 TERM YEAR (Nonpartisan)
"SCHUMANN, RICK",NP,26.32%,708,MINERAL COUNTY SCHOOL TRUSTEE 4 TERM YEAR (Nonpartisan)
"HAAK, BONNIE",NP,27.56%,407,MINERAL COUNTY SCHOOL TRUSTEE 2 TERM YEAR (Nonpartisan)
"ISOM, RICK",NP,21.19%,313,MINERAL COUNTY SCHOOL TRUSTEE 2 TERM YEAR (Nonpartisan)
"MITCHELL, RENAIE M.",NP,19.84%,293,MINERAL COUNTY SCHOOL TRUSTEE 2 TERM YEAR (Nonpartisan)
"QUINTERO, MIRANDA J.",NP,16.25%,240,MINERAL COUNTY SCHOOL TRUSTEE 2 TERM YEAR (Nonpartisan)
"STROMATT, RICHARD H.",NP,8.26%,122,MINERAL COUNTY SCHOOL TRUSTEE 2 TERM YEAR (Nonpartisan)
"WURSTER, TINA",NP,6.91%,102,MINERAL COUNTY SCHOOL TRUSTEE 2 TERM YEAR (Nonpartisan)
"FITZGERALD, THOMAS",NP,100.00%,"1,237",MINERAL COUNTY HOSPITAL BOARD TRUSTEE 2 TERM YEAR (Nonpartisan)
