candidate,party,percent,votes,office
"BROWN, ROBERT",REP,14.42%,540,U.S. Senate (Republican)
"MELTON, ROYLE WILLIAM",REP,10.20%,382,U.S. Senate (Republican)
POLIAK,REP,1.26%,47,U.S. Senate (Republican)
"TILLEY, CHERIE M.",REP,8.33%,312,U.S. Senate (Republican)
"WEGNER, KENNETH A.",REP,26.76%,"1,002",U.S. Senate (Republican)
"ZISER, RICHARD",REP,23.93%,896,U.S. Senate (Republican)
None of these Candidates,,15.11%,566,U.S. Senate (Republican)
"BENNETT, DAVID JEROME",DEM,46.49%,828,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"COCHRAN, ANGIE G.",DEM,53.51%,953,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"MCGINNESS, MIKE",REP,79.08%,431,CENTRAL NEVADA SENATORIAL DISTRICT (Republican)
"O'CONNOR, JOHN",REP,20.92%,114,CENTRAL NEVADA SENATORIAL DISTRICT (Republican)
"ASHWORTH, DON",NP,8.67%,544,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"HARDESTY, JIM",NP,60.47%,"3,794",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"MIRCH, KEVIN J.",NP,3.43%,215,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"STEEL, CYNTHIA",NP,17.28%,"1,084",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
None of these Candidates,,10.15%,637,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"BROWN, LORI LIPMAN",NP,15.67%,982,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"MASON, JOHN E.",NP,28.41%,"1,781",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"PARRAGUIRRE, RON",NP,33.57%,"2,104",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"SMITH, DOUG",NP,10.35%,649,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
None of these Candidates,,12.00%,752,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"REID, HOWARD P.",DEM,51.36%,941,COUNTY COMMISSIONER DISTRICT I (Democratic)
"RICE, DANIEL N.",DEM,48.64%,891,COUNTY COMMISSIONER DISTRICT I (Democratic)
"DALTON, STEVEN J.",DEM,71.23%,"1,253",COUNTY COMMISSIONER DISTRICT III (Democratic)
"LOVATO, JR, JAMES A.",DEM,28.77%,506,COUNTY COMMISSIONER DISTRICT III (Democratic)
"DALLAS, NANCY W.",REP,20.02%,758,COUNTY COMMISSIONER DISTRICT III (Republican)
"FULSTONE, II, DAVID H.",REP,34.06%,"1,290",COUNTY COMMISSIONER DISTRICT III (Republican)
"STOUT, JAMES E.",REP,5.65%,214,COUNTY COMMISSIONER DISTRICT III (Republican)
"TIBBALS, DON H.",REP,40.27%,"1,525",COUNTY COMMISSIONER DISTRICT III (Republican)
"HUCKABY, JAMES F.",NP,100.00%,"5,135",LYON COUNTY SCHOOL DISTRICT TRUSTEE DISTRICT I (Nonpartisan)
"HALL, TERRY R.",NP,100.00%,"5,149",LYON COUNTY SCHOOL DISTRICT TRUSTEE DISTRICT III (Nonpartisan)
"PETERSON, GERALD R.",NP,100.00%,"5,120",LYON COUNTY SCHOOL DISTRICT TRUSTEE DISTRICT VI (Nonpartisan)
"COLLETTA, RUSSELL L.",NP,46.28%,"2,693",LYON COUNTY SCHOOL DISTRICT TRUSTEE DISTRICT VII (Nonpartisan)
"POMMERENING, DAN",NP,28.89%,"1,681",LYON COUNTY SCHOOL DISTRICT TRUSTEE DISTRICT VII (Nonpartisan)
"THRAN, BOB",NP,24.83%,"1,445",LYON COUNTY SCHOOL DISTRICT TRUSTEE DISTRICT VII (Nonpartisan)
"BENNETT, KAY",NP,51.45%,726,SILVER SPRINGS/STAGECOACH HOSPITAL DISTRICT TRUSTEES SILVER SPRINGS PRECINCT (Nonpartisan)
"GLENN, BOBBY J.",NP,48.55%,685,SILVER SPRINGS/STAGECOACH HOSPITAL DISTRICT TRUSTEES SILVER SPRINGS PRECINCT (Nonpartisan)
"AVEIRO, VICTORIA L.",NP,100.00%,852,SILVER SPRINGS/STAGECOACH HOSPITAL DISTRICT TRUSTEES STAGECOACH PRECINCT (Nonpartisan)
