precinct,office,candidate,votes
Precinct 101,Mayor CARSON CITY,"MASAYKO, RAY",376
Precinct 101,Mayor CARSON CITY,"TEIXEIRA, MARV",445
Precinct 101,President,"BADNARIK, MICHAEL",6
Precinct 101,President,"BUSH, GEORGE W.",409
Precinct 101,President,"COBB, DAVID",0
Precinct 101,President,"KERRY, JOHN F.",429
Precinct 101,President,"NADER, RALPH",4
Precinct 101,President,None Of These Candidates,10
Precinct 101,President,"PEROUTKA, MICHAEL A.",1
Precinct 101,School Trustee District 5,"COHEN, KIM",280
Precinct 101,School Trustee District 5,"MCKENNA, JOHN",454
Precinct 101,School Trustee District 7,"DAILEY, DEBBY",267
Precinct 101,School Trustee District 7,"WILSON, JOANNA",437
Precinct 101,"State Assembly, District 40","KNECHT, RON",323
Precinct 101,"State Assembly, District 40","PARNELL, BONNIE",485
Precinct 101,"State Assembly, District 40","YOCHUMO, MERRITT. K.",29
Precinct 101,"State Board of Education, District 9","COOK, DAVE",353
Precinct 101,"State Board of Education, District 9","MYERS, BARBARA J.",394
Precinct 101,Supervisor Ward 2,"ALDEAN, SHELLY",447
Precinct 101,Supervisor Ward 2,"BEISENSTEINE, REBECCA",308
Precinct 101,"Supreme Court Justice, Seat A","HARDESTY, JIM",446
Precinct 101,"Supreme Court Justice, Seat A",None Of These Candidates,130
Precinct 101,"Supreme Court Justice, Seat A","STEEL, CYNTHIA ""DIANNE""",235
Precinct 101,"Supreme Court Justice, Seat E","MASON, JOHN E.",245
Precinct 101,"Supreme Court Justice, Seat E",None Of These Candidates,126
Precinct 101,"Supreme Court Justice, Seat E","PARRAGUIRRE, RONALD D.",439
Precinct 101,"Supreme Court Justice, Seat F","Douglas, Michael L.",381
Precinct 101,"Supreme Court Justice, Seat F","HANSEN, JOEL FR",218
Precinct 101,"Supreme Court Justice, Seat F",None Of These Candidates,194
Precinct 101,"U.S. Representative in Congress, District 2","COCHRAN, ANGIE G.",291
Precinct 101,"U.S. Representative in Congress, District 2","GIBBONS, JIM",493
Precinct 101,"U.S. Representative in Congress, District 2","HANSEN, JANINE",46
Precinct 101,"U.S. Representative in Congress, District 2","TRAINOR, BRENDAN J.",11
Precinct 101,U.S. Senate,"HURST, THOMAS L.",8
Precinct 101,U.S. Senate,"MARINCH, GARY",4
Precinct 101,U.S. Senate,None Of These Candidates,12
Precinct 101,U.S. Senate,"REID, HARRY",514
Precinct 101,U.S. Senate,"SCHUMANN, DAVID K.",13
Precinct 101,U.S. Senate,"ZISER, RICHARD",295
Precinct 103,Mayor CARSON CITY,"MASAYKO, RAY",459
Precinct 103,Mayor CARSON CITY,"TEIXEIRA, MARV",530
Precinct 103,President,"BADNARIK, MICHAEL",2
Precinct 103,President,"BUSH, GEORGE W.",586
Precinct 103,President,"COBB, DAVID",2
Precinct 103,President,"KERRY, JOHN F.",421
Precinct 103,President,"NADER, RALPH",4
Precinct 103,President,None Of These Candidates,4
Precinct 103,President,"PEROUTKA, MICHAEL A.",1
Precinct 103,School Trustee District 5,"COHEN, KIM",317
Precinct 103,School Trustee District 5,"MCKENNA, JOHN",546
Precinct 105,"Supreme Court Justice, Seat A","STEEL, CYNTHIA ""DIANNE""",236
Precinct 105,"Supreme Court Justice, Seat E","MASON, JOHN E.",366
Precinct 105,"Supreme Court Justice, Seat E",None Of These Candidates,88
Precinct 105,"Supreme Court Justice, Seat E","PARRAGUIRRE, RONALD D.",443
Precinct 105,"Supreme Court Justice, Seat F","Douglas, Michael L.",399
Precinct 105,"Supreme Court Justice, Seat F","HANSEN, JOEL FR",308
Precinct 105,"Supreme Court Justice, Seat F",None Of These Candidates,166
Precinct 105,"U.S. Representative in Congress, District 2","COCHRAN, ANGIE G.",164
Precinct 105,"U.S. Representative in Congress, District 2","GIBBONS, JIM",718
Precinct 105,"U.S. Representative in Congress, District 2","HANSEN, JANINE",21
Precinct 105,"U.S. Representative in Congress, District 2","TRAINOR, BRENDAN J.",12
Precinct 105,U.S. Senate,"HURST, THOMAS L.",2
Precinct 105,U.S. Senate,"MARINCH, GARY",1
Precinct 105,U.S. Senate,None Of These Candidates,7
Precinct 105,U.S. Senate,"REID, HARRY",408
Precinct 105,U.S. Senate,"SCHUMANN, DAVID K.",3
Precinct 105,U.S. Senate,"ZISER, RICHARD",507
Precinct 107,Mayor CARSON CITY,"MASAYKO, RAY",505
Precinct 107,Mayor CARSON CITY,"TEIXEIRA, MARV",545
Precinct 107,President,"BADNARIK, MICHAEL",4
Precinct 107,President,"BUSH, GEORGE W.",714
Precinct 107,President,"COBB, DAVID",2
Precinct 107,President,"KERRY, JOHN F.",352
Precinct 107,President,"NADER, RALPH",5
Precinct 107,President,None Of These Candidates,8
Precinct 107,President,"PEROUTKA, MICHAEL A.",1
Precinct 107,School Trustee District 5,"COHEN, KIM",353
Precinct 107,School Trustee District 5,"MCKENNA, JOHN",546
Precinct 107,School Trustee District 7,"DAILEY, DEBBY",312
Precinct 107,School Trustee District 7,"WILSON, JOANNA",540
Precinct 107,"State Assembly, District 40","KNECHT, RON",611
Precinct 107,"State Assembly, District 40","PARNELL, BONNIE",442
Precinct 107,"State Assembly, District 40","YOCHUMO, MERRITT. K.",12
Precinct 107,"State Board of Education, District 9","COOK, DAVE",521
Precinct 107,"State Board of Education, District 9","MYERS, BARBARA J.",432
Precinct 107,Supervisor Ward 2,"ALDEAN, SHELLY",603
Precinct 107,Supervisor Ward 2,"BEISENSTEINE, REBECCA",332
Precinct 107,"Supreme Court Justice, Seat A","HARDESTY, JIM",650
Precinct 107,"Supreme Court Justice, Seat A",None Of These Candidates,157
Precinct 107,"Supreme Court Justice, Seat A","STEEL, CYNTHIA ""DIANNE""",228
Precinct 107,"Supreme Court Justice, Seat E","MASON, JOHN E.",372
Precinct 107,"Supreme Court Justice, Seat E",None Of These Candidates,166
Precinct 107,"Supreme Court Justice, Seat E","PARRAGUIRRE, RONALD D.",488
