candidate,party,percent,votes,office
"BROWN, ROBERT",REP,12.40%,791,UNITED STATES SENATOR (Republican)
"MELTON, ROYLE WILLIAM",REP,7.10%,453,UNITED STATES SENATOR (Republican)
POLIAK,REP,0.74%,47,UNITED STATES SENATOR (Republican)
"TILLEY, CHERIE M.",REP,6.33%,404,UNITED STATES SENATOR (Republican)
"WEGNER, KENNETH A.",REP,18.37%,"1,172",UNITED STATES SENATOR (Republican)
"ZISER, RICHARD",REP,35.14%,"2,242",UNITED STATES SENATOR (Republican)
None of these Candidates,,19.92%,"1,271",UNITED STATES SENATOR (Republican)
"BENNETT, DAVID JEROME",DEM,45.34%,"1,060",REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"COCHRAN, ANGIE G.",DEM,54.66%,"1,278",REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"MCGINNESS, MIKE",REP,76.19%,"1,840",CENTRAL NEVADA SENATORIAL DISTRICT (Republican)
"O'CONNOR, JOHN",REP,23.81%,575,CENTRAL NEVADA SENATORIAL DISTRICT (Republican)
"ASHWORTH, DON",NP,8.74%,862,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"HARDESTY, JIM",NP,61.04%,"6,018",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"MIRCH, KEVIN J.",NP,3.11%,307,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"STEEL, CYNTHIA",NP,14.65%,"1,444",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
None of these Candidates,,12.46%,"1,228",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"BROWN, LORI LIPMAN",NP,13.53%,"1,339",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"MASON, JOHN E.",NP,34.06%,"3,372",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"PARRAGUIRRE, RON",NP,32.17%,"3,185",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"SMITH, DOUG",NP,8.67%,858,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
None of these Candidates,,11.58%,"1,146",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"COOK, DAVE",NP,45.42%,"3,913",STATE BOARD OF EDUCATION DISTRICT 9 (Nonpartisan)
"MYERS, BARBARA J.",NP,38.09%,"3,282",STATE BOARD OF EDUCATION DISTRICT 9 (Nonpartisan)
"WILKE, STACIE",NP,16.49%,"1,421",STATE BOARD OF EDUCATION DISTRICT 9 (Nonpartisan)
"DENTON, JOE",REP,35.02%,"2,237",COUNTY COMMISSIONER DISTRICT 3 (Republican)
"JOHNSON, DOUG N.",REP,43.84%,"2,800",COUNTY COMMISSIONER DISTRICT 3 (Republican)
"MCMICHAEL, VALIDA A.",REP,21.14%,"1,350",COUNTY COMMISSIONER DISTRICT 3 (Republican)
"BECK, RON",NP,35.53%,"2,973",SCHOOL BOARD TRUSTEE AREA 1 (Nonpartisan)
"HULSEY, VERONICA",NP,29.77%,"2,491",SCHOOL BOARD TRUSTEE AREA 1 (Nonpartisan)
"ORR, LOREN R.",NP,34.70%,"2,904",SCHOOL BOARD TRUSTEE AREA 1 (Nonpartisan)
"FINLAY, TERESE M.",NP,21.85%,"1,765",SCHOOL BOARD TRUSTEE AREA 3 (Nonpartisan)
"HOWELL, LAWRENCE W.",NP,47.77%,"3,859",SCHOOL BOARD TRUSTEE AREA 3 (Nonpartisan)
"TRIGG, CYNTHIA M.",NP,30.39%,"2,455",SCHOOL BOARD TRUSTEE AREA 3 (Nonpartisan)
"LOURITT, JOHN J.",NP,100.00%,"7,599",SCHOOL BOARD TRUSTEE AREA 4 (Nonpartisan)
"LINDSAY, PAUL A.",NP,48.57%,577,TOWN OF Gardnerville (Nonpartisan)
"SLATER, RANDY",NP,51.43%,611,TOWN OF Gardnerville (Nonpartisan)
"DONOHOE, JR, WILLIAM J.",NP,55.29%,47,TOWN OF Genoa (Nonpartisan)
"MILUCK, NANCY",NP,44.71%,38,TOWN OF Genoa (Nonpartisan)
