candidate,party,percent,votes,office
"BROWN, ROBERT",REP,19.89%,72,U.S. Senate (Republican)
"MELTON, ROYLE WILLIAM",REP,7.18%,26,U.S. Senate (Republican)
POLIAK,REP,0.28%,1,U.S. Senate (Republican)
"TILLEY, CHERIE M.",REP,13.54%,49,U.S. Senate (Republican)
"WEGNER, KENNETH A.",REP,13.54%,49,U.S. Senate (Republican)
"ZISER, RICHARD",REP,12.43%,45,U.S. Senate (Republican)
None of these Candidates,,29.83%,108,U.S. Senate (Republican)
"BENNETT, DAVID JEROME",DEM,43.82%,39,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"COCHRAN, ANGIE G.",DEM,46.07%,41,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"ASHWORTH, DON",NP,9.00%,44,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"HARDESTY, JIM",NP,47.24%,231,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"MIRCH, KEVIN J.",NP,3.68%,18,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"STEEL, CYNTHIA",NP,18.20%,89,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
None of these Candidates,,19.02%,93,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"BROWN, LORI LIPMAN",NP,13.50%,66,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"MASON, JOHN E.",NP,37.63%,184,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"PARRAGUIRRE, RON",NP,19.43%,95,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"SMITH, DOUG",NP,6.75%,33,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
None of these Candidates,,19.63%,96,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"BENSON, KENNETH F.",REP,47.24%,171,COUNTY COMMISSIONER DISTRICT 1 (Republican)
"ROBINSON, WAYNE D.",REP,42.27%,153,COUNTY COMMISSIONER DISTRICT 1 (Republican)
"WASHBURN, KENNETH",REP,9.39%,34,COUNTY COMMISSIONER DISTRICT 1 (Republican)
"RAINE, SCOTT F.",NP,78.53%,384,SCHOOL BOARD TRUSTEE SEAT 1A (Nonpartisan)
"BURNHAM, BOB",NP,78.32%,383,SCHOOL BOARD TRUSTEE SEAT 1C (Nonpartisan)
"BROWN, JOHN W.",NP,79.35%,388,SCHOOL BOARD TRUSTEE SEAT 2A (Nonpartisan)
