precinct,office,candidate,votes
1 - ALAMO,County Commissioner District A (CW),"ROWEO, GEORGE T.",395
1 - ALAMO,County Commissioner District C (CW),"PERKINS, TIM",228
1 - ALAMO,County Commissioner District C (CW),"POULSEN, WADE",265
1 - ALAMO,County Commissioner District E (CW),"HAFEN, SPENCER W.",304
1 - ALAMO,County Commissioner District E (CW),"LEE, KIM",187
1 - ALAMO,President,"BADNARIK, MICHAEL",1
1 - ALAMO,President,"BUSH, GEORGE W.",435
1 - ALAMO,President,"COBB, DAVID",0
1 - ALAMO,President,"KERRY, JOHN F.",71
1 - ALAMO,President,"NADER, RALPH",2
1 - ALAMO,President,None Of These Candidates,3
1 - ALAMO,President,"PEROUTKA, MICHAEL A.",0
1 - ALAMO,School Trustee District B,"BARR, JANICE",260
1 - ALAMO,School Trustee District B,"TERRY, KIM",184
1 - ALAMO,"State Assembly, District 36","HOLMGREN, JACKIE A.",97
1 - ALAMO,"State Assembly, District 36","SHERERH, RODERICK ""R",381
1 - ALAMO,"State Senate, Rural Senatorial District","JEFFERSON, THOMAS",60
1 - ALAMO,"State Senate, Rural Senatorial District","RHOADS, DEAN A.",430
1 - ALAMO,"Supreme Court Justice, Seat A","HARDESTY, JIM",180
1 - ALAMO,"Supreme Court Justice, Seat A",None Of These Candidates,98
1 - ALAMO,"Supreme Court Justice, Seat A","STEEL, CYNTHIA ""DIANNE""",209
1 - ALAMO,"Supreme Court Justice, Seat E","MASON, JOHN E.",139
1 - ALAMO,"Supreme Court Justice, Seat E",None Of These Candidates,103
1 - ALAMO,"Supreme Court Justice, Seat E","PARRAGUIRRE, RONALD D.",237
1 - ALAMO,"Supreme Court Justice, Seat F","Douglas, Michael L.",134
1 - ALAMO,"Supreme Court Justice, Seat F","HANSEN, JOEL FR",251
1 - ALAMO,"Supreme Court Justice, Seat F",None Of These Candidates,102
1 - ALAMO,"U.S. Representative in Congress, District 2","COCHRAN, ANGIE G.",52
1 - ALAMO,"U.S. Representative in Congress, District 2","GIBBONS, JIM",422
1 - ALAMO,"U.S. Representative in Congress, District 2","HANSEN, JANINE",25
1 - ALAMO,"U.S. Representative in Congress, District 2","TRAINOR, BRENDAN J.",4
1 - ALAMO,U.S. Senate,"HURST, THOMAS L.",3
1 - ALAMO,U.S. Senate,"MARINCH, GARY",1
1 - ALAMO,U.S. Senate,None Of These Candidates,15
1 - ALAMO,U.S. Senate,"REID, HARRY",143
1 - ALAMO,U.S. Senate,"SCHUMANN, DAVID K.",4
1 - ALAMO,U.S. Senate,"ZISER, RICHARD",343
1 - ALAMO,"University Board of Regents, District 8","AIAZZI, STAN",178
1 - ALAMO,"University Board of Regents, District 8","GALLAGHER, DOROTHY S.",254
2 - CALIENTE,County Commissioner District A (CW),"ROWEO, GEORGE T.",455
2 - CALIENTE,County Commissioner District C (CW),"PERKINS, TIM",186
2 - CALIENTE,County Commissioner District C (CW),"POULSEN, WADE",348
2 - CALIENTE,County Commissioner District E (CW),"HAFEN, SPENCER W.",261
2 - CALIENTE,County Commissioner District E (CW),"LEE, KIM",275
2 - CALIENTE,President,"BADNARIK, MICHAEL",6
2 - CALIENTE,President,"BUSH, GEORGE W.",394
2 - CALIENTE,President,"COBB, DAVID",1
2 - CALIENTE,President,"KERRY, JOHN F.",150
2 - CALIENTE,President,"NADER, RALPH",4
2 - CALIENTE,President,None Of These Candidates,8
2 - CALIENTE,President,"PEROUTKA, MICHAEL A.",1
