candidate,party,percent,votes,office
"BROWN, ROBERT",REP,22.97%,34,UNITED STATES SENATOR (Republican)
"MELTON, ROYLE WILLIAM",REP,7.43%,11,UNITED STATES SENATOR (Republican)
POLIAK,REP,2.03%,3,UNITED STATES SENATOR (Republican)
"TILLEY, CHERIE M.",REP,10.81%,16,UNITED STATES SENATOR (Republican)
"WEGNER, KENNETH A.",REP,16.22%,24,UNITED STATES SENATOR (Republican)
"ZISER, RICHARD",REP,16.89%,25,UNITED STATES SENATOR (Republican)
None of these Candidates,,23.65%,35,UNITED STATES SENATOR (Republican)
"BENNETT, DAVID JEROME",DEM,40.00%,30,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"COCHRAN, ANGIE G.",DEM,60.00%,45,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"MCGINNESS, MIKE",REP,75.35%,107,CENTRAL NEVADA SENATORIAL DISTRICT (Republican)
"O'CONNOR, JOHN",REP,24.65%,35,CENTRAL NEVADA SENATORIAL DISTRICT (Republican)
"ASHWORTH, DON",NP,13.08%,34,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"HARDESTY, JIM",NP,32.31%,84,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"MIRCH, KEVIN J.",NP,4.62%,12,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"STEEL, CYNTHIA",NP,25.00%,65,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
None of these Candidates,,25.00%,65,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"BROWN, LORI LIPMAN",NP,15.27%,40,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"MASON, JOHN E.",NP,13.74%,36,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"PARRAGUIRRE, RON",NP,40.08%,105,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"SMITH, DOUG",NP,11.07%,29,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
None of these Candidates,,19.85%,52,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"POLMAN, II, KENNY",REP,47.37%,18,COUNTY COMMISSIONER DISTRICT 2 (Republican)
"VILJOEN, III, BENJAMIN J.",REP,52.63%,20,COUNTY COMMISSIONER DISTRICT 2 (Republican)
