candidate,party,percent,votes,office
"BROWN, ROBERT",REP,20.34%,578,UNITED STATES SENATOR (Republican)
"MELTON, ROYLE WILLIAM",REP,3.87%,110,UNITED STATES SENATOR (Republican)
POLIAK,REP,1.72%,49,UNITED STATES SENATOR (Republican)
"TILLEY, CHERIE M.",REP,13.13%,373,UNITED STATES SENATOR (Republican)
"WEGNER, KENNETH A.",REP,19.92%,566,UNITED STATES SENATOR (Republican)
"ZISER, RICHARD",REP,21.79%,619,UNITED STATES SENATOR (Republican)
None of these Candidates,,19.22%,546,UNITED STATES SENATOR (Republican)
"BENNETT, DAVID JEROME",DEM,53.96%,"1,118",REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"COCHRAN, ANGIE G.",DEM,46.04%,954,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"MCGINNESS, MIKE",REP,74.34%,"1,932",CENTRAL NEVADA SENATORIAL DISTRICT (Republican)
"O'CONNOR, JOHN",REP,25.66%,667,CENTRAL NEVADA SENATORIAL DISTRICT (Republican)
"ASHWORTH, DON",NP,19.40%,"1,071",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"HARDESTY, JIM",NP,33.35%,"1,841",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"MIRCH, KEVIN J.",NP,3.62%,200,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"STEEL, CYNTHIA",NP,27.10%,"1,496",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
None of these Candidates,,16.54%,913,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"BROWN, LORI LIPMAN",NP,16.89%,925,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"MASON, JOHN E.",NP,20.80%,"1,139",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"PARRAGUIRRE, RON",NP,34.06%,"1,865",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"SMITH, DOUG",NP,13.55%,742,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
None of these Candidates,,14.70%,805,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"ATKINSON, MARK",REP,12.84%,86,COUNTY COMMISSIONER DISTRICT I (Republican)
"CARVER, MIDGE",REP,44.63%,299,COUNTY COMMISSIONER DISTRICT I (Republican)
"GRUBB, KEN",REP,3.28%,22,COUNTY COMMISSIONER DISTRICT I (Republican)
"LEAVITT, TIM",REP,36.87%,247,COUNTY COMMISSIONER DISTRICT I (Republican)
"PIERCE, BUTCH",REP,2.39%,16,COUNTY COMMISSIONER DISTRICT I (Republican)
"BASS, SHELDON A.",REP,11.11%,68,COUNTY COMMISSIONER DISTRICT III (Republican)
"CROOKS, CLAUDETTE B.",REP,10.78%,66,COUNTY COMMISSIONER DISTRICT III (Republican)
"ELEFANTE, PAULA J.",REP,22.55%,138,COUNTY COMMISSIONER DISTRICT III (Republican)
"HOLLIS, GARY",REP,35.62%,218,COUNTY COMMISSIONER DISTRICT III (Republican)
"NETH, HENRY E.",REP,17.97%,110,COUNTY COMMISSIONER DISTRICT III (Republican)
"TAFOYA, MICHAEL D.",REP,1.96%,12,COUNTY COMMISSIONER DISTRICT III (Republican)
"REINER, MELANIE",NP,100.00%,606,SCHOOL BOARD TRUSTEE AREA VI (Nonpartisan)
"ANZALONE, CHARLIE",NP,12.55%,"1,026",PAHRUMP TOWN BOARD (Nonpartisan)
"BISHOP, EDWARD",NP,24.85%,"2,031",PAHRUMP TOWN BOARD (Nonpartisan)
"BOBECK, JEFF",NP,15.43%,"1,261",PAHRUMP TOWN BOARD (Nonpartisan)
"LYNN, DALE J.",NP,13.40%,"1,095",PAHRUMP TOWN BOARD (Nonpartisan)
"MURRAY, LAURAYNE",NP,19.39%,"1,585",PAHRUMP TOWN BOARD (Nonpartisan)
"PATTI, CHUCK",NP,14.38%,"1,175",PAHRUMP TOWN BOARD (Nonpartisan)
"BROWNING, RON",NP,100.00%,94,ROUND MOUNTAIN TOWN BOARD 2 TERM YEAR (Nonpartisan)
