candidate,party,percent,votes,office
"BROWN, ROBERT",REP,12.26%,57,U.S. Senate (Republican)
"MELTON, ROYLE WILLIAM",REP,10.75%,50,U.S. Senate (Republican)
POLIAK,REP,1.08%,5,U.S. Senate (Republican)
"TILLEY, CHERIE M.",REP,7.96%,37,U.S. Senate (Republican)
"WEGNER, KENNETH A.",REP,24.73%,115,U.S. Senate (Republican)
"ZISER, RICHARD",REP,25.59%,119,U.S. Senate (Republican)
None of these Candidates,,17.63%,82,U.S. Senate (Republican)
"BENNETT, DAVID JEROME",DEM,53.79%,156,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"COCHRAN, ANGIE G.",DEM,46.21%,134,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"ASHWORTH, DON",NP,9.36%,82,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"HARDESTY, JIM",NP,62.79%,550,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"MIRCH, KEVIN J.",NP,4.22%,37,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"STEEL, CYNTHIA",NP,14.04%,123,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
None of these Candidates,,9.59%,84,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"BROWN, LORI LIPMAN",NP,16.90%,147,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"MASON, JOHN E.",NP,28.05%,244,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"PARRAGUIRRE, RON",NP,32.53%,283,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"SMITH, DOUG",NP,8.05%,70,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
None of these Candidates,,14.48%,126,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"CHAPMAN, CURTIS JAMES",NP,100.00%,722,SCHOOL BOARD TRUSTEE SEAT 1B (Nonpartisan)
